Temperature_C,Time_min,Anode_Shrinkage_percent,Electrolyte_Shrinkage_percent,Differential_Shrinkage_percent,Curvature_m_inv
25,0,0.000,0.000,0.000,0.0
200,35,0.050,0.030,0.020,0.8
400,70,-0.120,-0.080,-0.040,1.5
600,105,-0.350,-0.220,-0.130,4.2
800,140,0.850,0.450,0.400,12.5
900,157,2.450,1.850,0.600,18.8
1000,175,5.200,4.650,0.550,16.2
1050,183,7.850,7.200,0.650,19.5
1100,192,11.200,10.800,0.400,11.8
1150,200,14.150,14.500,-0.350,-9.5
1200,208,16.450,17.800,-1.350,-35.2
1250,216,17.800,20.200,-2.400,-58.5
1300,224,18.550,21.850,-3.300,-78.8
1350,232,18.950,22.800,-3.850,-89.2
1400,240,19.200,23.300,-4.100,-94.5
1400,300,19.350,23.450,-4.100,-92.8
