node_id,feature_tag,x_mm,y_mm,z_mm,T_C,Ux_um,Uy_um,Uz_um,sigma_xx_MPa,sigma_yy_MPa,sigma_zz_MPa,sigma_xy_MPa,sigma_yz_MPa,sigma_xz_MPa,epsilon_xx,epsilon_yy,epsilon_zz,epsilon_xy,epsilon_yz,epsilon_xz
957,free_edge,2.073,9.938,0.276,250.05,4.865,23.328,0.647,-47.376,-46.782,-12.994,0.0,0.847,-3.275,0.00216642,0.00217033,0.00239272,0.0,1.115e-05,-4.311e-05
2390,free_edge,5.625,9.938,0.049,343.55,18.69,33.019,0.162,-58.295,-71.218,-19.297,-0.284,-0.046,1.462,0.00312063,0.00303557,0.00337731,-3.74e-06,-6e-07,1.924e-05
3277,free_surface,7.994,6.88,0.016,643.16,51.541,44.36,0.105,-100.348,-125.471,-41.521,1.625,0.98,0.717,0.00611361,0.00594826,0.00650081,2.139e-05,1.29e-05,9.43e-06
966,free_edge,2.665,0.255,0.178,301.05,7.672,0.734,0.513,-56.547,-38.32,-15.02,0.047,-3.712,-3.179,0.00264132,0.00276129,0.00291465,6.2e-07,-4.887e-05,-4.185e-05
2889,free_edge,7.402,0.255,0.276,371.66,26.762,0.921,0.996,-60.838,-44.104,-23.361,0.196,0.297,-0.346,0.00337199,0.00348213,0.00361866,2.58e-06,3.91e-06,-4.56e-06
3432,free_surface,8.586,2.803,0.373,535.17,45.688,14.915,1.984,-77.934,-78.352,-31.914,1.366,0.228,0.507,0.00503811,0.00503536,0.00534102,1.798e-05,3e-06,6.67e-06
11,free_edge,0.296,0.255,0.34,133.18,0.334,0.288,0.384,-20.847,-13.164,-8.969,-0.0,0.298,0.277,0.0010436,0.00109418,0.00112179,-0.0,3.93e-06,3.64e-06
2965,free_surface,7.402,3.822,0.016,738.9,55.114,28.461,0.121,-121.634,-129.176,-49.653,-3.053,0.403,-0.547,0.00701259,0.00696295,0.00748637,-4.019e-05,5.3e-06,-7.2e-06
1432,free_edge,3.257,9.938,0.113,318.05,9.954,30.376,0.347,-55.893,-66.482,-17.272,-0.019,-3.558,-2.045,0.00285926,0.00278956,0.00311346,-2.5e-07,-4.684e-05,-2.693e-05
2533,free_surface,6.218,5.861,0.016,829.92,52.199,49.205,0.136,-144.488,-154.493,-53.472,0.458,-0.16,-0.195,0.00787504,0.00780919,0.00847411,6.03e-06,-2.1e-06,-2.57e-06
2773,free_surface,6.81,5.861,0.016,810.83,55.814,48.038,0.133,-138.509,-148.797,-51.638,1.179,-0.06,-0.807,0.00769879,0.00763108,0.00827058,1.552e-05,-7.9e-07,-1.062e-05
4574,free_edge,11.547,0.764,0.049,159.26,16.17,1.071,0.068,-18.615,-14.873,-11.176,0.0,-1.112,2.719,0.00133239,0.00135702,0.00138135,0.0,-1.463e-05,3.58e-05
4551,free_edge,10.955,9.938,0.081,172.26,16.826,15.264,0.124,-23.093,-32.259,-9.461,-0.0,2.141,0.519,0.00146315,0.00140283,0.00155288,-0.0,2.819e-05,6.83e-06
4074,free_edge,9.77,9.938,0.178,264.03,24.359,24.777,0.444,-42.397,-51.635,-18.308,-0.0,1.708,-3.451,0.00235132,0.00229051,0.00250987,-0.0,2.248e-05,-4.543e-05
4656,"free_edge,free_surface",11.547,3.822,0.373,285.54,31.378,10.387,1.013,-36.982,-46.39,-13.838,0.096,-0.494,-1.459,0.00259278,0.00253086,0.00274512,1.26e-06,-6.51e-06,-1.921e-05
100,free_edge,0.296,4.332,0.113,388.7,1.123,16.433,0.43,-76.557,-64.205,-23.039,0.106,1.705,0.071,0.00348969,0.00357099,0.00384194,1.4e-06,2.244e-05,9.3e-07
4690,free_edge,11.547,5.351,0.308,374.4,42.08,19.501,1.122,-48.558,-67.417,-19.79,0.762,-0.017,0.788,0.00349054,0.00336641,0.00367989,1.004e-05,-2.2e-07,1.037e-05
2905,free_surface,7.402,1.274,0.016,416.8,30.247,5.207,0.066,-65.043,-63.284,-29.842,-0.041,-1.425,1.136,0.00385163,0.00386321,0.00408332,-5.4e-07,-1.876e-05,1.496e-05
3594,free_edge,8.586,9.938,0.178,336.25,27.873,32.262,0.579,-42.882,-65.177,-16.478,-0.139,1.958,-1.027,0.00311626,0.00296951,0.00329005,-1.82e-06,2.578e-05,-1.352e-05
