node_id,x_mm,y_mm,z_mm,T_C,Ux_um,Uy_um,Uz_um,sigma_xx_MPa,sigma_yy_MPa,sigma_zz_MPa,sigma_xy_MPa,sigma_yz_MPa,sigma_xz_MPa,epsilon_xx,epsilon_yy,epsilon_zz,epsilon_xy,epsilon_yz,epsilon_xz
1,0.296,0.255,0.016,120.08,0.294,0.253,0.016,-18.781,-13.929,-6.785,0.0,1.11,-0.853,0.00091636,0.0009483,0.00099532,0.0,1.461e-05,-1.123e-05
2,0.296,0.255,0.049,133.18,0.334,0.288,0.055,-29.431,-20.174,-3.206,-0.0,0.569,-1.383,0.00099912,0.00106005,0.00117174,-0.0,7.5e-06,-1.821e-05
3,0.296,0.255,0.081,143.65,0.366,0.315,0.1,-27.779,-11.934,-5.13,-0.0,1.312,-2.192,0.00110953,0.00121382,0.0012586,-0.0,1.727e-05,-2.886e-05
4,0.296,0.255,0.113,151.51,0.391,0.336,0.15,-32.264,-15.657,-10.962,-0.0,-0.006,1.105,0.00117912,0.00128842,0.00131932,-0.0,-8e-08,1.455e-05
5,0.296,0.255,0.146,156.75,0.407,0.35,0.2,-32.608,-12.958,-9.051,0.0,1.795,-0.221,0.00122627,0.00135561,0.00138132,0.0,2.363e-05,-2.9e-06
6,0.296,0.255,0.178,159.37,0.415,0.357,0.25,-31.831,-24.304,-7.235,0.0,-2.425,-1.326,0.0012694,0.00131894,0.00143129,0.0,-3.193e-05,-1.746e-05
7,0.296,0.255,0.211,159.37,0.415,0.357,0.295,-34.135,-17.785,-6.412,0.0,1.147,2.262,0.00124808,0.00135569,0.00143055,0.0,1.51e-05,2.977e-05
8,0.296,0.255,0.243,156.75,0.407,0.35,0.334,-28.555,-24.248,-7.115,-0.0,-0.445,-1.902,0.00125942,0.00128778,0.00140054,-0.0,-5.86e-06,-2.504e-05
9,0.296,0.255,0.276,151.51,0.391,0.336,0.364,-31.221,-16.215,-6.916,-0.0,-1.672,0.686,0.00118044,0.00127921,0.00134042,-0.0,-2.201e-05,9.03e-06
10,0.296,0.255,0.308,143.65,0.366,0.315,0.381,-25.061,-9.564,-7.778,-0.0,-2.221,-0.378,0.00112444,0.00122643,0.00123819,-0.0,-2.924e-05,-4.97e-06
11,0.296,0.255,0.34,133.18,0.334,0.288,0.384,-20.847,-13.164,-8.969,-0.0,0.298,0.277,0.0010436,0.00109418,0.00112179,-0.0,3.93e-06,3.64e-06
12,0.296,0.255,0.373,120.08,0.294,0.253,0.37,-25.162,-11.236,-4.747,-0.0,0.491,-0.655,0.00087638,0.00096804,0.00101075,-0.0,6.46e-06,-8.62e-06
13,0.296,0.764,0.016,143.01,0.364,0.941,0.02,-26.408,-15.931,-10.592,0.0,0.022,1.285,0.00112168,0.00119065,0.00122578,0.0,2.9e-07,1.692e-05
14,0.296,0.764,0.049,159.26,0.415,1.071,0.068,-29.929,-21.031,-9.357,-0.0,-0.323,-0.422,0.00127705,0.00133562,0.00141245,-0.0,-4.25e-06,-5.56e-06
15,0.296,0.764,0.081,172.26,0.455,1.174,0.124,-36.066,-17.172,-8.334,-0.0,2.626,-0.791,0.00137381,0.00149817,0.00155634,-0.0,3.457e-05,-1.042e-05
