Wavenumber_cm_minus1,Peak_Intensity,Band_Assignment,Functional_Group,Significance
3350,weak,O-H stretching,Hydroxyl groups,Moisture and possible oxidation products
3050,medium,=C-H stretching (aromatic),Aromatic C-H,Styrene component of SBR
2920,strong,C-H stretching (asymmetric),Aliphatic CH2,Main polymer backbone
2850,strong,C-H stretching (symmetric),Aliphatic CH2,Main polymer backbone
1740,weak,C=O stretching,Carbonyl/ester,Oxidation products and plasticizers
1640,medium,C=C stretching (aromatic),Aromatic ring,Styrene and aromatic oils
1540,weak,N-H bending,Amide groups,From tire cord (nylon residue)
1450,strong,C-H bending,Aliphatic CH2 CH3,Polymer structure
1375,medium,C-H bending (symmetric),CH3 groups,Polymer branching points
1260,medium,C-O stretching,Ether/ester,Plasticizers and additives
1080,medium,S=O stretching,Sulfone groups,Oxidized sulfur compounds
1020,weak,C-O stretching,Primary alcohol,Minor component
965,medium,=C-H bending (out-of-plane),Trans-alkene,Butadiene segments
910,weak,=C-H bending (out-of-plane),Vinyl groups,Unsaturation in polymer
760,medium,C-H bending (aromatic),Monosubstituted benzene,Styrene units
700,strong,C-H bending (aromatic),Phenyl groups,High aromatic content
