Mix_ID,Mix_Name,Rubber_Content_Percent,Age_Days,Specimen_ID,Oven_Dry_Density_kg_m3,SSD_Density_kg_m3,Apparent_Density_kg_m3,Water_Absorption_Percent,Total_Porosity_Percent,Capillary_Porosity_Percent,Gel_Porosity_Percent,Air_Void_Content_Percent,Permeable_Voids_Percent,Average_Pore_Diameter_nm
RC-00,Control Mix,0,28,RC00-28D-D1,2385,2410,2465,1.05,12.8,8.2,2.5,2.1,10.7,42
RC-00,Control Mix,0,28,RC00-28D-D2,2378,2405,2462,1.13,13.2,8.5,2.6,2.1,11.1,45
RC-00,Control Mix,0,28,RC00-28D-D3,2392,2415,2468,0.96,12.5,7.9,2.5,2.1,10.4,40
RC-00,Control Mix,0,28,RC00-28D-D4,2388,2412,2466,1.01,12.9,8.3,2.5,2.1,10.8,43
RC-00,Control Mix,0,28,RC00-28D-D5,2381,2408,2464,1.13,13.1,8.6,2.4,2.1,11.0,44
RC-05,5% Rubber,5,28,RC05-28D-D1,2342,2368,2428,1.11,14.5,9.1,2.6,2.8,11.7,58
RC-05,5% Rubber,5,28,RC05-28D-D2,2335,2363,2425,1.20,14.9,9.5,2.6,2.8,12.1,62
RC-05,5% Rubber,5,28,RC05-28D-D3,2349,2373,2431,1.02,14.2,8.8,2.6,2.8,11.4,55
RC-05,5% Rubber,5,28,RC05-28D-D4,2345,2370,2429,1.07,14.6,9.2,2.6,2.8,11.8,59
RC-05,5% Rubber,5,28,RC05-28D-D5,2338,2365,2426,1.15,14.8,9.4,2.6,2.8,12.0,61
RC-10,10% Rubber,10,28,RC10-28D-D1,2295,2325,2392,1.31,16.8,10.5,2.8,3.5,13.3,85
RC-10,10% Rubber,10,28,RC10-28D-D2,2288,2318,2389,1.31,16.5,10.2,2.8,3.5,13.0,82
RC-10,10% Rubber,10,28,RC10-28D-D3,2302,2332,2395,1.30,17.1,10.8,2.8,3.5,13.6,88
RC-10,10% Rubber,10,28,RC10-28D-D4,2298,2328,2393,1.30,16.9,10.6,2.8,3.5,13.4,86
RC-10,10% Rubber,10,28,RC10-28D-D5,2291,2321,2390,1.31,16.6,10.3,2.8,3.5,13.1,83
RC-15,15% Rubber,15,28,RC15-28D-D1,2245,2280,2358,1.56,19.5,12.2,3.1,4.2,15.3,125
RC-15,15% Rubber,15,28,RC15-28D-D2,2238,2272,2355,1.52,18.9,11.6,3.1,4.2,14.7,118
RC-15,15% Rubber,15,28,RC15-28D-D3,2252,2288,2361,1.60,20.1,12.8,3.1,4.2,15.9,132
RC-15,15% Rubber,15,28,RC15-28D-D4,2248,2283,2359,1.56,19.6,12.3,3.1,4.2,15.4,126
RC-15,15% Rubber,15,28,RC15-28D-D5,2241,2275,2356,1.52,19.0,11.7,3.1,4.2,14.8,120
