Mix_ID,Mix_Name,Rubber_Content_Percent,Age_Days,Specimen_Type,Path_Length_mm,Specimen_ID,Direct_Transmission_UPV_km_s,Indirect_UPV_km_s,Surface_UPV_km_s,Average_Direct_UPV_km_s,Dynamic_Modulus_GPa,Concrete_Quality_Rating,Homogeneity_Index,Notes
RC-00,Control Mix,0,28,Cylinder,300,RC00-28D-U1,4.52,3.98,3.65,4.48,48.5,Excellent (>4.5),0.96,Uniform high velocity
RC-00,Control Mix,0,28,Cylinder,300,RC00-28D-U2,4.45,3.92,3.58,4.48,47.8,Excellent (>4.5),0.95,Uniform high velocity
RC-00,Control Mix,0,28,Cylinder,300,RC00-28D-U3,4.51,3.96,3.63,4.48,48.2,Excellent (>4.5),0.96,Uniform high velocity
RC-00,Control Mix,0,28,Cylinder,300,RC00-28D-U4,4.48,3.95,3.62,4.48,47.9,Excellent (>4.5),0.95,Uniform high velocity
RC-00,Control Mix,0,28,Cylinder,300,RC00-28D-U5,4.44,3.91,3.60,4.48,47.5,Excellent (>4.5),0.94,Uniform high velocity
RC-05,5% Rubber,5,28,Cylinder,300,RC05-28D-U1,4.18,3.68,3.38,4.15,41.2,Good (4.0-4.5),0.89,Slightly reduced due to rubber
RC-05,5% Rubber,5,28,Cylinder,300,RC05-28D-U2,4.12,3.62,3.32,4.15,40.5,Good (4.0-4.5),0.88,Slightly reduced due to rubber
RC-05,5% Rubber,5,28,Cylinder,300,RC05-28D-U3,4.19,3.70,3.40,4.15,41.5,Good (4.0-4.5),0.90,Slightly reduced due to rubber
RC-05,5% Rubber,5,28,Cylinder,300,RC05-28D-U4,4.15,3.66,3.36,4.15,41.0,Good (4.0-4.5),0.89,Slightly reduced due to rubber
RC-05,5% Rubber,5,28,Cylinder,300,RC05-28D-U5,4.11,3.61,3.31,4.15,40.3,Good (4.0-4.5),0.87,Slightly reduced due to rubber
RC-10,10% Rubber,10,28,Cylinder,300,RC10-28D-U1,3.75,3.30,3.02,3.72,33.2,Medium (3.5-4.0),0.81,Noticeable reduction rubber effect
RC-10,10% Rubber,10,28,Cylinder,300,RC10-28D-U2,3.68,3.24,2.96,3.72,32.3,Medium (3.5-4.0),0.79,Noticeable reduction rubber effect
RC-10,10% Rubber,10,28,Cylinder,300,RC10-28D-U3,3.76,3.32,3.04,3.72,33.6,Medium (3.5-4.0),0.82,Noticeable reduction rubber effect
RC-10,10% Rubber,10,28,Cylinder,300,RC10-28D-U4,3.72,3.28,3.00,3.72,33.0,Medium (3.5-4.0),0.80,Noticeable reduction rubber effect
RC-10,10% Rubber,10,28,Cylinder,300,RC10-28D-U5,3.69,3.25,2.97,3.72,32.5,Medium (3.5-4.0),0.79,Noticeable reduction rubber effect
RC-15,15% Rubber,15,28,Cylinder,300,RC15-28D-U1,3.28,2.88,2.62,3.25,25.2,Medium (3.0-3.5),0.72,Significant velocity reduction
RC-15,15% Rubber,15,28,Cylinder,300,RC15-28D-U2,3.18,2.80,2.54,3.25,24.1,Medium (3.0-3.5),0.69,Significant velocity reduction
RC-15,15% Rubber,15,28,Cylinder,300,RC15-28D-U3,3.32,2.92,2.66,3.25,26.2,Medium (3.0-3.5),0.74,Significant velocity reduction
RC-15,15% Rubber,15,28,Cylinder,300,RC15-28D-U4,3.26,2.86,2.60,3.25,25.3,Medium (3.0-3.5),0.71,Significant velocity reduction
RC-15,15% Rubber,15,28,Cylinder,300,RC15-28D-U5,3.21,2.82,2.56,3.25,24.6,Medium (3.0-3.5),0.70,Significant velocity reduction
