Pore_Diameter_nm,RC00_Cumulative_Intrusion_ml_g,RC00_Incremental_Intrusion_ml_g,RC05_Cumulative_Intrusion_ml_g,RC05_Incremental_Intrusion_ml_g,RC10_Cumulative_Intrusion_ml_g,RC10_Incremental_Intrusion_ml_g,RC15_Cumulative_Intrusion_ml_g,RC15_Incremental_Intrusion_ml_g,Pore_Classification
500000,0.0012,0.0012,0.0018,0.0018,0.0028,0.0028,0.0042,0.0042,Macro-pores (large cracks/voids)
100000,0.0035,0.0023,0.0055,0.0037,0.0085,0.0057,0.0128,0.0086,Macro-pores (ITZ voids)
50000,0.0068,0.0033,0.0105,0.0050,0.0162,0.0077,0.0245,0.0117,Macro-pores (rubber-cement interface)
10000,0.0145,0.0077,0.0228,0.0123,0.0358,0.0196,0.0548,0.0303,Large capillary pores
5000,0.0242,0.0097,0.0385,0.0157,0.0612,0.0254,0.0945,0.0397,Large capillary pores
1000,0.0385,0.0143,0.0612,0.0227,0.0978,0.0366,0.1520,0.0575,Medium capillary pores
500,0.0468,0.0083,0.0748,0.0136,0.1198,0.0220,0.1865,0.0345,Medium capillary pores
100,0.0525,0.0057,0.0838,0.0090,0.1342,0.0144,0.2090,0.0225,Small capillary pores
50,0.0555,0.0030,0.0885,0.0047,0.1418,0.0076,0.2208,0.0118,Small capillary pores (critical for strength)
10,0.0578,0.0023,0.0922,0.0037,0.1477,0.0059,0.2300,0.0092,Gel pores (C-S-H interlayer)
5,0.0588,0.0010,0.0938,0.0016,0.1503,0.0026,0.2345,0.0045,Gel pores (C-S-H interlayer)
2,0.0593,0.0005,0.0946,0.0008,0.1516,0.0013,0.2367,0.0022,Gel pores (nanoscale)
