x_mm,y_mm,depth_um,youngs_modulus_GPa,hardness_GPa,creep_compliance,max_load_mN,loading_rate_mN_s,hold_time_s
0.0,0.0,0.0,104.83279708216324,5.580833360855333,0.1054737792920331,10,1,10
0.0,0.020512820512820513,20.512820512820515,107.92936221417261,5.754685549179843,0.060165283430335385,10,1,10
0.0,0.041025641025641026,41.02564102564103,108.31672546006806,5.892448333945751,0.09795961934146863,10,1,10
0.0,0.06153846153846154,61.53846153846154,108.3154510806664,6.104630248938526,0.05321156671376956,10,1,10
0.0,0.08205128205128205,82.05128205128206,110.34211650636384,5.659788254039643,0.0530918016476211,10,1,10
0.0,0.10256410256410256,102.56410256410255,106.42468967907091,6.012181821570452,0.07809226870383436,10,1,10
0.0,0.12307692307692308,123.07692307692308,111.36532386473833,5.556794730030358,0.07231342414336585,10,1,10
0.0,0.14358974358974358,143.5897435897436,114.82932834004376,5.6016466262117826,0.07657826211264093,10,1,10
0.0,0.1641025641025641,164.10256410256412,109.54987064005589,5.681555508066262,0.10080957350202083,10,1,10
0.0,0.18461538461538463,184.6153846153846,110.43614803432294,5.422155794651627,0.0861664049041664,10,1,10
0.0,0.20512820512820512,205.1282051282051,113.59898554588177,5.753737640952852,0.041143455829649636,10,1,10
0.0,0.22564102564102564,225.64102564102564,114.73859737018725,5.68385219854735,0.07168543362714175,10,1,10
0.0,0.24615384615384617,246.15384615384616,113.52288323010514,5.685030187374344,0.07099395657805316,10,1,10
0.0,0.26666666666666666,266.6666666666667,113.43542691978635,5.471460117151278,0.09617228433205421,10,1,10
0.0,0.28717948717948716,287.1794871794872,111.89704058072134,5.8140707548221195,0.11397503042704078,10,1,10
0.0,0.3076923076923077,307.69230769230774,158.7319361998593,10.319319758359821,0.031656521574810206,10,1,10
0.0,0.3282051282051282,328.20512820512823,178.4250465127638,11.96512435591292,0.02124754065020301,10,1,10
0.0,0.3487179487179487,348.7179487179487,188.56031277345397,12.653536008906562,0.010272442100862906,10,1,10
0.0,0.36923076923076925,369.2307692307692,175.5775837966448,12.877884021769894,0.013779673102528865,10,1,10
0.0,0.38974358974358975,389.7435897435897,182.87177069693027,12.799466461211296,0.017946902259377912,10,1,10
0.0,0.41025641025641024,410.2564102564102,175.79196696220285,11.508932029374966,0.01819540283029625,10,1,10
0.0,0.4307692307692308,430.7692307692308,172.67217022385918,12.769398867872594,0.02202777837404051,10,1,10
0.0,0.4512820512820513,451.28205128205127,192.72365189749695,13.424424097270744,0.023121007058080872,10,1,10
0.0,0.4717948717948718,471.79487179487177,181.83683963548066,12.191091498562539,0.017240078955986324,10,1,10
0.0,0.49230769230769234,492.3076923076923,156.1584703776148,10.000985513893458,0.03281705926643439,10,1,10
0.0,0.5128205128205128,512.8205128205128,117.89878945634176,6.29579670903481,0.04893336710649708,10,1,10
0.0,0.5333333333333333,533.3333333333334,124.51981817235121,6.592086275199847,0.06271262922732707,10,1,10
0.0,0.5538461538461539,553.8461538461539,122.20534680967168,6.305999156263189,0.07753766227122011,10,1,10
0.0,0.5743589743589743,574.3589743589744,120.8489003363679,6.854584995985536,0.06462677485352258,10,1,10
0.0,0.5948717948717949,594.8717948717949,121.2580808981763,6.660952810235316,0.03992315064143453,10,1,10
0.0,0.6153846153846154,615.3846153846155,115.50608455334847,6.559983342865433,0.06955663498426289,10,1,10
0.0,0.6358974358974359,635.8974358974359,123.77685950811328,6.406417374883214,0.05090455908137629,10,1,10
0.0,0.6564102564102564,656.4102564102565,117.99271891750334,6.836791090006318,0.06301091026422394,10,1,10
0.0,0.676923076923077,676.9230769230769,124.12965474963757,6.5573175048690775,0.05794178090291458,10,1,10
0.0,0.6974358974358974,697.4358974358973,120.75205112741057,6.864005808098172,0.04964172628207297,10,1,10
0.0,0.717948717948718,717.9487179487179,124.1410660437793,6.131481261463092,0.07472616100952123,10,1,10
0.0,0.7384615384615385,738.4615384615385,119.560570430755,6.420687708185507,0.060730665723824996,10,1,10
0.0,0.7589743589743589,758.9743589743589,121.95203995952512,6.5557672871523796,0.05989114103739564,10,1,10
0.0,0.7794871794871795,779.4871794871794,123.64048343611137,6.363709279905576,0.05570469848704748,10,1,10
0.0,0.8,800.0,120.1153204772069,6.750007533865321,0.05915973019562438,10,1,10
0.20408163265306123,0.0,0.0,108.64050119194032,5.9398422346293005,0.05932622204298231,10,1,10
0.20408163265306123,0.020512820512820513,20.512820512820515,116.08675485913979,6.069002072835197,0.04280724992285877,10,1,10
0.20408163265306123,0.041025641025641026,41.02564102564103,114.3807581654983,6.0879730865521005,0.07565954204481389,10,1,10
0.20408163265306123,0.06153846153846154,61.53846153846154,109.18943921941171,5.8503828188457305,0.07774575201769199,10,1,10
0.20408163265306123,0.08205128205128205,82.05128205128206,108.29697412115905,5.480668016905111,0.09214217871342363,10,1,10
0.20408163265306123,0.10256410256410256,102.56410256410255,104.68800983384273,5.3238690594519635,0.11003204122384429,10,1,10
0.20408163265306123,0.12307692307692308,123.07692307692308,109.70422395150173,5.691738458392563,0.05206056572353923,10,1,10
0.20408163265306123,0.14358974358974358,143.5897435897436,114.0875739809804,5.772223320599,0.08645771760883428,10,1,10
