time_s,temperature_c,voltage_v
0.000000,24.247535,0.081597
10.000000,25.986788,0.088665
20.000000,27.726040,0.142860
30.000000,29.465293,0.131991
40.000000,31.204545,0.151634
50.000000,32.943797,0.156228
60.000000,34.683050,0.188246
70.000000,36.422302,0.187567
80.000000,38.161554,0.189163
90.000000,39.900807,0.215809
100.000000,41.640059,0.221591
110.000000,43.379312,0.223315
120.000000,45.118564,0.279403
130.000000,46.857816,0.284142
140.000000,48.597069,0.296554
150.000000,50.336321,0.322947
160.000000,52.075573,0.307012
170.000000,53.814826,0.319423
180.000000,55.554078,0.335378
190.000000,57.293331,0.347607
200.000000,59.032583,0.376803
210.000000,60.771835,0.350391
220.000000,62.511088,0.391180
230.000000,64.250340,0.408772
240.000000,65.989592,0.410731
250.000000,67.728845,0.404645
260.000000,69.468097,0.458942
270.000000,71.207350,0.430567
280.000000,72.946602,0.477198
290.000000,74.685854,0.465869
300.000000,76.425107,0.472075
310.000000,78.164359,0.494184
320.000000,79.903612,0.500611
330.000000,81.642864,0.519046
340.000000,83.382116,0.564425
350.000000,85.121369,0.580363
360.000000,86.860621,0.571767
370.000000,88.599873,0.602477
380.000000,90.339126,0.605175
390.000000,92.078378,0.619907
400.000000,93.817631,0.655887
410.000000,95.556883,0.635344
420.000000,97.296135,0.682199
430.000000,99.035388,0.684798
440.000000,100.774640,0.697674
450.000000,102.513892,0.670357
460.000000,100.774640,0.688377
470.000000,99.035388,0.698586
480.000000,97.296135,0.730746
490.000000,95.556883,0.780099
500.000000,93.817631,0.789209
510.000000,92.078378,0.800315
520.000000,90.339126,0.770466
530.000000,88.599873,0.819010
540.000000,86.860621,0.836469
550.000000,85.121369,0.851889
560.000000,83.382116,0.864201
570.000000,81.642864,0.838419
580.000000,79.903612,0.854063
590.000000,78.164359,0.904220
600.000000,76.425107,0.914293
610.000000,74.685854,0.936880
620.000000,72.946602,0.923455
630.000000,71.207350,0.963374
640.000000,69.468097,0.931698
650.000000,67.728845,0.994094
660.000000,65.989592,1.003068
670.000000,64.250340,0.983587
680.000000,62.511088,0.980720
690.000000,60.771835,1.022912
700.000000,59.032583,1.044686
710.000000,57.293331,1.037689
720.000000,55.554078,1.033450
730.000000,53.814826,1.060054
740.000000,52.075573,1.106137
750.000000,50.336321,1.075438
760.000000,48.597069,1.139569
770.000000,46.857816,1.111668
780.000000,45.118564,1.122266
790.000000,43.379312,1.130065
800.000000,41.640059,1.195529
810.000000,39.900807,1.204063
820.000000,38.161554,1.182483
830.000000,36.422302,1.182404
840.000000,34.683050,1.229199
850.000000,32.943797,1.256588
860.000000,31.204545,1.217393
870.000000,29.465293,1.267983
880.000000,27.726040,1.294736
890.000000,25.986788,1.284196
900.000000,24.247535,1.304163
