frequency_hz,TL_dB_sensor1,TL_dB_sensor2,TL_dB_sensor3
0.0,-60.714115,-57.510754,-54.12907
9.765625,-61.20394,-55.272022,-55.08853
19.53125,-60.141773,-56.873913,-55.52092
29.296875,-61.674416,-52.7735,-51.093403
39.0625,-58.44274,-53.526836,-51.261482
48.828125,-56.284485,-53.074257,-49.138493
58.59375,-55.517735,-53.45808,-51.194798
68.359375,-54.586655,-54.206955,-51.612892
78.125,-53.241505,-49.664288,-50.015976
87.890625,-52.955017,-45.81658,-47.36967
97.65625,-51.443756,-46.99064,-43.123276
107.421875,-46.950397,-44.390495,-41.10614
117.1875,-41.702637,-40.7325,-40.435234
126.953125,-41.58168,-34.379623,-39.526596
136.71875,-35.20802,-29.9222,-35.94043
146.48438,-30.23053,-29.324835,-27.331032
156.25,-29.221779,-26.955544,-25.960064
166.01562,-29.578255,-19.59337,-16.376308
175.78125,-26.948166,-18.3549,-12.952155
185.54688,-16.622324,-16.013681,-14.469295
195.3125,-13.681493,-7.4876842,-8.502377
205.07812,-8.809148,-5.417035,-6.148696
214.84375,-7.4793077,-2.4113908,-3.4666488
224.60938,-2.1426463,0.697693,-1.7321576
234.375,-1.6929772,-0.73936605,-1.7544423
244.14062,-0.552873,-0.6275965,-0.9942537
253.90625,2.1853917,-1.6176414,0.16447207
263.67188,-0.8943703,-0.9021244,0.8306888
273.4375,-0.59871453,-0.682394,-0.13888794
283.20312,0.704991,0.7050795,0.17801605
292.96875,-0.5058781,-0.45779362,0.34143093
302.73438,-1.4868714,0.13853668,0.6365826
312.5,-0.99072564,-0.2632531,0.25997424
322.26562,-0.73333377,0.10199354,0.38527006
332.03125,-0.2397752,-0.54907966,-0.2344786
341.79688,0.09407309,0.054258846,-0.31160805
351.5625,-0.3429482,0.88220865,0.040462248
361.32812,0.1317616,0.93996435,0.13905466
371.09375,0.40188837,0.376355,0.1135335
380.85938,0.09384459,0.22011968,0.46856645
390.625,-0.27542448,0.11609136,0.5365886
400.39062,-0.5460422,-0.032373503,0.11778619
410.15625,-0.023197688,0.10323082,-0.08331254
419.92188,0.6058797,-0.063288294,0.10139019
429.6875,0.121793605,-0.4081084,0.39645034
439.45312,-0.14794828,0.04456366,0.30234396
449.21875,-0.10361458,-0.6787181,-0.14425887
458.98438,-1.1387389,-0.54115134,0.11864067
468.75,0.6428223,-0.9444651,0.62992543
478.51562,1.0051515,-0.70076275,0.37210393
488.28125,-0.71118087,-0.14562066,0.59680337
498.04688,-0.59314793,-0.73590094,-0.31217292
507.8125,-0.0939044,0.18245234,-0.15277913
517.5781,-0.8137522,-0.4387754,0.16894312
527.34375,-1.7185789,0.17470674,0.5581245
537.1094,0.34391406,0.84288484,1.286109
546.875,-1.7113247,-0.31204998,0.81871146
556.6406,-2.3366613,-0.6658912,0.4245456
566.40625,0.048619214,-1.4530109,-0.18119696
576.1719,-0.25609618,0.07085939,-0.17995322
585.9375,-0.089774325,0.039270576,0.12663868
595.7031,0.0034725082,-0.077935226,0.09356187
605.46875,0.115719855,-0.33731788,-0.14900339
615.2344,-0.81578577,-0.730734,0.2284553
625.0,-1.2079196,-1.1437056,0.2578671
634.7656,-0.41041666,0.0829963,0.68672323
644.53125,-0.13302901,0.051536895,-0.49054682
654.2969,0.18211924,0.59720135,0.0072849286
664.0625,0.7317156,0.59310335,0.6268949
673.8281,1.3306041,0.20674312,0.3085762
