Mix_ID,Temperature_C,Data_Type,Property_Type,Damage_Level_Mean,Damage_Level_Std,Damage_Rate_Mean_per_C,Damage_Rate_Std_per_C,Residual_Strength_Factor_Mean,Residual_Strength_Factor_Std,Residual_Stiffness_Factor_Mean,Residual_Stiffness_Factor_Std,Damage_Threshold_Temp_C,Rubber_Content_Percent,Particle_Size
C,20,Calibration,Deformation,0.0,0.0,0.00e+00,0.00e+00,1.0,0.08,1.0,0.1,300.0,0.0,small
C,30,Calibration,Deformation,0.0,0.0,0.00e+00,0.00e+00,1.0,0.08,1.0,0.1,300.0,0.0,small
C,40,Validation,Deformation,0.0,0.0,0.00e+00,0.00e+00,1.0,0.08,1.0,0.1,300.0,0.0,small
C,50,Validation,Deformation,0.0,0.0,0.00e+00,0.00e+00,1.0,0.08,1.0,0.1,300.0,0.0,small
C,60,Calibration,Deformation,0.0,0.0,0.00e+00,0.00e+00,1.0,0.08,1.0,0.1,300.0,0.0,small
C,70,Validation,Deformation,0.0,0.0,0.00e+00,0.00e+00,1.0,0.08,1.0,0.1,300.0,0.0,small
C,80,Calibration,Deformation,0.0,0.0,0.00e+00,0.00e+00,1.0,0.08,1.0,0.1,300.0,0.0,small
C,90,Validation,Deformation,0.0,0.0,0.00e+00,0.00e+00,1.0,0.08,1.0,0.1,300.0,0.0,small
C,100,Calibration,Deformation,0.0,0.0,0.00e+00,0.00e+00,1.0,0.08,1.0,0.1,300.0,0.0,small
C,110,Calibration,Deformation,0.0,0.0,0.00e+00,0.00e+00,1.0,0.08,1.0,0.1,300.0,0.0,small
C,120,Calibration,Deformation,0.0,0.0,0.00e+00,0.00e+00,1.0,0.08,1.0,0.1,300.0,0.0,small
C,130,Calibration,Deformation,0.0,0.0,0.00e+00,0.00e+00,1.0,0.08,1.0,0.1,300.0,0.0,small
C,140,Calibration,Deformation,0.0,0.0,0.00e+00,0.00e+00,1.0,0.08,1.0,0.1,300.0,0.0,small
C,150,Calibration,Deformation,0.0,0.0,0.00e+00,0.00e+00,1.0,0.08,1.0,0.1,300.0,0.0,small
C,160,Calibration,Deformation,0.0,0.0,0.00e+00,0.00e+00,1.0,0.08,1.0,0.1,300.0,0.0,small
C,170,Validation,Deformation,0.0,0.0,0.00e+00,0.00e+00,1.0,0.08,1.0,0.1,300.0,0.0,small
