Mix_ID,Temperature_C,Data_Type,Property_Type,Ultimate_Autogenous_Shrinkage_Mean,Ultimate_Autogenous_Shrinkage_Std,Ultimate_Drying_Shrinkage_Mean,Ultimate_Drying_Shrinkage_Std,Shrinkage_Time_Constant_Mean_days,Shrinkage_Time_Constant_Std_days,Humidity_Factor_Mean,Humidity_Factor_Std,Rubber_Content_Percent,Particle_Size
C,20,Calibration,Deformation,1.20e-04,3.00e-05,4.50e-04,9.00e-05,28.0,5.0,0.85,0.085,0.0,small
C,30,Validation,Deformation,1.21e-04,3.02e-05,4.53e-04,9.06e-05,27.9,5.0,0.848,0.085,0.0,small
C,40,Calibration,Deformation,1.22e-04,3.04e-05,4.56e-04,9.12e-05,27.8,5.0,0.846,0.085,0.0,small
C,50,Calibration,Deformation,1.22e-04,3.06e-05,4.59e-04,9.17e-05,27.7,5.0,0.843,0.084,0.0,small
C,60,Validation,Deformation,1.23e-04,3.08e-05,4.62e-04,9.23e-05,27.6,5.0,0.841,0.084,0.0,small
C,70,Calibration,Deformation,1.24e-04,3.10e-05,4.64e-04,9.29e-05,27.5,4.9,0.839,0.084,0.0,small
C,80,Calibration,Deformation,1.25e-04,3.12e-05,4.67e-04,9.35e-05,27.4,4.9,0.837,0.084,0.0,small
C,90,Calibration,Deformation,1.25e-04,3.13e-05,4.70e-04,9.40e-05,27.3,4.9,0.835,0.083,0.0,small
C,100,Calibration,Deformation,1.26e-04,3.15e-05,4.73e-04,9.46e-05,27.2,4.9,0.833,0.083,0.0,small
C,110,Calibration,Deformation,1.34e-04,3.35e-05,5.00e-04,1.00e-04,27.0,4.9,0.831,0.083,0.0,small
C,120,Calibration,Deformation,1.38e-04,3.45e-05,5.13e-04,1.03e-04,26.9,4.8,0.828,0.083,0.0,small
C,130,Validation,Deformation,1.41e-04,3.52e-05,5.23e-04,1.05e-04,26.8,4.8,0.826,0.083,0.0,small
C,140,Calibration,Deformation,1.44e-04,3.59e-05,5.32e-04,1.06e-04,26.7,4.8,0.824,0.082,0.0,small
C,150,Calibration,Deformation,1.46e-04,3.65e-05,5.41e-04,1.08e-04,26.6,4.8,0.822,0.082,0.0,small
C,160,Validation,Deformation,1.48e-04,3.71e-05,5.49e-04,1.10e-04,26.5,4.8,0.82,0.082,0.0,small
C,170,Validation,Deformation,1.51e-04,3.76e-05,5.57e-04,1.11e-04,26.4,4.8,0.818,0.082,0.0,small
C,180,Calibration,Deformation,1.53e-04,3.81e-05,5.64e-04,1.13e-04,26.3,4.7,0.816,0.082,0.0,small
C,190,Calibration,Deformation,1.55e-04,3.86e-05,5.71e-04,1.14e-04,26.2,4.7,0.814,0.081,0.0,small
C,200,Calibration,Deformation,1.57e-04,3.91e-05,5.78e-04,1.16e-04,26.1,4.7,0.812,0.081,0.0,small
C,210,Calibration,Deformation,1.58e-04,3.96e-05,5.84e-04,1.17e-04,26.0,4.7,0.81,0.081,0.0,small
C,220,Calibration,Deformation,1.60e-04,4.01e-05,5.91e-04,1.18e-04,25.9,4.7,0.808,0.081,0.0,small
C,230,Calibration,Deformation,1.62e-04,4.05e-05,5.97e-04,1.19e-04,25.8,4.6,0.805,0.081,0.0,small
C,240,Calibration,Deformation,1.64e-04,4.09e-05,6.03e-04,1.21e-04,25.7,4.6,0.803,0.08,0.0,small
C,250,Calibration,Deformation,1.65e-04,4.14e-05,6.09e-04,1.22e-04,25.6,4.6,0.801,0.08,0.0,small
C,260,Validation,Deformation,1.67e-04,4.18e-05,6.15e-04,1.23e-04,25.5,4.6,0.799,0.08,0.0,small
C,270,Validation,Deformation,1.69e-04,4.22e-05,6.21e-04,1.24e-04,25.4,4.6,0.797,0.08,0.0,small
C,280,Calibration,Deformation,1.70e-04,4.26e-05,6.26e-04,1.25e-04,25.3,4.6,0.795,0.08,0.0,small
C,290,Calibration,Deformation,1.72e-04,4.30e-05,6.32e-04,1.26e-04,25.2,4.5,0.793,0.079,0.0,small
C,300,Calibration,Deformation,1.74e-04,4.34e-05,6.38e-04,1.28e-04,25.1,4.5,0.791,0.079,0.0,small
C,310,Validation,Deformation,1.75e-04,4.38e-05,6.43e-04,1.29e-04,25.0,4.5,0.789,0.079,0.0,small
C,320,Calibration,Deformation,1.77e-04,4.42e-05,6.49e-04,1.30e-04,24.9,4.5,0.787,0.079,0.0,small
