Mix_ID,Temperature_C,Data_Type,Property_Type,Creep_Coefficient_A_Mean,Creep_Coefficient_A_Std,Stress_Exponent_n_Mean,Stress_Exponent_n_Std,Time_Exponent_m_Mean,Time_Exponent_m_Std,Activation_Energy_Mean_J_mol,Activation_Energy_Std_J_mol,Rubber_Content_Percent,Particle_Size
C,20,Calibration,Deformation,2.50e-12,7.50e-13,1.2,0.18,0.18,0.0216,45000.0,4500.0,0.0,small
C,30,Validation,Deformation,4.60e-12,1.38e-12,1.202,0.18,0.1799,0.0216,45000.0,4500.0,0.0,small
C,40,Validation,Deformation,8.13e-12,2.44e-12,1.203,0.18,0.1798,0.0216,45000.0,4500.0,0.0,small
C,50,Calibration,Deformation,1.39e-11,4.16e-12,1.205,0.181,0.1797,0.0216,45000.0,4500.0,0.0,small
C,60,Calibration,Deformation,2.29e-11,6.88e-12,1.206,0.181,0.1795,0.0215,45000.0,4500.0,0.0,small
C,70,Calibration,Deformation,3.68e-11,1.11e-11,1.208,0.181,0.1794,0.0215,45000.0,4500.0,0.0,small
C,80,Calibration,Deformation,5.76e-11,1.73e-11,1.209,0.181,0.1793,0.0215,45000.0,4500.0,0.0,small
C,90,Validation,Deformation,8.78e-11,2.63e-11,1.211,0.182,0.1792,0.0215,45000.0,4500.0,0.0,small
C,100,Calibration,Deformation,1.31e-10,3.93e-11,1.212,0.182,0.1791,0.0215,45000.0,4500.0,0.0,small
C,110,Validation,Deformation,1.91e-10,5.74e-11,1.214,0.182,0.179,0.0215,45000.0,4500.0,0.0,small
C,120,Calibration,Deformation,2.74e-10,8.22e-11,1.215,0.182,0.1788,0.0215,45000.0,4500.0,0.0,small
C,130,Validation,Deformation,3.85e-10,1.16e-10,1.217,0.183,0.1787,0.0214,45000.0,4500.0,0.0,small
C,140,Validation,Deformation,5.33e-10,1.60e-10,1.218,0.183,0.1786,0.0214,45000.0,4500.0,0.0,small
C,150,Calibration,Deformation,7.27e-10,2.18e-10,1.22,0.183,0.1785,0.0214,45000.0,4500.0,0.0,small
C,160,Calibration,Deformation,9.76e-10,2.93e-10,1.222,0.183,0.1784,0.0214,45000.0,4500.0,0.0,small
C,170,Calibration,Deformation,1.29e-09,3.88e-10,1.223,0.183,0.1783,0.0214,45000.0,4500.0,0.0,small
C,180,Calibration,Deformation,1.69e-09,5.08e-10,1.225,0.184,0.1782,0.0214,45000.0,4500.0,0.0,small
C,190,Calibration,Deformation,2.19e-09,6.58e-10,1.226,0.184,0.178,0.0214,45000.0,4500.0,0.0,small
C,200,Calibration,Deformation,2.81e-09,8.42e-10,1.228,0.184,0.1779,0.0214,45000.0,4500.0,0.0,small
C,210,Calibration,Deformation,3.56e-09,1.07e-09,1.229,0.184,0.1778,0.0213,45000.0,4500.0,0.0,small
C,220,Calibration,Deformation,4.47e-09,1.34e-09,1.231,0.185,0.1777,0.0213,45000.0,4500.0,0.0,small
C,230,Calibration,Deformation,5.55e-09,1.67e-09,1.232,0.185,0.1776,0.0213,45000.0,4500.0,0.0,small
C,240,Calibration,Deformation,6.85e-09,2.06e-09,1.234,0.185,0.1775,0.0213,45000.0,4500.0,0.0,small
C,250,Calibration,Deformation,8.38e-09,2.51e-09,1.235,0.185,0.1773,0.0213,45000.0,4500.0,0.0,small
C,260,Calibration,Deformation,1.02e-08,3.05e-09,1.237,0.186,0.1772,0.0213,45000.0,4500.0,0.0,small
C,270,Validation,Deformation,1.23e-08,3.68e-09,1.238,0.186,0.1771,0.0213,45000.0,4500.0,0.0,small
C,280,Calibration,Deformation,1.47e-08,4.41e-09,1.24,0.186,0.177,0.0212,45000.0,4500.0,0.0,small
C,290,Calibration,Deformation,1.75e-08,5.24e-09,1.242,0.186,0.1769,0.0212,45000.0,4500.0,0.0,small
C,300,Calibration,Deformation,2.07e-08,6.20e-09,1.243,0.186,0.1768,0.0212,45000.0,4500.0,0.0,small
C,310,Calibration,Deformation,2.43e-08,7.29e-09,1.245,0.187,0.1767,0.0212,45000.0,4500.0,0.0,small
C,320,Calibration,Deformation,2.84e-08,8.52e-09,1.246,0.187,0.1765,0.0212,45000.0,4500.0,0.0,small
C,330,Calibration,Deformation,3.31e-08,9.92e-09,1.248,0.187,0.1764,0.0212,45000.0,4500.0,0.0,small
C,340,Calibration,Deformation,3.83e-08,1.15e-08,1.249,0.187,0.1763,0.0212,45000.0,4500.0,0.0,small
C,350,Validation,Deformation,4.41e-08,1.32e-08,1.251,0.188,0.1762,0.0211,45000.0,4500.0,0.0,small
C,360,Validation,Deformation,5.06e-08,1.52e-08,1.252,0.188,0.1761,0.0211,45000.0,4500.0,0.0,small
C,370,Validation,Deformation,5.78e-08,1.73e-08,1.254,0.188,0.176,0.0211,45000.0,4500.0,0.0,small
C,380,Calibration,Deformation,6.57e-08,1.97e-08,1.255,0.188,0.1758,0.0211,45000.0,4500.0,0.0,small
C,390,Calibration,Deformation,7.44e-08,2.23e-08,1.257,0.189,0.1757,0.0211,45000.0,4500.0,0.0,small
C,400,Calibration,Deformation,8.40e-08,2.52e-08,1.258,0.189,0.1756,0.0211,45000.0,4500.0,0.0,small
C,410,Calibration,Deformation,9.45e-08,2.84e-08,1.26,0.189,0.1755,0.0211,45000.0,4500.0,0.0,small
C,420,Calibration,Deformation,1.06e-07,3.18e-08,1.262,0.189,0.1754,0.021,45000.0,4500.0,0.0,small
C,430,Calibration,Deformation,1.18e-07,3.55e-08,1.263,0.189,0.1753,0.021,45000.0,4500.0,0.0,small
C,440,Calibration,Deformation,1.32e-07,3.96e-08,1.265,0.19,0.1752,0.021,45000.0,4500.0,0.0,small
C,450,Validation,Deformation,1.47e-07,4.40e-08,1.266,0.19,0.175,0.021,45000.0,4500.0,0.0,small
C,460,Calibration,Deformation,1.62e-07,4.87e-08,1.268,0.19,0.1749,0.021,45000.0,4500.0,0.0,small
C,470,Calibration,Deformation,1.79e-07,5.38e-08,1.269,0.19,0.1748,0.021,45000.0,4500.0,0.0,small
C,480,Calibration,Deformation,1.97e-07,5.92e-08,1.271,0.191,0.1747,0.021,45000.0,4500.0,0.0,small
C,490,Calibration,Deformation,2.17e-07,6.51e-08,1.272,0.191,0.1746,0.0209,45000.0,4500.0,0.0,small
C,500,Calibration,Deformation,2.38e-07,7.13e-08,1.274,0.191,0.1745,0.0209,45000.0,4500.0,0.0,small
C,510,Calibration,Deformation,2.60e-07,7.80e-08,1.275,0.191,0.1743,0.0209,45000.0,4500.0,0.0,small
C,520,Validation,Deformation,2.84e-07,8.51e-08,1.277,0.192,0.1742,0.0209,45000.0,4500.0,0.0,small
C,530,Validation,Deformation,3.09e-07,9.27e-08,1.278,0.192,0.1741,0.0209,45000.0,4500.0,0.0,small
C,540,Validation,Deformation,3.36e-07,1.01e-07,1.28,0.192,0.174,0.0209,45000.0,4500.0,0.0,small
C,550,Validation,Deformation,3.64e-07,1.09e-07,1.282,0.192,0.1739,0.0209,45000.0,4500.0,0.0,small
C,560,Calibration,Deformation,3.94e-07,1.18e-07,1.283,0.192,0.1738,0.0209,45000.0,4500.0,0.0,small
C,570,Validation,Deformation,4.25e-07,1.28e-07,1.285,0.193,0.1737,0.0208,45000.0,4500.0,0.0,small
C,580,Calibration,Deformation,4.58e-07,1.38e-07,1.286,0.193,0.1735,0.0208,45000.0,4500.0,0.0,small
C,590,Calibration,Deformation,4.93e-07,1.48e-07,1.288,0.193,0.1734,0.0208,45000.0,4500.0,0.0,small
C,600,Calibration,Deformation,5.30e-07,1.59e-07,1.289,0.193,0.1733,0.0208,45000.0,4500.0,0.0,small
C,610,Calibration,Deformation,5.69e-07,1.71e-07,1.291,0.194,0.1732,0.0208,45000.0,4500.0,0.0,small
C,620,Calibration,Deformation,6.09e-07,1.83e-07,1.292,0.194,0.1731,0.0208,45000.0,4500.0,0.0,small
C,630,Calibration,Deformation,6.51e-07,1.95e-07,1.294,0.194,0.173,0.0208,45000.0,4500.0,0.0,small
C,640,Validation,Deformation,6.95e-07,2.09e-07,1.295,0.194,0.1728,0.0207,45000.0,4500.0,0.0,small
C,650,Calibration,Deformation,7.42e-07,2.22e-07,1.297,0.195,0.1727,0.0207,45000.0,4500.0,0.0,small
C,660,Calibration,Deformation,7.90e-07,2.37e-07,1.298,0.195,0.1726,0.0207,45000.0,4500.0,0.0,small
C,670,Calibration,Deformation,8.40e-07,2.52e-07,1.3,0.195,0.1725,0.0207,45000.0,4500.0,0.0,small
C,680,Calibration,Deformation,8.92e-07,2.68e-07,1.302,0.195,0.1724,0.0207,45000.0,4500.0,0.0,small
C,690,Validation,Deformation,9.46e-07,2.84e-07,1.303,0.195,0.1723,0.0207,45000.0,4500.0,0.0,small
C,700,Calibration,Deformation,1.00e-06,3.01e-07,1.305,0.196,0.1722,0.0207,45000.0,4500.0,0.0,small
C,710,Validation,Deformation,1.06e-06,3.18e-07,1.306,0.196,0.172,0.0206,45000.0,4500.0,0.0,small
C,720,Validation,Deformation,1.12e-06,3.36e-07,1.308,0.196,0.1719,0.0206,45000.0,4500.0,0.0,small
C,730,Calibration,Deformation,1.18e-06,3.55e-07,1.309,0.196,0.1718,0.0206,45000.0,4500.0,0.0,small
C,740,Calibration,Deformation,1.25e-06,3.75e-07,1.311,0.197,0.1717,0.0206,45000.0,4500.0,0.0,small
C,750,Validation,Deformation,1.32e-06,3.95e-07,1.312,0.197,0.1716,0.0206,45000.0,4500.0,0.0,small
C,760,Validation,Deformation,1.38e-06,4.15e-07,1.314,0.197,0.1715,0.0206,45000.0,4500.0,0.0,small
C,770,Validation,Deformation,1.46e-06,4.37e-07,1.315,0.197,0.1713,0.0206,45000.0,4500.0,0.0,small
C,780,Validation,Deformation,1.53e-06,4.59e-07,1.317,0.198,0.1712,0.0205,45000.0,4500.0,0.0,small
C,790,Calibration,Deformation,1.61e-06,4.82e-07,1.318,0.198,0.1711,0.0205,45000.0,4500.0,0.0,small
C,800,Calibration,Deformation,1.68e-06,5.05e-07,1.32,0.198,0.171,0.0205,45000.0,4500.0,0.0,small
R5S,20,Calibration,Deformation,2.70e-12,8.10e-13,1.218,0.183,0.1782,0.0214,44460.0,4446.0,10.0,small
R5S,30,Validation,Deformation,4.93e-12,1.48e-12,1.22,0.183,0.1781,0.0214,44460.0,4446.0,10.0,small
R5S,40,Calibration,Deformation,8.66e-12,2.60e-12,1.221,0.183,0.178,0.0214,44460.0,4446.0,10.0,small
R5S,50,Calibration,Deformation,1.47e-11,4.41e-12,1.223,0.183,0.1779,0.0213,44460.0,4446.0,10.0,small
R5S,60,Calibration,Deformation,2.41e-11,7.24e-12,1.224,0.184,0.1777,0.0213,44460.0,4446.0,10.0,small
R5S,70,Calibration,Deformation,3.85e-11,1.16e-11,1.226,0.184,0.1776,0.0213,44460.0,4446.0,10.0,small
R5S,80,Calibration,Deformation,5.99e-11,1.80e-11,1.227,0.184,0.1775,0.0213,44460.0,4446.0,10.0,small
R5S,90,Validation,Deformation,9.09e-11,2.73e-11,1.229,0.184,0.1774,0.0213,44460.0,4446.0,10.0,small
