sample_id,interface,interface_condition,temperature_C,pO2_atm,log10_pO2,eta,beta33_over_beta11,Gc_bulk_Jm2,Gamma_i_Jm2,Gc_int_Jm2,sigma_max_MPa,characteristic_length_um,beta_pen_GPam,l0_nm,regulated_length_um,LSCF_delta,GDC_delta,newton_tol,mesh_h_nm,degradation_residual
1,YSZ/GDC,with_interdiffusion,744.83,4.649e-02,-1.3326,2.1,1.6567,4.1608,2.3016,2.578,208.661,,945.5588,10.0288,0.5,0.019855,0.003897,3e-07,3.483,1e-06
2,GDC/LSCF,with_sr_segregation,752.6,1.248e-09,-8.9038,2.1,1.8157,8.7488,0.4114,0.3763,,0.2075,126.4746,17.1185,0.5,0.027187,0.006863,1e-08,8.5071,1e-06
3,YSZ/GDC,baseline,760.17,4.093e-17,-16.388,2.1,1.7802,9.6147,2.1551,2.4595,190.319,,7264.9493,9.0658,0.5,0.034427,0.012403,3e-08,4.4697,1e-06
4,GDC/LSCF,baseline,802.51,2.503e-12,-11.6015,2.1,1.6588,7.6401,0.631,0.5094,,0.3251,4019.9429,14.4272,0.5,0.032942,0.009803,1e-06,6.1465,1e-06
5,GDC/LSCF,with_sr_segregation,734.93,3.135e-08,-7.5037,2.1,1.8705,7.0269,0.3596,0.3562,,0.1874,1629.0901,14.0694,0.5,0.024749,0.005501,1e-08,5.193,1e-06
6,YSZ/GDC,with_interdiffusion,817.07,4.008e-03,-2.3971,2.1,1.9354,8.2495,3.2,3.1732,226.352,,4131.2808,14.5634,0.5,0.025629,0.005341,1e-08,7.2607,1e-06
7,YSZ/GDC,with_interdiffusion,606.95,3.141e-02,-1.503,2.1,1.7098,6.7248,3.0674,2.728,206.281,,150.9999,18.6731,0.5,0.010816,0.001139,1e-06,8.5858,1e-06
8,YSZ/GDC,with_interdiffusion,744.37,9.741e-13,-12.0114,2.1,1.674,7.1086,2.9835,2.9007,229.461,,6626.0243,7.3554,0.5,0.029435,0.008936,1e-07,3.2088,1e-06
9,GDC/LSCF,baseline,889.95,2.822e-01,-0.5494,2.1,1.7424,6.5853,0.7335,0.7783,,0.2197,188.0188,17.4321,0.5,0.028824,0.006799,1e-08,7.6324,1e-06
10,YSZ/GDC,with_interdiffusion,759.57,7.068e-14,-13.1507,2.1,1.8818,9.1627,2.2379,2.554,250.815,,284.5516,15.5487,0.5,0.031474,0.01006,1e-06,6.5053,1e-06
