material,temperature_C,delta_nonstoichiometry,alpha_chem_per_delta,epsilon_ch,epsilon_ch_microstrain,equation
GDC,600,0.0,0.02,0.0,0.0,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,600,0.001048,0.02,2.11e-05,21.1,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,600,0.002095,0.02,4.25e-05,42.5,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,600,0.003143,0.02,6.42e-05,64.2,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,600,0.00419,0.02,8.62e-05,86.2,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,600,0.005238,0.02,0.0001085,108.5,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,600,0.006286,0.02,0.0001311,131.1,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,600,0.007333,0.02,0.000154,154.0,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,600,0.008381,0.02,0.0001772,177.2,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,600,0.009429,0.02,0.00020069,200.69,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,600,0.010476,0.02,0.00022449,224.49,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,600,0.011524,0.02,0.00024859,248.59,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,600,0.012571,0.02,0.00027298,272.98,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,600,0.013619,0.02,0.00029767,297.67,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,600,0.014667,0.02,0.00032267,322.67,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,600,0.015714,0.02,0.00034796,347.96,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,600,0.016762,0.02,0.00037355,373.55,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,600,0.01781,0.02,0.00039944,399.44,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,600,0.018857,0.02,0.00042563,425.63,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,600,0.019905,0.02,0.00045212,452.12,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,600,0.020952,0.02,0.00047891,478.91,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
