material,temperature_C,pO2_atm,log10_pO2,delta_nonstoichiometry,provenance
GDC,600,1.0e-05,-5.0,0.001,fabricated_from_calibrated_range
GDC,600,1.0e-10,-10.0,0.0046,fabricated_from_calibrated_range
GDC,600,1.0e-15,-15.0,0.0082,fabricated_from_calibrated_range
GDC,600,1.0e-20,-20.0,0.0118,fabricated_from_calibrated_range
GDC,700,1.0e-05,-5.0,0.003,fabricated_from_calibrated_range
GDC,700,1.0e-10,-10.0,0.0066,fabricated_from_calibrated_range
GDC,700,1.0e-15,-15.0,0.0102,fabricated_from_calibrated_range
GDC,700,1.0e-20,-20.0,0.0138,fabricated_from_calibrated_range
GDC,800,1.0e-05,-5.0,0.005,fabricated_from_calibrated_range
GDC,800,1.0e-10,-10.0,0.0086,fabricated_from_calibrated_range
GDC,800,1.0e-15,-15.0,0.0122,fabricated_from_calibrated_range
GDC,800,1.0e-20,-20.0,0.0158,fabricated_from_calibrated_range
GDC,900,1.0e-05,-5.0,0.007,fabricated_from_calibrated_range
GDC,900,1.0e-10,-10.0,0.0106,fabricated_from_calibrated_range
GDC,900,1.0e-15,-15.0,0.0142,fabricated_from_calibrated_range
GDC,900,1.0e-20,-20.0,0.0178,fabricated_from_calibrated_range
