file,medium,fs_Hz,duration_s,distance_m,snr_db,f_start_Hz,f_end_Hz,sound_speed_mps,density_kgpm3,alpha_db_per_m
data/ancillary_reference/single_phase_baseline/water/water_sweep_200-2000Hz_1.0m_SNR20.csv,water,20000.0,2.0,1.0,20.0,200.0,2000.0,1480.0,998.0,0.002
data/ancillary_reference/single_phase_baseline/water/water_sweep_200-2000Hz_1.0m_SNR30.csv,water,20000.0,2.0,1.0,30.0,200.0,2000.0,1480.0,998.0,0.002
data/ancillary_reference/single_phase_baseline/water/water_sweep_200-2000Hz_1.0m_SNR40.csv,water,20000.0,2.0,1.0,40.0,200.0,2000.0,1480.0,998.0,0.002
data/ancillary_reference/single_phase_baseline/water/water_sweep_200-2000Hz_2.0m_SNR20.csv,water,20000.0,2.0,2.0,20.0,200.0,2000.0,1480.0,998.0,0.002
data/ancillary_reference/single_phase_baseline/water/water_sweep_200-2000Hz_2.0m_SNR30.csv,water,20000.0,2.0,2.0,30.0,200.0,2000.0,1480.0,998.0,0.002
data/ancillary_reference/single_phase_baseline/water/water_sweep_200-2000Hz_2.0m_SNR40.csv,water,20000.0,2.0,2.0,40.0,200.0,2000.0,1480.0,998.0,0.002
data/ancillary_reference/single_phase_baseline/water/water_sweep_200-2000Hz_5.0m_SNR20.csv,water,20000.0,2.0,5.0,20.0,200.0,2000.0,1480.0,998.0,0.002
data/ancillary_reference/single_phase_baseline/water/water_sweep_200-2000Hz_5.0m_SNR30.csv,water,20000.0,2.0,5.0,30.0,200.0,2000.0,1480.0,998.0,0.002
data/ancillary_reference/single_phase_baseline/water/water_sweep_200-2000Hz_5.0m_SNR40.csv,water,20000.0,2.0,5.0,40.0,200.0,2000.0,1480.0,998.0,0.002
data/ancillary_reference/single_phase_baseline/water/water_sweep_1000-10000Hz_1.0m_SNR20.csv,water,20000.0,2.0,1.0,20.0,1000.0,10000.0,1480.0,998.0,0.002
data/ancillary_reference/single_phase_baseline/water/water_sweep_1000-10000Hz_1.0m_SNR30.csv,water,20000.0,2.0,1.0,30.0,1000.0,10000.0,1480.0,998.0,0.002
data/ancillary_reference/single_phase_baseline/water/water_sweep_1000-10000Hz_1.0m_SNR40.csv,water,20000.0,2.0,1.0,40.0,1000.0,10000.0,1480.0,998.0,0.002
data/ancillary_reference/single_phase_baseline/water/water_sweep_1000-10000Hz_2.0m_SNR20.csv,water,20000.0,2.0,2.0,20.0,1000.0,10000.0,1480.0,998.0,0.002
data/ancillary_reference/single_phase_baseline/water/water_sweep_1000-10000Hz_2.0m_SNR30.csv,water,20000.0,2.0,2.0,30.0,1000.0,10000.0,1480.0,998.0,0.002
data/ancillary_reference/single_phase_baseline/water/water_sweep_1000-10000Hz_2.0m_SNR40.csv,water,20000.0,2.0,2.0,40.0,1000.0,10000.0,1480.0,998.0,0.002
data/ancillary_reference/single_phase_baseline/water/water_sweep_1000-10000Hz_5.0m_SNR20.csv,water,20000.0,2.0,5.0,20.0,1000.0,10000.0,1480.0,998.0,0.002
data/ancillary_reference/single_phase_baseline/water/water_sweep_1000-10000Hz_5.0m_SNR30.csv,water,20000.0,2.0,5.0,30.0,1000.0,10000.0,1480.0,998.0,0.002
data/ancillary_reference/single_phase_baseline/water/water_sweep_1000-10000Hz_5.0m_SNR40.csv,water,20000.0,2.0,5.0,40.0,1000.0,10000.0,1480.0,998.0,0.002
data/ancillary_reference/single_phase_baseline/air/air_sweep_200-2000Hz_1.0m_SNR20.csv,air,20000.0,2.0,1.0,20.0,200.0,2000.0,343.0,1.204,0.01
data/ancillary_reference/single_phase_baseline/air/air_sweep_200-2000Hz_1.0m_SNR30.csv,air,20000.0,2.0,1.0,30.0,200.0,2000.0,343.0,1.204,0.01
data/ancillary_reference/single_phase_baseline/air/air_sweep_200-2000Hz_1.0m_SNR40.csv,air,20000.0,2.0,1.0,40.0,200.0,2000.0,343.0,1.204,0.01
data/ancillary_reference/single_phase_baseline/air/air_sweep_200-2000Hz_2.0m_SNR20.csv,air,20000.0,2.0,2.0,20.0,200.0,2000.0,343.0,1.204,0.01
data/ancillary_reference/single_phase_baseline/air/air_sweep_200-2000Hz_2.0m_SNR30.csv,air,20000.0,2.0,2.0,30.0,200.0,2000.0,343.0,1.204,0.01
data/ancillary_reference/single_phase_baseline/air/air_sweep_200-2000Hz_2.0m_SNR40.csv,air,20000.0,2.0,2.0,40.0,200.0,2000.0,343.0,1.204,0.01
data/ancillary_reference/single_phase_baseline/air/air_sweep_200-2000Hz_5.0m_SNR20.csv,air,20000.0,2.0,5.0,20.0,200.0,2000.0,343.0,1.204,0.01
data/ancillary_reference/single_phase_baseline/air/air_sweep_200-2000Hz_5.0m_SNR30.csv,air,20000.0,2.0,5.0,30.0,200.0,2000.0,343.0,1.204,0.01
data/ancillary_reference/single_phase_baseline/air/air_sweep_200-2000Hz_5.0m_SNR40.csv,air,20000.0,2.0,5.0,40.0,200.0,2000.0,343.0,1.204,0.01
data/ancillary_reference/single_phase_baseline/air/air_sweep_1000-10000Hz_1.0m_SNR20.csv,air,20000.0,2.0,1.0,20.0,1000.0,10000.0,343.0,1.204,0.01
data/ancillary_reference/single_phase_baseline/air/air_sweep_1000-10000Hz_1.0m_SNR30.csv,air,20000.0,2.0,1.0,30.0,1000.0,10000.0,343.0,1.204,0.01
data/ancillary_reference/single_phase_baseline/air/air_sweep_1000-10000Hz_1.0m_SNR40.csv,air,20000.0,2.0,1.0,40.0,1000.0,10000.0,343.0,1.204,0.01
data/ancillary_reference/single_phase_baseline/air/air_sweep_1000-10000Hz_2.0m_SNR20.csv,air,20000.0,2.0,2.0,20.0,1000.0,10000.0,343.0,1.204,0.01
data/ancillary_reference/single_phase_baseline/air/air_sweep_1000-10000Hz_2.0m_SNR30.csv,air,20000.0,2.0,2.0,30.0,1000.0,10000.0,343.0,1.204,0.01
data/ancillary_reference/single_phase_baseline/air/air_sweep_1000-10000Hz_2.0m_SNR40.csv,air,20000.0,2.0,2.0,40.0,1000.0,10000.0,343.0,1.204,0.01
data/ancillary_reference/single_phase_baseline/air/air_sweep_1000-10000Hz_5.0m_SNR20.csv,air,20000.0,2.0,5.0,20.0,1000.0,10000.0,343.0,1.204,0.01
data/ancillary_reference/single_phase_baseline/air/air_sweep_1000-10000Hz_5.0m_SNR30.csv,air,20000.0,2.0,5.0,30.0,1000.0,10000.0,343.0,1.204,0.01
data/ancillary_reference/single_phase_baseline/air/air_sweep_1000-10000Hz_5.0m_SNR40.csv,air,20000.0,2.0,5.0,40.0,1000.0,10000.0,343.0,1.204,0.01
