datetime,year,month,day,hour,dry_bulb_temp_c,relative_humidity,global_horizontal_irradiance,wind_speed_ms,atmospheric_pressure_hpa,scenario
2023-01-01 00:00:00,2050,1,1,0,-2.3370511161379808,49.75041288728643,0.0,6.158072247688474,1000.2605173946461,SSP2-4.5
2023-01-01 01:00:00,2050,1,1,1,-5.0411898587222685,27.083703103891622,0.0,6.170159106175864,1009.1685547731024,SSP2-4.5
2023-01-01 02:00:00,2050,1,1,2,-2.9559247305940906,28.160757642812428,0.0,6.6362797999677205,1029.990882465549,SSP2-4.5
2023-01-01 03:00:00,2050,1,1,3,-0.057307385984637804,45.82538749125417,0.0,5.93404092611767,1019.3598334904873,SSP2-4.5
2023-01-01 04:00:00,2050,1,1,4,-4.529653699341686,39.39291283677117,0.0,8.201688883500944,1017.1486545453494,SSP2-4.5
2023-01-01 05:00:00,2050,1,1,5,-3.2582554652360898,35.48457147102519,0.0,7.062426158682454,1022.6932244312011,SSP2-4.5
2023-01-01 06:00:00,2050,1,1,6,3.838648101626008,50.19256815050754,0.0,7.394946268690829,1022.3204981890552,SSP2-4.5
2023-01-01 07:00:00,2050,1,1,7,3.332761481742393,41.91088313145194,156.80749061530219,5.579574546014609,1029.0594643195418,SSP2-4.5
2023-01-01 08:00:00,2050,1,1,8,1.6925864972989761,40.56086317945727,247.99525434641956,12.039155661035776,1007.2282064953113,SSP2-4.5
2023-01-01 09:00:00,2050,1,1,9,6.799242146681892,47.83457571811333,395.9094201794164,7.212810877630281,1009.4831584656923,SSP2-4.5
2023-01-01 10:00:00,2050,1,1,10,5.710756576666446,36.285199361127184,413.1145907392424,5.4934444388163195,1004.0261537093832,SSP2-4.5
2023-01-01 11:00:00,2050,1,1,11,7.360674643885442,55.72147916528837,446.730930969147,7.830669937745952,1012.9230236361602,SSP2-4.5
2023-01-01 12:00:00,2050,1,1,12,10.755099700077444,32.15581307823275,461.2815049098952,5.435784303930542,1011.927672708298,SSP2-4.5
2023-01-01 13:00:00,2050,1,1,13,5.088575531442986,46.60557997398371,467.8722982265521,5.185121129820366,995.7004776266442,SSP2-4.5
2023-01-01 14:00:00,2050,1,1,14,5.926256157564733,54.37461769716128,407.9544805611671,6.553816509585232,1006.7109924290545,SSP2-4.5
