firm_id,knowledge_absorption_1,knowledge_absorption_2,knowledge_absorption_3,knowledge_absorption_4,task_performance_1,task_performance_2,task_performance_3,innovation_1,innovation_2,innovation_3,innovation_4,firm_resources_1,firm_resources_2,firm_resources_3,roi,roa,export_intensity,market_share,operational_efficiency,skilled_labor_ratio,iot_use,rd_spend_ratio,liquidity_ratio,tax_incentives_1,tax_incentives_2,tax_incentives_3,regulatory_stability_1,regulatory_stability_2,regulatory_stability_3,infrastructure_support_1,infrastructure_support_2,infrastructure_support_3,corruption_experience,employees,total_assets,firm_age,subsector,ownership_type,location,export_status,knowledge_absorption_score,task_performance_score,innovation_score,firm_resources_score,tax_incentives_score,regulatory_stability_score,infrastructure_support_score,policy_effectiveness_index
FP_0001,3,4,2,4,3,5,4,2,3,3,3,4,4,3,17.36348724161008,20.981196554801848,49.7974255860268,8.586333189241667,5,72.15497675013552,1,1.484052518854225,2.069827564497905,3,4,1,6,4,5,6,2,2,5,108,3523.560368500081,21,Snack Food Manufacturing,Joint Venture,Victoria Island,0,3.25,4.0,2.75,3.6666666666666665,2.6666666666666665,5.0,3.3333333333333335,3.6666666666666665
FP_0002,5,4,4,4,3,4,4,4,4,3,3,2,2,2,18.387922252030318,9.522275750778299,21.800757778866156,2.7872016060484364,3,38.07119517519667,1,2.7055796167873942,0.6720529767768,7,4,3,6,2,3,3,3,3,2,93,5000.0,33,Sugar Refining,Joint Venture,Alaba,1,4.25,3.6666666666666665,3.5,2.0,4.666666666666667,3.6666666666666665,3.0,3.777777777777778
FP_0003,4,3,5,1,5,4,3,5,4,2,5,3,5,4,2.712676796925988,7.5491101912608025,15.686215856031838,25.0,2,77.62166448813602,0,1.5693220663238492,2.6300940986625134,3,4,4,6,4,6,2,1,5,3,57,5000.0,24,Snack Food Manufacturing,Domestic Private,Ikeja,0,3.25,4.0,4.0,4.0,3.6666666666666665,5.333333333333333,2.6666666666666665,3.888888888888889
FP_0004,4,5,4,3,3,5,4,1,2,1,3,4,4,1,0.5008868870679298,13.966669318145922,21.661796489746415,9.66813737202714,5,90.0,0,2.7758600412693784,1.94683675089601,2,3,3,5,6,5,4,5,4,2,46,3405.0536513192087,35,Sugar Refining,Joint Venture,Oshodi,0,4.0,4.0,1.75,3.0,2.6666666666666665,5.333333333333333,4.333333333333333,4.111111111111111
FP_0005,2,4,5,3,3,3,4,5,2,3,5,3,2,2,6.859086137604949,9.840579212746167,30.630881702121464,3.5700524342198947,3,70.27240565112972,1,4.8383123452797285,2.7813325070093384,4,2,1,4,1,4,1,4,2,1,134,5000.0,43,Bakery Products,Joint Venture,Surulere,1,3.5,3.3333333333333335,3.75,2.3333333333333335,2.3333333333333335,3.0,2.3333333333333335,2.555555555555556
FP_0006,2,2,4,3,4,2,5,4,2,2,1,2,5,5,8.649202151853197,11.725118320341243,15.886694911398092,17.757204656052227,4,75.97156783948942,1,1.499046697954444,0.9967903550726976,3,6,5,5,3,4,2,6,1,2,167,756.7893699107385,9,Meat Processing,Foreign Direct Investment,Badagry,1,2.75,3.6666666666666665,2.25,4.0,4.666666666666667,4.0,3.0,3.8888888888888893
FP_0007,2,5,4,4,3,5,5,5,3,4,4,4,4,4,18.527355708019446,21.707011992303777,28.017847303081744,12.86620845464278,4,90.0,1,1.2241668458835457,1.70328885706841,4,4,3,4,4,1,2,5,1,2,12,308.44549635722063,16,Confectionery,Joint Venture,Apapa,1,3.75,4.333333333333333,4.0,4.0,3.6666666666666665,3.0,2.6666666666666665,3.1111111111111107
FP_0008,5,5,5,4,4,3,1,3,3,1,4,3,2,5,9.555449060393762,7.832849814601171,7.801742071985756,12.098701447590058,4,14.08748965545331,1,4.543672562016159,2.417514354122148,3,3,1,1,4,2,2,2,6,5,481,5000.0,21,Beverage Manufacturing,Foreign Direct Investment,Apapa,1,4.75,2.6666666666666665,2.75,3.3333333333333335,2.3333333333333335,2.3333333333333335,3.3333333333333335,2.6666666666666665
FP_0009,4,5,3,4,2,5,4,4,4,3,2,3,4,5,5.931672446437887,6.564930837049539,10.00496585041579,21.48710330870823,3,70.79322461647874,1,1.9692729599401404,1.3621275075068842,4,4,1,3,2,1,2,2,3,2,158,888.5674158689227,49,Bakery Products,Domestic Private,Badagry,1,4.0,3.6666666666666665,3.25,4.0,3.0,2.0,2.3333333333333335,2.4444444444444446
FP_0010,4,4,4,4,4,5,2,1,1,5,3,4,3,4,7.606930106443527,8.641181816068551,17.72708897618417,9.82803138035725,4,63.11757877579112,0,2.309558449481964,2.408871035794512,3,2,3,7,7,1,2,4,1,5,476,745.0596648444407,18,Sugar Refining,Joint Venture,Apapa,1,4.0,3.6666666666666665,2.5,3.6666666666666665,2.6666666666666665,5.0,2.3333333333333335,3.3333333333333335
FP_0011,1,4,3,5,1,2,4,3,1,2,2,2,5,2,25.73887040788043,15.977338292550069,48.36932658887628,25.0,4,73.3220311006672,0,0.8382871470644738,1.726332283632397,1,2,2,3,4,2,1,1,4,2,701,5000.0,19,Meat Processing,Foreign Direct Investment,Mushin,1,3.25,2.3333333333333335,2.0,3.0,1.6666666666666667,3.0,2.0,2.2222222222222223
FP_0012,5,3,5,4,2,5,3,1,3,3,4,5,5,4,15.881477213719679,-0.34526912800198717,22.025607404725704,18.32789994567367,4,59.81245895664404,1,1.1207348363145881,1.8168364838303475,6,3,5,5,2,5,3,2,2,1,79,2389.4694631282696,33,Confectionery,Foreign Direct Investment,Lagos Island,1,4.25,3.3333333333333335,2.75,4.666666666666667,4.666666666666667,4.0,2.3333333333333335,3.6666666666666674
FP_0013,5,5,5,5,5,3,3,5,4,1,3,5,5,5,11.619291387001942,-2.1,13.70409074454554,4.365115329101985,3,59.522440183968946,0,0.47306010386568753,1.089820262031302,6,2,3,1,1,2,5,1,5,1,251,4193.770228613043,21,Vegetable Processing,State-Owned,Ajeromi-Ifelodun,1,5.0,3.6666666666666665,3.25,5.0,3.6666666666666665,1.3333333333333333,3.6666666666666665,2.888888888888889
FP_0014,3,5,1,1,2,4,3,4,2,4,4,4,4,4,12.200953810911168,5.009409312168648,20.467615973288396,21.410059901305534,2,47.349395801559844,0,1.3767995680946423,1.9508316233145098,7,2,5,2,4,7,3,3,2,1,45,434.9087109939598,48,Sugar Refining,Domestic Private,Surulere,1,2.5,3.0,3.5,4.0,4.666666666666667,4.333333333333333,2.6666666666666665,3.888888888888889
FP_0015,2,1,4,2,4,4,4,5,4,3,2,2,4,4,23.97830680834279,-1.0359050885673835,19.635922818670764,11.230505616209099,2,84.11203286046938,1,1.2300601354186962,3.1156738093586243,5,6,2,3,1,3,2,3,2,2,51,760.0569544821734,45,Dairy Processing,Domestic Private,Yaba,1,2.25,4.0,3.5,3.3333333333333335,4.333333333333333,2.3333333333333335,2.3333333333333335,3.0
FP_0016,2,1,5,1,3,5,3,5,2,3,2,4,4,3,6.831957496532769,5.946598968039439,62.65188134614217,25.0,3,94.33461153633077,1,2.0052484387746285,2.032813083179178,4,4,4,1,1,2,1,2,3,1,593,5000.0,25,Beverage Manufacturing,Domestic Private,Surulere,1,2.25,3.6666666666666665,3.0,3.6666666666666665,4.0,1.3333333333333333,2.0,2.444444444444444
FP_0017,3,3,2,4,3,1,4,1,5,3,1,5,2,5,24.175269643896875,11.30193574514665,19.757630022899704,7.494044627577353,3,71.118075933363,0,3.2122557339733273,1.3249654356665428,4,4,4,1,3,3,4,1,5,2,37,1110.972707317221,32,Bakery Products,Domestic Private,Yaba,1,3.0,2.6666666666666665,2.5,4.0,4.0,2.3333333333333335,3.3333333333333335,3.2222222222222228
FP_0018,4,5,4,5,5,4,3,3,5,5,3,4,4,4,14.183970391372029,3.1008812504625505,53.30655608164088,4.065750792333586,5,46.80500499020812,1,2.4524577194277937,2.6373249480468304,2,4,4,2,4,2,6,4,5,5,113,2197.4683843979155,2,Sugar Refining,Domestic Private,Victoria Island,1,4.5,4.0,4.0,4.0,3.3333333333333335,2.6666666666666665,5.0,3.6666666666666665
FP_0019,3,5,5,3,1,4,2,1,2,2,3,2,4,5,14.132972629688496,0.1840879969509101,26.28404967081258,7.062520093367504,4,79.51367658492674,1,0.3637720099766034,1.3430570837442435,2,7,4,5,4,7,2,1,3,3,30,4255.827538395732,35,Confectionery,Multinational Subsidiary,Yaba,1,4.0,2.3333333333333335,2.0,3.6666666666666665,4.333333333333333,5.333333333333333,2.0,3.888888888888889
