temperature_C,permeability_m2,porosity
20,1.250e-18,0.1212
40,1.887e-18,0.1228
60,2.036e-18,0.1245
80,1.276e-17,0.1261
100,8.169e-18,0.1278
120,2.752e-17,0.1294
140,2.204e-17,0.1311
160,4.892e-17,0.1327
180,6.873e-17,0.1344
200,7.549e-17,0.136
220,9.320e-17,0.1377
240,1.434e-16,0.1393
260,1.697e-16,0.141
280,2.196e-16,0.1426
300,2.785e-16,0.1443
320,3.255e-16,0.1459
340,4.115e-16,0.1476
360,4.532e-16,0.1492
380,5.841e-16,0.1509
400,6.027e-16,0.1525
420,7.100e-16,0.1542
440,7.795e-16,0.1558
460,8.674e-16,0.1575
480,9.692e-16,0.1591
500,1.098e-15,0.1608
520,1.234e-15,0.1624
540,1.297e-15,0.1641
560,1.450e-15,0.1657
580,1.581e-15,0.1674
600,1.670e-15,0.169
620,1.826e-15,0.1707
640,2.016e-15,0.1723
660,2.175e-15,0.174
680,2.334e-15,0.1756
700,2.511e-15,0.1773
720,2.704e-15,0.1789
740,2.911e-15,0.1806
760,3.088e-15,0.1822
780,3.260e-15,0.1839
800,3.501e-15,0.1855
820,3.624e-15,0.1872
840,3.786e-15,0.1888
860,3.952e-15,0.1905
880,4.086e-15,0.1921
900,4.272e-15,0.1938
920,4.411e-15,0.1954
940,4.564e-15,0.1971
960,4.720e-15,0.1987
980,4.886e-15,0.2004
1000,5.067e-15,0.202
