temperature_C,cte_microstrain_per_C,transient_thermal_strain_microstrain
20,8.718,-27.834
40,8.465,-43.218
60,8.762,-64.474
80,8.607,-92.412
100,8.298,-127.264
120,8.35,-168.386
140,8.584,-214.061
160,9.193,-261.455
180,9.201,-306.82
200,9.369,-345.939
220,9.524,-374.751
240,9.016,-390.045
260,9.187,-390.045
280,9.192,-374.751
300,10.005,-345.939
320,10.285,-306.82
340,9.993,-261.455
360,10.406,-214.061
380,10.125,-168.386
400,11.162,-127.264
420,11.323,-92.412
440,11.687,-64.474
460,11.747,-43.218
480,12.077,-27.834
500,11.313,-17.223
520,12.409,-10.24
540,12.159,-5.849
560,13.151,-3.21
580,13.232,-1.693
600,13.551,-0.857
620,13.711,-0.417
640,13.198,-0.195
660,14.112,-0.088
680,13.367,-0.038
700,14.62,-0.016
720,14.779,-0.006
740,14.027,-0.002
760,15.038,-0.001
780,14.656,-0.0
800,14.552,-0.0
820,15.399,-0.0
840,14.653,-0.0
860,14.438,-0.0
880,14.78,-0.0
900,15.064,-0.0
920,15.96,-0.0
940,16.185,-0.0
960,15.179,-0.0
980,15.794,-0.0
1000,15.464,-0.0
