temperature_C,k_W_mK,cp_J_kgK,density_kg_m3
20,1.4782,884.04,2326.0
40,1.4433,921.2,2333.5
60,1.4717,932.93,2325.8
80,1.4114,1023.68,2325.9
100,1.401,1142.29,2327.5
120,1.42,1206.36,2324.3
140,1.4244,1141.24,2327.5
160,1.4076,1044.62,2310.6
180,1.4113,966.24,2307.4
200,1.3533,957.7,2317.4
220,1.3818,949.81,2314.0
240,1.3801,939.51,2312.6
260,1.3617,952.5,2318.0
280,1.3376,959.79,2297.3
300,1.3086,947.95,2296.3
320,1.2985,944.68,2299.1
340,1.3091,958.79,2299.4
360,1.2765,958.98,2310.6
380,1.2886,976.24,2291.2
400,1.2821,962.86,2294.2
420,1.2847,985.49,2296.5
440,1.2587,997.49,2299.7
460,1.2256,969.51,2287.4
480,1.2171,980.53,2299.9
500,1.2363,988.62,2291.6
520,1.2025,1016.58,2285.3
540,1.1857,993.82,2285.8
560,1.1752,1011.41,2291.7
580,1.1713,1000.64,2292.1
600,1.1659,999.37,2268.7
620,1.137,1025.2,2283.9
640,1.1409,1006.12,2272.7
660,1.1565,1029.2,2284.3
680,1.1397,1011.83,2276.8
700,1.1211,1037.53,2264.7
720,1.1087,1023.84,2266.7
740,1.09,1062.95,2274.9
760,1.0713,1048.02,2257.3
780,1.0887,1067.59,2258.2
800,1.0664,1060.6,2253.2
820,1.061,1061.67,2265.5
840,1.0408,1042.74,2253.4
860,1.0092,1086.33,2264.1
880,1.032,1063.75,2243.8
900,1.0232,1095.24,2242.7
920,0.9969,1061.39,2256.1
940,0.9975,1067.89,2247.8
960,0.9784,1077.78,2255.0
980,0.963,1079.41,2245.7
1000,0.9643,1082.9,2238.8
