temperature_C,fc_MPa,ft_MPa,E_GPa,nu
20,71.386,7.042,34.913,0.2
40,69.271,6.695,34.038,0.2016
60,68.001,6.621,33.468,0.2033
80,66.909,6.291,33.424,0.2049
100,66.164,6.308,33.137,0.2065
120,64.976,5.953,32.3,0.2082
140,64.587,5.742,32.049,0.2098
160,64.739,5.636,31.269,0.2114
180,64.562,5.392,29.844,0.2131
200,62.826,5.263,29.711,0.2147
220,62.164,5.086,29.434,0.2163
240,59.233,4.809,27.82,0.218
260,59.651,4.564,26.789,0.2196
280,57.282,4.383,26.017,0.2212
300,55.44,4.26,25.317,0.2229
320,55.389,3.994,24.06,0.2245
340,54.262,3.839,24.068,0.2261
360,52.683,3.645,22.446,0.2278
380,50.371,3.368,21.788,0.2294
400,48.135,3.209,21.408,0.231
420,47.153,3.081,20.263,0.2327
440,46.058,2.926,19.988,0.2343
460,44.9,2.73,18.639,0.2359
480,43.047,2.591,18.258,0.2376
500,42.071,2.409,17.19,0.2392
520,40.737,2.233,17.037,0.2408
540,38.663,2.124,15.83,0.2424
560,37.325,1.95,15.508,0.2441
580,36.014,1.778,14.929,0.2457
600,34.645,1.679,14.067,0.2473
620,33.491,1.551,13.312,0.249
640,32.76,1.406,12.709,0.2506
660,30.478,1.3,11.982,0.2522
680,29.165,1.185,11.313,0.2539
700,27.521,1.118,10.709,0.2555
720,27.128,1.046,9.688,0.2571
740,24.963,1.025,9.239,0.2588
760,24.161,0.947,8.285,0.2604
780,22.699,0.903,7.734,0.262
800,21.409,0.845,6.862,0.2637
820,20.203,0.792,6.693,0.2653
840,19.232,0.745,6.203,0.2669
860,17.569,0.716,5.896,0.2686
880,16.87,0.678,5.534,0.2702
900,15.835,0.624,5.248,0.2718
920,14.938,0.596,4.82,0.2735
940,13.608,0.541,4.46,0.2751
960,12.737,0.507,4.16,0.2767
980,11.661,0.463,3.839,0.2784
1000,10.294,0.413,3.554,0.28
