Material,Temperature_C,Ionic_Conductivity_Sperm,Electronic_Conductivity_Sperm,Total_Conductivity_Sperm,Transport_Number_Ionic
8YSZ,400,0.010236251705737429,1e-10,0.010123616012070798,0.9999
8YSZ,420,0.015146231522331978,1e-10,0.015610487929246571,0.9999
8YSZ,440,0.022812794695387537,1e-10,0.02349351465734248,0.9999
8YSZ,460,0.034823049279792094,1e-10,0.034577496715547974,0.9999
8YSZ,480,0.05087175413911405,1e-10,0.049856843814587534,0.9999
8YSZ,500,0.06657210727205087,1e-10,0.07053967997193475,0.9999
8YSZ,520,0.099607097916166,1e-10,0.09807124156197744,0.9999
8YSZ,540,0.1319698080015837,1e-10,0.13415602055101866,0.9999
8YSZ,560,0.17973249563907986,1e-10,0.18077814946917467,0.9999
8YSZ,580,0.23056623135974724,1e-10,0.24021958453190212,0.9999
8YSZ,600,0.30702599692197774,1e-10,0.31507571422799885,0.9999
8YSZ,620,0.42010124274936633,1e-10,0.4082680982690515,0.9999
8YSZ,640,0.523569801761454,1e-10,0.5230541220646948,0.9999
8YSZ,660,0.6554195850933424,1e-10,0.6630334314079728,0.9999
8YSZ,680,0.8292430107256784,1e-10,0.8321510880071407,0.9999
8YSZ,700,1.0498830436323074,1e-10,1.0346974567091416,0.9999
8YSZ,720,1.292157841827169,1e-10,1.2753048981699489,0.9999
8YSZ,740,1.555432514446017,1e-10,1.558941395346635,0.9999
8YSZ,760,1.9529016217330724,1e-10,1.8909012880167477,0.9999
8YSZ,780,2.3430796121426614,1e-10,2.2767933264833453,0.9999
8YSZ,800,2.7562887703691454,1e-10,2.7225262839385698,0.9999
8YSZ,820,3.2395913013331956,1e-10,3.2342923871218,0.9999
8YSZ,840,3.8938492186969658,1e-10,3.8185488375862757,0.9999
8YSZ,860,4.524254077726914,1e-10,4.481997701858457,0.9999
8YSZ,880,5.398053767170215,1e-10,5.231564448879356,0.9999
8YSZ,900,6.238303613368655,1e-10,6.0743754082174135,0.9999
8YSZ,920,6.803359350113906,1e-10,7.017734413483187,0.9999
8YSZ,940,7.806216556727771,1e-10,8.069098882967028,0.9999
8YSZ,960,9.04175218159985,1e-10,9.236055574511356,0.9999
8YSZ,980,10.834549985237636,1e-10,10.526296234703638,0.9999
8YSZ,1000,11.382600377895118,1e-10,11.947593344244,0.9999
LSM,400,2.9565818939472044e-06,39.77982531403915,39.351826274190294,7.396409729897768e-08
LSM,420,5.37061286291775e-06,48.62621011400166,48.364555256627604,1.0610966874265639e-07
LSM,440,8.294299628163071e-06,57.06677051919739,58.75786861413223,1.4917562601535658e-07
LSM,460,1.3852463637389264e-05,69.490665442393,70.63053789869522,2.0585865986520921e-07
LSM,480,2.330756390117936e-05,81.13678930773179,84.07639565220003,2.792619741156114e-07
LSM,500,3.916222133688537e-05,95.24024657604296,99.18367020780755,3.729085568260937e-07
LSM,520,6.000984258741239e-05,120.15999278211994,116.0344592077227,4.907486588105487e-07
LSM,540,8.891239889839377e-05,131.90064829367265,134.70433338740898,6.371614169823149e-07
LSM,560,0.0001285789322429304,149.3121200289383,155.2620602257215,8.169507307009518e-07
LSM,580,0.0001907571689385874,177.37468526980297,177.76943589869109,1.0353356455942706e-06
LSM,600,0.00025824934393772346,194.8547427585726,202.28121344362228,1.2979356188563405e-06
LSM,620,0.0003320829363519969,221.71480781370857,228.84511499739682,1.6107511322989993e-06
LSM,640,0.0005325860743647589,254.38950117356217,257.50191629483,1.9801401854318156e-06
LSM,660,0.0006908617292871162,293.95448923485435,288.28559219551687,2.412791242570596e-06
LSM,680,0.0010042360211869915,333.9912184373939,321.22351276540263,2.9156932281051484e-06
LSM,700,0.0011973367949990204,335.56923265469425,356.33668030391493,3.4961031656355786e-06
LSM,720,0.0017927525079251333,420.4332246271163,393.63999862547945,4.161512042879798e-06
LSM,740,0.0021469552410015988,416.63144096615775,433.14256683496785,4.919609458169749e-06
LSM,760,0.0028495048724435064,473.30698075930667,474.84799075012694,5.77824756891082e-06
LSM,780,0.0034833967050950623,532.6712549170146,518.7547059990058,6.7454048202260375e-06
LSM,800,0.004481493511828089,544.7575916549106,564.8563076426432,7.82914988547765e-06
LSM,820,0.005469354722126985,625.2976472166077,613.1418819338116,9.037606201445007e-06
LSM,840,0.007027984267128765,668.8055921324836,663.596336517017,1.037891743130395e-05
LSM,860,0.008812187677943867,708.4204640966535,716.2007260016019,1.1861214139538437e-05
LSM,880,0.01047621085461848,692.8529057303163,770.9325703996559,1.349258191557194e-05
LSM,900,0.012421613353451986,846.7232148329704,827.766164415967,1.5281031138025296e-05
LSM,920,0.015042705820212096,874.2560729448484,886.6728760119878,1.72344685296506e-05
LSM,940,0.017582302168633164,976.1268649615512,947.6214330440893,1.93606706145297e-05
LSM,960,0.02237683585075176,1035.580138317287,1010.578197102792,2.166725915426952e-05
LSM,980,0.02419176440965272,1070.3046065970113,1075.507423958976,2.416167860875395e-05
LSM,1000,0.03033033286304993,1132.7255807037388,1142.3715102600554,2.685117563950184e-05
Ni-YSZ,400,0.0010119356030754167,166334.3852795993,167493.79265259235,6.194263969780902e-09
Ni-YSZ,420,0.0017061537069409942,169608.77161373387,176355.61472669028,9.356518747506549e-09
Ni-YSZ,440,0.0027386883300229816,186941.78196482547,185150.11970217142,1.380994418537283e-08
Ni-YSZ,460,0.0038620193132253037,197383.88382581127,193867.7694992821,1.9954682921555426e-08
Ni-YSZ,480,0.005393255256417663,199808.40409129174,202500.45444824826,2.8275344631501834e-08
Ni-YSZ,500,0.008264167560428184,216805.11704327472,211041.3319848293,3.9349570847574843e-08
Ni-YSZ,520,0.011798566398631787,221460.2715645796,219484.68136945038,5.3855927134563766e-08
Ni-YSZ,540,0.01614584037388041,230044.05999935773,227825.77327961987,7.258093197375885e-08
Ni-YSZ,560,0.0242892775799448,240760.82546777645,236060.753072352,9.642506253508988e-08
Ni-YSZ,580,0.03076646467426709,247485.4206404854,244186.53651569414,1.2640761163101712e-07
Ni-YSZ,600,0.04223131283765647,254755.91060964324,252200.71682687357,1.636703055929884e-07
Ni-YSZ,620,0.05690939557756133,265846.9519759841,260101.48191530554,2.0947962791009576e-07
Ni-YSZ,640,0.07068983929881778,271326.4969041694,267887.54080209293,2.652278268562651e-07
Ni-YSZ,660,0.09020075762550406,270470.76761031256,275558.0582670194,3.3243261597125036e-07
Ni-YSZ,680,0.11559102769676065,282680.57407001813,283112.5968548492,4.127356034303035e-07
Ni-YSZ,700,0.13776271396790568,295550.32617768174,290551.0654519923,5.078995095994204e-07
Ni-YSZ,720,0.1641868515631607,314046.9289774935,297873.67372037395,6.198042512328103e-07
Ni-YSZ,740,0.24269944962563952,303488.08850966016,305080.8917465171,7.504419858309306e-07
Ni-YSZ,760,0.2816588659124409,314064.72635554173,312173.414329825,9.019112208007684e-07
Ni-YSZ,780,0.3354426025490735,320381.28075486457,319152.1293945912,1.0764100995181977e-06
Ni-YSZ,800,0.4136771503796353,325402.98255183594,326018.09006542095,1.27622898053609e-06
Ni-YSZ,820,0.5040362663730048,324029.88441471,332772.4899956632,1.5037424274075336e-06
Ni-YSZ,840,0.5987949870250214,340525.57948501635,339416.64158344985,1.7614007253182237e-06
Ni-YSZ,860,0.713455190092451,344457.90857393126,345951.9567503195,2.051721037362041e-06
Ni-YSZ,880,0.8758327372223387,349886.6969629012,352379.9299935577,2.377278308250992e-06
Ni-YSZ,900,0.9920327856911945,368007.98245834425,358702.12345566245,2.7406960169005504e-06
Ni-YSZ,920,1.1438978747465736,366484.2406905389,364920.15378311754,3.1446368720158593e-06
Ni-YSZ,940,1.3275455506045717,380216.4817777392,371035.68057225767,3.591793536829161e-06
Ni-YSZ,960,1.5243274685487087,386726.6035219775,377050.3962227736,4.084879460769502e-06
Ni-YSZ,980,1.764496551086521,376381.39831599867,382966.0170396152,4.6266198873097774e-06
Ni-YSZ,1000,2.084501586128414,386413.25719358964,388784.2754419938,5.219743098723943e-06
FSS,400,1e-12,621508.4676009534,613890.0806609894,0.0001
FSS,420,1e-12,595534.5644530688,629920.7326500575,0.0001
FSS,440,1e-12,645503.2966827005,645436.1034036072,0.0001
FSS,460,1e-12,654385.2770381863,660456.2609810755,0.0001
FSS,480,1e-12,660646.7396986167,675000.7478703825,0.0001
FSS,500,1e-12,681463.8722787305,689088.5126607451,0.0001
FSS,520,1e-12,694674.606249504,702737.8647013576,0.0001
FSS,540,1e-12,715279.3222310167,715966.4466115567,0.0001
FSS,560,1e-12,708861.3101692561,728791.2205823441,0.0001
FSS,580,1e-12,745917.0878333733,741228.4652585051,0.0001
FSS,600,1e-12,773877.0026778599,753293.780662954,0.0001
FSS,620,1e-12,769300.3169554872,765002.0991579199,0.0001
FSS,640,1e-12,788929.1533919037,776367.7008605143,0.0001
FSS,660,1e-12,804641.494451036,787404.2322661848,0.0001
