Material,Temperature_C,Youngs_Modulus_GPa,Tensile_Strength_MPa,Poissons_Ratio
8YSZ,20,201.98685661204493,298.7556212894593,0.31200783446811214
8YSZ,40,205.0616588285039,296.105263909725,0.30967323888562975
8YSZ,60,204.25368274940928,303.22402961162766,0.3093408736085142
8YSZ,80,199.1376865717287,290.5043144309235,0.30975064900688937
8YSZ,100,196.94849210453884,275.99374633092594,0.3062251560338894
8YSZ,120,192.8070786359602,282.1579843194805,0.3129804516776972
8YSZ,140,190.4768665869777,276.946853087215,0.3169786867541109
8YSZ,160,192.12850348012196,287.9822281808193,0.3083433876735243
8YSZ,180,189.9095703378233,286.55038474863414,0.30959508811551334
8YSZ,200,192.43516643008047,278.6861621940313,0.31268524840064826
8YSZ,220,187.71351487352828,297.67027344094566,0.3139576187143229
8YSZ,240,185.0018526885467,287.11431253113943,0.3105616675644911
8YSZ,260,188.7853271172179,262.03283512535614,0.3106188703180678
8YSZ,280,187.73626102215053,282.72779568080193,0.31574015282231077
8YSZ,300,185.56978838951574,272.3177011335619,0.3109337845984004
8YSZ,320,182.33657642893957,269.22736846583933,0.3193405062348518
8YSZ,340,185.26451530561192,256.8559052959688,0.31742540167916516
8YSZ,360,181.59059885367628,263.9291163935273,0.31873779048304784
8YSZ,380,185.75283826188524,275.07631679626485,0.3145380020163378
8YSZ,400,179.8806511994186,268.441494602012,0.32069833132374065
8YSZ,420,178.27497274375696,262.5295809048226,0.31448185478266083
8YSZ,440,174.7175802857912,268.59132811895273,0.3227182682509695
8YSZ,460,177.743643967174,268.2395989983325,0.31995289564785184
8YSZ,480,174.71627606869788,261.40370710753433,0.3241094127201593
8YSZ,500,175.87389234233297,268.8540147243911,0.3112272946473292
8YSZ,520,177.8766587653133,255.66591007202203,0.31904317647850927
8YSZ,540,174.31932750234353,238.1024265246916,0.3196961712713686
8YSZ,560,174.23560949743063,262.54627688544053,0.3191373891397781
8YSZ,580,169.21878200604743,245.84284325763903,0.32414027160205905
8YSZ,600,172.12432879503612,243.86176264519585,0.32325066806489255
8YSZ,620,170.33006366778335,253.14860003013277,0.3197393890377149
8YSZ,640,167.89250194449954,241.32741567015384,0.3176816278072221
8YSZ,660,168.99496413093695,244.2983939392922,0.32281650623804187
8YSZ,680,166.216478974527,230.38385398388013,0.32184047431682233
8YSZ,700,164.86218780513113,233.05248564329634,0.3230780794370488
8YSZ,720,166.333367827488,250.41078175760688,0.32456563211357514
8YSZ,740,164.84476528157066,234.67470961835394,0.31817550617756996
8YSZ,760,162.91356476603553,233.8217319300071,0.33280061038135217
8YSZ,780,161.37675047410914,233.69515093453396,0.3250871173249185
8YSZ,800,157.2368567188651,237.67862048326654,0.32804829395442814
8YSZ,820,162.53130223053773,221.779789809204,0.3305731094536517
8YSZ,840,154.54211362032055,230.18241223852863,0.3335496471626438
8YSZ,860,154.86990521258704,220.58768368431416,0.32712566066110643
8YSZ,880,155.41908644607514,212.24466960734037,0.3274243380535653
