Material,Temperature_C,Stress_MPa,Time_hours,Creep_Strain_percent
8YSZ,700,50,0.0,0.0
8YSZ,700,50,10.1010101010101,1.1239845400104786e-34
8YSZ,700,50,20.2020202020202,1.3432715468687359e-34
8YSZ,700,50,30.3030303030303,1.620476279026288e-34
8YSZ,700,50,40.4040404040404,1.8071760060845632e-34
8YSZ,700,50,50.505050505050505,1.8924374127826875e-34
8YSZ,700,50,60.6060606060606,2.0969436767535547e-34
8YSZ,700,50,70.7070707070707,2.040280617813909e-34
8YSZ,700,50,80.8080808080808,2.1013614679670473e-34
8YSZ,700,50,90.9090909090909,2.148286119605775e-34
8YSZ,700,50,101.01010101010101,2.4551325785114354e-34
8YSZ,700,50,111.1111111111111,2.4723536000813467e-34
8YSZ,700,50,121.2121212121212,2.491225172076992e-34
8YSZ,700,50,131.3131313131313,2.5836978163842445e-34
8YSZ,700,50,141.4141414141414,2.5369572243083047e-34
8YSZ,700,50,151.5151515151515,2.883158938337842e-34
8YSZ,700,50,161.6161616161616,2.754532627561629e-34
8YSZ,700,50,171.7171717171717,2.8085300649428124e-34
8YSZ,700,50,181.8181818181818,2.914756831194496e-34
8YSZ,700,50,191.91919191919192,2.945905907817245e-34
8YSZ,700,50,202.02020202020202,2.973411895125877e-34
8YSZ,700,50,212.1212121212121,2.93033522115886e-34
8YSZ,700,50,222.2222222222222,3.0910577015348504e-34
8YSZ,700,50,232.3232323232323,3.2676198570073313e-34
8YSZ,700,50,242.4242424242424,3.263340733733128e-34
8YSZ,700,50,252.5252525252525,3.3312310281577136e-34
8YSZ,700,50,262.6262626262626,3.171297883946168e-34
8YSZ,700,50,272.7272727272727,3.1642395908218602e-34
8YSZ,700,50,282.8282828282828,3.2879724781590505e-34
8YSZ,700,50,292.9292929292929,3.3444502807260988e-34
8YSZ,700,50,303.030303030303,3.487265790830396e-34
8YSZ,700,50,313.1313131313131,3.2398655841945652e-34
8YSZ,700,50,323.2323232323232,3.607381173097227e-34
8YSZ,700,50,333.3333333333333,3.4677998775131524e-34
8YSZ,700,50,343.4343434343434,3.47374824136048e-34
8YSZ,700,50,353.5353535353535,3.4447646462028307e-34
8YSZ,700,50,363.6363636363636,3.4077941222840808e-34
8YSZ,700,50,373.73737373737373,3.707739520388477e-34
8YSZ,700,50,383.83838383838383,3.6583964402090867e-34
8YSZ,700,50,393.93939393939394,3.5393113827523455e-34
8YSZ,700,50,404.04040404040404,3.5684357354455527e-34
8YSZ,700,50,414.1414141414141,3.705352973154309e-34
8YSZ,700,50,424.2424242424242,3.961856710414675e-34
8YSZ,700,50,434.3434343434343,3.772742455790823e-34
8YSZ,700,50,444.4444444444444,3.658540393716163e-34
8YSZ,700,50,454.5454545454545,3.831373611083726e-34
8YSZ,700,50,464.6464646464646,3.856116789135508e-34
8YSZ,700,50,474.7474747474747,3.598818307973063e-34
8YSZ,700,50,484.8484848484848,3.936494173923205e-34
8YSZ,700,50,494.9494949494949,3.942333931152562e-34
8YSZ,700,50,505.050505050505,4.079861413552263e-34
8YSZ,700,50,515.1515151515151,4.245721373785033e-34
8YSZ,700,50,525.2525252525252,4.1852781927978106e-34
8YSZ,700,50,535.3535353535353,4.041117744947949e-34
8YSZ,700,50,545.4545454545454,3.963113037378204e-34
8YSZ,700,50,555.5555555555555,4.4424682507053475e-34
8YSZ,700,50,565.6565656565656,4.156051225330486e-34
8YSZ,700,50,575.7575757575758,4.174727446475369e-34
8YSZ,700,50,585.8585858585858,4.19396481410916e-34
8YSZ,700,50,595.959595959596,4.2458272456588666e-34
8YSZ,700,50,606.060606060606,4.225839131430484e-34
8YSZ,700,50,616.1616161616162,4.1939921806158945e-34
8YSZ,700,50,626.2626262626262,4.220007384925358e-34
8YSZ,700,50,636.3636363636364,4.308870231841831e-34
8YSZ,700,50,646.4646464646464,4.264899797324189e-34
8YSZ,700,50,656.5656565656565,4.264627375934917e-34
8YSZ,700,50,666.6666666666666,4.393816665356949e-34
8YSZ,700,50,676.7676767676767,4.367951809839778e-34
8YSZ,700,50,686.8686868686868,4.622766876471389e-34
8YSZ,700,50,696.9696969696969,4.091082580888186e-34
8YSZ,700,50,707.070707070707,4.611938644133626e-34
8YSZ,700,50,717.1717171717171,4.654383626602038e-34
8YSZ,700,50,727.2727272727273,4.2270476352153336e-34
8YSZ,700,50,737.3737373737373,4.481429772375194e-34
8YSZ,700,50,747.4747474747475,4.497672622373269e-34
8YSZ,700,50,757.5757575757575,4.375639507612338e-34
8YSZ,700,50,767.6767676767677,4.481488767995225e-34
8YSZ,700,50,777.7777777777777,4.454858120321161e-34
8YSZ,700,50,787.8787878787879,4.871350832893348e-34
8YSZ,700,50,797.9797979797979,4.778017710809137e-34
8YSZ,700,50,808.0808080808081,4.84491747559551e-34
8YSZ,700,50,818.1818181818181,4.787516068950566e-34
8YSZ,700,50,828.2828282828282,4.545706812275759e-34
8YSZ,700,50,838.3838383838383,4.64959927122921e-34
8YSZ,700,50,848.4848484848484,4.812267652481206e-34
8YSZ,700,50,858.5858585858585,4.586634048697391e-34
8YSZ,700,50,868.6868686868686,4.881845723518591e-34
8YSZ,700,50,878.7878787878788,4.763287901050532e-34
8YSZ,700,50,888.8888888888888,4.761854483941019e-34
8YSZ,700,50,898.989898989899,4.937103828145485e-34
8YSZ,700,50,909.090909090909,4.916522243537081e-34
8YSZ,700,50,919.1919191919192,4.816848885098607e-34
8YSZ,700,50,929.2929292929292,5.057151276147148e-34
8YSZ,700,50,939.3939393939394,4.745575584108301e-34
8YSZ,700,50,949.4949494949494,5.012932459965012e-34
8YSZ,700,50,959.5959595959596,5.027085199331444e-34
8YSZ,700,50,969.6969696969696,4.910272732871898e-34
8YSZ,700,50,979.7979797979797,5.021935535804767e-34
8YSZ,700,50,989.8989898989898,4.8028414412570365e-34
8YSZ,700,50,1000.0,5.145679649982231e-34
8YSZ,700,75,0.0,0.0
8YSZ,700,75,10.1010101010101,2.0078400052842084e-34
8YSZ,700,75,20.2020202020202,2.4981604641467006e-34
8YSZ,700,75,30.3030303030303,2.9926201829666357e-34
8YSZ,700,75,40.4040404040404,3.1228386569135095e-34
8YSZ,700,75,50.505050505050505,3.2889357547646624e-34
8YSZ,700,75,60.6060606060606,3.4766813420891752e-34
8YSZ,700,75,70.7070707070707,3.90707646975901e-34
8YSZ,700,75,80.8080808080808,3.856143630853027e-34
8YSZ,700,75,90.9090909090909,4.388603491592203e-34
8YSZ,700,75,101.01010101010101,4.047022843189862e-34
8YSZ,700,75,111.1111111111111,4.681265141195843e-34
8YSZ,700,75,121.2121212121212,4.613338544194962e-34
8YSZ,700,75,131.3131313131313,4.69336450440033e-34
8YSZ,700,75,141.4141414141414,4.7447003360864016e-34
8YSZ,700,75,151.5151515151515,4.993722151468245e-34
8YSZ,700,75,161.6161616161616,5.035166658467706e-34
8YSZ,700,75,171.7171717171717,5.312940812609504e-34
8YSZ,700,75,181.8181818181818,5.258604448435732e-34
8YSZ,700,75,191.91919191919192,5.359045103302107e-34
8YSZ,700,75,202.02020202020202,5.366872720089059e-34
8YSZ,700,75,212.1212121212121,5.504712816229445e-34
8YSZ,700,75,222.2222222222222,5.65114237878108e-34
8YSZ,700,75,232.3232323232323,5.390656299325289e-34
8YSZ,700,75,242.4242424242424,5.529478792436773e-34
8YSZ,700,75,252.5252525252525,5.9709378407132015e-34
8YSZ,700,75,262.6262626262626,5.947118127256072e-34
8YSZ,700,75,272.7272727272727,5.9578721955544995e-34
8YSZ,700,75,282.8282828282828,6.066624650741095e-34
8YSZ,700,75,292.9292929292929,6.197854045136519e-34
8YSZ,700,75,303.030303030303,6.1024591898024015e-34
8YSZ,700,75,313.1313131313131,6.123977182061259e-34
8YSZ,700,75,323.2323232323232,6.373654686263959e-34
8YSZ,700,75,333.3333333333333,6.213218095526962e-34
8YSZ,700,75,343.4343434343434,6.543643936724647e-34
8YSZ,700,75,353.5353535353535,6.193242196557731e-34
8YSZ,700,75,363.6363636363636,6.790950459542852e-34
8YSZ,700,75,373.73737373737373,6.741640514382661e-34
8YSZ,700,75,383.83838383838383,6.7576622082954755e-34
8YSZ,700,75,393.93939393939394,6.9632888484841575e-34
8YSZ,700,75,404.04040404040404,7.161420435564581e-34
8YSZ,700,75,414.1414141414141,7.085695748040653e-34
8YSZ,700,75,424.2424242424242,6.5485472194934645e-34
8YSZ,700,75,434.3434343434343,6.71722113128326e-34
8YSZ,700,75,444.4444444444444,6.906632226210866e-34
8YSZ,700,75,454.5454545454545,7.096509710827192e-34
