Material,Temperature_C,CTE_1perK,Thermal_Conductivity_WperMK,Specific_Heat_JperKgK,Density_kg_per_m3
8YSZ,20,1.0823677440408277e-05,2.808053853056031,406.2218803779828,6000
8YSZ,40,1.05357139012908e-05,2.693817131354702,409.15622616524786,6000
8YSZ,60,1.045743583551655e-05,2.53241942909184,409.995072919316,6000
8YSZ,80,1.0321118305357735e-05,2.598759302200876,409.0018318946056,6000
8YSZ,100,1.0559871575909686e-05,2.554977468470497,413.36365048845704,6000
8YSZ,120,1.0804821608102542e-05,2.5699583426927908,425.5616116460447,6000
8YSZ,140,1.0288619716742399e-05,2.820454308926153,414.56186280115804,6000
8YSZ,160,1.0670987296924763e-05,2.4939238970304367,420.4768143203284,6000
8YSZ,180,1.0708712400289518e-05,2.6291863008078122,419.22507246659586,6000
8YSZ,200,1.0477813818842458e-05,2.717130718684322,427.26309293288244,6000
8YSZ,220,1.1029721008574589e-05,2.5786184869131192,426.26076563699894,6000
8YSZ,240,1.0894863406041418e-05,2.4848236819774008,422.4914073010757,6000
8YSZ,260,1.0975739771846661e-05,2.5124485214490844,420.1378751465618,6000
8YSZ,280,1.1162107050873328e-05,2.487449481583557,440.61656831732125,6000
8YSZ,300,1.079489476755135e-05,2.369782817497772,439.6369175151966,6000
8YSZ,320,1.0896857261887488e-05,2.6074235461295596,453.0413340858512,6000
8YSZ,340,1.0736146879454463e-05,2.626976842751831,441.8236115500025,6000
8YSZ,360,1.053421066412171e-05,2.4641787333425995,437.81176369413737,6000
8YSZ,380,1.1079282072225966e-05,2.43986250332539,456.4882726730957,6000
8YSZ,400,1.082213489536984e-05,2.5401535430454336,469.4633706781252,6000
8YSZ,420,1.0804422833947072e-05,2.5866040389900857,460.3455828327062,6000
8YSZ,440,1.0886799071009817e-05,2.7067056546883967,449.6531754346757,6000
8YSZ,460,1.122206204559371e-05,2.5737031051389008,461.53082705003175,6000
8YSZ,480,1.1317146619023202e-05,2.3765046487169132,464.1058287545347,6000
8YSZ,500,1.071461730794251e-05,2.539005159896929,461.492674884793,6000
8YSZ,520,1.109527406828309e-05,2.4860172688133835,470.44613754476717,6000
8YSZ,540,1.1105657853025741e-05,2.4719178473943906,467.5926509003556,6000
8YSZ,560,1.1658543156111402e-05,2.447696301520668,459.6666006489376,6000
8YSZ,580,1.087372776983363e-05,2.3818666875876735,491.9970895632722,6000
8YSZ,600,1.1151278229365495e-05,2.497520695844557,483.39598118274523,6000
8YSZ,620,1.1037984245153362e-05,2.432625284553754,489.2043067954724,6000
8YSZ,640,1.1305778156025138e-05,2.476721707343893,497.9311125000618,6000
8YSZ,660,1.1251301724757922e-05,2.5088473195088286,498.8584484120794,6000
8YSZ,680,1.1240094889821934e-05,2.522877960106396,492.36284173832894,6000
8YSZ,700,1.0988655959122842e-05,2.3416174707152293,503.83646221874733,6000
8YSZ,720,1.0784763977966915e-05,2.453552387373932,503.8971497455444,6000
8YSZ,740,1.1474613148639845e-05,2.3633800634147533,505.9342862201581,6000
8YSZ,760,1.149227130932435e-05,2.5037517428456404,504.0488428220164,6000
8YSZ,780,1.1300937133578629e-05,2.4171628361159296,517.8411570097853,6000
8YSZ,800,1.1220762931258394e-05,2.4797983066415776,497.4604659793532,6000
8YSZ,820,1.1204824566934956e-05,2.4119822543199887,524.7551380442732,6000
8YSZ,840,1.1626264644531182e-05,2.457265718980204,520.0132345992864,6000
8YSZ,860,1.1634810798032742e-05,2.313360159531303,535.7929352669701,6000
8YSZ,880,1.177135070709725e-05,2.44187224947251,530.1190506576853,6000
8YSZ,900,1.1304487151544665e-05,2.2403260290914964,535.3041417474071,6000
8YSZ,920,1.114573047202263e-05,2.284321946614302,522.2590199321177,6000
8YSZ,940,1.131484639122122e-05,2.330043259762491,540.9440928933429,6000
8YSZ,960,1.1302604081817284e-05,2.3985504600098726,538.7472191085485,6000
8YSZ,980,1.1279454018295543e-05,2.3317227867280743,565.3634548289567,6000
8YSZ,1000,1.1556952866076464e-05,2.282875876360652,530.2895727640614,6000
LSM,20,1.143691895772053e-05,3.5246674531342523,446.51177197869987,6500
LSM,40,1.105953653186747e-05,3.4048437358722503,466.79557291717373,6500
LSM,60,1.199514329057997e-05,3.395222077334431,463.35168806215154,6500
LSM,80,1.1277624606024263e-05,3.628694878817193,463.0600935741933,6500
LSM,100,1.1936820496846722e-05,3.2971500657558046,470.6938934026783,6500
LSM,120,1.1697755336372281e-05,3.558685816269327,476.5631625901959,6500
LSM,140,1.1759307806360838e-05,3.4015617839051524,478.954094390317,6500
LSM,160,1.1762284499925188e-05,3.3674572889210426,466.4548731922261,6500
LSM,180,1.1383497914979691e-05,3.399154247515649,489.3593790332083,6500
LSM,200,1.191272653561266e-05,3.3912326145616762,490.1652500915614,6500
LSM,220,1.1652338205037292e-05,3.4498401483111425,484.253992777108,6500
LSM,240,1.2172570491738122e-05,3.2715139332278733,481.2748636729829,6500
LSM,260,1.1489345425101188e-05,3.4013030731291347,505.14952089583034,6500
LSM,280,1.1868113113499113e-05,3.3695731869048346,505.46145387869365,6500
LSM,300,1.2382167691874273e-05,3.406923237026294,507.25262625933135,6500
LSM,320,1.177422125138442e-05,3.55096677436057,525.6589594428855,6500
LSM,340,1.2298188992625779e-05,3.191148054828473,501.9328463761377,6500
LSM,360,1.2366605310448307e-05,3.355034023268861,524.2069580186529,6500
LSM,380,1.2399682044285156e-05,3.3201090530420725,515.1321984917008,6500
LSM,400,1.1986040117874118e-05,3.367453028050864,512.6499772831953,6500
LSM,420,1.2661239253571659e-05,3.5945636225626627,507.0583938010188,6500
LSM,440,1.174668777570429e-05,3.349183647460203,509.6384141739129,6500
LSM,460,1.2394302491336148e-05,3.4436725049389505,545.0139978406721,6500
LSM,480,1.2482533010481096e-05,3.3425183640216716,511.7183303289972,6500
LSM,500,1.2468156673971377e-05,3.36317720139212,543.2547287028743,6500
LSM,520,1.2278597468272158e-05,3.3062772136762963,524.0375756427148,6500
LSM,540,1.1821679705041844e-05,3.2327955718512666,526.5274177474413,6500
LSM,560,1.2685896016909782e-05,3.286114055565381,541.3095328484616,6500
LSM,580,1.2309417683931721e-05,3.0088727593660574,567.415551208203,6500
LSM,600,1.2343414379541145e-05,3.2848487254303764,538.2681556712721,6500
LSM,620,1.30085878840424e-05,3.3342855221289174,548.7777634164329,6500
LSM,640,1.2615074868786928e-05,3.4808446478576545,560.7804073411095,6500
LSM,660,1.2721936134731718e-05,3.214577301315539,543.7836546750611,6500
LSM,680,1.276870760511782e-05,3.3342425552268766,581.3088728661916,6500
LSM,700,1.213710836415836e-05,3.1847504751839626,565.7516759953097,6500
LSM,720,1.2898877426335143e-05,3.275685174646145,574.5981463408826,6500
LSM,740,1.3072019074947374e-05,3.195007562726042,590.428567598373,6500
LSM,760,1.312065531733148e-05,3.2465476951456447,601.8729908173923,6500
LSM,780,1.352661341957861e-05,3.3635730080658246,551.3742177406164,6500
LSM,800,1.357552557277242e-05,3.3438704400318002,614.0916731941144,6500
LSM,820,1.3505269653792732e-05,3.4143619138592345,604.4384196201429,6500
LSM,840,1.358304571575505e-05,3.448666359570496,600.1882622330963,6500
LSM,860,1.2661950035726256e-05,3.218041009902525,605.8887058869865,6500
