Mix_ID,Temperature_C,Data_Type,Property_Type,Thermal_Conductivity_W_mK,Thermal_Conductivity_Std,Specific_Heat_J_kgK,Specific_Heat_Std,Density_kg_m3,Density_Std
C,20,Calibration,Thermal,2.2823,0.1826,911.02,91.1,2388.02,71.64
C,40,Calibration,Thermal,2.2669,0.1814,946.67,94.67,2377.53,71.33
C,60,Calibration,Thermal,2.2497,0.18,1181.72,118.17,2368.35,71.05
C,80,Calibration,Thermal,2.2306,0.1784,1898.57,189.86,2360.32,70.81
C,100,Calibration,Thermal,2.2093,0.1767,2445.0,244.5,2353.29,70.6
C,120,Calibration,Thermal,2.1857,0.1749,1914.57,191.46,2347.14,70.41
C,140,Calibration,Thermal,2.1597,0.1728,1213.72,121.37,2341.75,70.25
C,160,Calibration,Thermal,2.1312,0.1705,994.68,99.47,2337.04,70.11
C,180,Calibration,Thermal,2.1001,0.168,975.03,97.5,2332.91,69.99
C,200,Calibration,Thermal,2.0662,0.1653,980.07,98.01,2329.31,69.88
C,220,Calibration,Thermal,2.0296,0.1624,986.01,98.6,2326.15,69.78
C,240,Calibration,Thermal,1.9903,0.1592,992.01,99.2,2323.38,69.7
C,260,Calibration,Thermal,1.9484,0.1559,999.04,99.9,2320.96,69.63
C,280,Calibration,Thermal,1.904,0.1523,1009.55,100.95,2318.85,69.57
C,300,Calibration,Thermal,1.8572,0.1486,1028.78,102.88,2316.99,69.51
C,320,Calibration,Thermal,1.8084,0.1447,1065.85,106.59,2315.37,69.46
C,340,Calibration,Thermal,1.7579,0.1406,1132.98,113.3,2313.95,69.42
C,360,Calibration,Thermal,1.706,0.1365,1240.85,124.09,2312.71,69.38
C,380,Calibration,Thermal,1.6533,0.1323,1389.83,138.98,2311.62,69.35
C,400,Calibration,Thermal,1.6,0.128,1561.31,156.13,2310.67,69.32
C,420,Calibration,Thermal,1.5467,0.1237,1716.85,171.69,2309.84,69.3
C,440,Calibration,Thermal,1.494,0.1195,1810.8,181.08,2309.11,69.27
C,460,Calibration,Thermal,1.4421,0.1154,1811.8,181.18,2308.47,69.25
C,480,Calibration,Thermal,1.3916,0.1113,1719.85,171.99,2307.91,69.24
C,500,Calibration,Thermal,1.3428,0.1074,1566.31,156.63,2307.42,69.22
C,520,Calibration,Thermal,1.296,0.1037,1396.83,139.68,2307.0,69.21
C,540,Calibration,Thermal,1.2516,0.1001,1249.85,124.99,2306.62,69.2
C,560,Calibration,Thermal,1.2097,0.0968,1143.98,114.4,2306.3,69.19
C,580,Calibration,Thermal,1.1704,0.0936,1078.85,107.89,2306.01,69.18
C,600,Calibration,Thermal,1.1338,0.0907,1043.78,104.38,2305.76,69.17
C,620,Calibration,Thermal,1.0999,0.088,1026.55,102.65,2305.54,69.17
C,640,Calibration,Thermal,1.0688,0.0855,1018.04,101.8,2305.35,69.16
C,660,Calibration,Thermal,1.0403,0.0832,1013.01,101.3,2305.18,69.16
C,680,Calibration,Thermal,1.0143,0.0811,1009.01,100.9,2305.03,69.15
C,700,Calibration,Thermal,0.9907,0.0793,1005.05,100.5,2304.9,69.15
C,720,Calibration,Thermal,0.9694,0.0776,1000.81,100.08,2304.79,69.14
C,740,Calibration,Thermal,0.9503,0.076,996.2,99.62,2304.69,69.14
C,760,Calibration,Thermal,0.9331,0.0746,991.2,99.12,2304.61,69.14
C,780,Calibration,Thermal,0.9177,0.0734,985.8,98.58,2304.53,69.14
C,800,Calibration,Thermal,0.904,0.0723,980.0,98.0,2304.46,69.13
C,20,Validation,Thermal,2.0992,0.1679,837.94,83.79,2196.45,65.89
C,40,Validation,Thermal,2.0851,0.1668,870.73,87.07,2186.8,65.6
C,60,Validation,Thermal,2.0693,0.1655,1086.92,108.69,2178.36,65.35
C,80,Validation,Thermal,2.0516,0.1641,1746.27,174.63,2170.97,65.13
C,100,Validation,Thermal,2.032,0.1626,2248.86,224.89,2164.5,64.94
C,120,Validation,Thermal,2.0104,0.1608,1760.98,176.1,2158.85,64.77
C,140,Validation,Thermal,1.9865,0.1589,1116.35,111.64,2153.89,64.62
C,160,Validation,Thermal,1.9603,0.1568,914.88,91.49,2149.56,64.49
C,180,Validation,Thermal,1.9316,0.1545,896.81,89.68,2145.77,64.37
C,200,Validation,Thermal,1.9005,0.152,901.45,90.14,2142.45,64.27
C,220,Validation,Thermal,1.8668,0.1493,906.91,90.69,2139.54,64.19
C,240,Validation,Thermal,1.8307,0.1465,912.43,91.24,2137.0,64.11
C,260,Validation,Thermal,1.7921,0.1434,918.9,91.89,2134.77,64.04
C,280,Validation,Thermal,1.7512,0.1401,928.56,92.86,2132.83,63.98
C,300,Validation,Thermal,1.7082,0.1367,946.25,94.63,2131.12,63.93
C,320,Validation,Thermal,1.6633,0.1331,980.35,98.03,2129.63,63.89
C,340,Validation,Thermal,1.6169,0.1294,1042.09,104.21,2128.32,63.85
C,360,Validation,Thermal,1.5692,0.1255,1141.31,114.13,2127.18,63.82
C,380,Validation,Thermal,1.5206,0.1217,1278.34,127.83,2126.18,63.79
C,400,Validation,Thermal,1.4716,0.1177,1436.06,143.61,2125.31,63.76
C,420,Validation,Thermal,1.4227,0.1138,1579.12,157.91,2124.54,63.74
C,440,Validation,Thermal,1.3741,0.1099,1665.53,166.55,2123.87,63.72
C,460,Validation,Thermal,1.3264,0.1061,1666.45,166.65,2123.28,63.7
C,480,Validation,Thermal,1.2799,0.1024,1581.88,158.19,2122.77,63.68
C,500,Validation,Thermal,1.2351,0.0988,1440.66,144.07,2122.32,63.67
C,520,Validation,Thermal,1.1921,0.0954,1284.78,128.48,2121.93,63.66
C,540,Validation,Thermal,1.1512,0.0921,1149.59,114.96,2121.58,63.65
C,560,Validation,Thermal,1.1126,0.089,1052.21,105.22,2121.28,63.64
C,580,Validation,Thermal,1.0765,0.0861,992.31,99.23,2121.02,63.63
C,600,Validation,Thermal,1.0428,0.0834,960.05,96.01,2120.79,63.62
C,620,Validation,Thermal,1.0117,0.0809,944.2,94.42,2120.59,63.62
C,640,Validation,Thermal,0.983,0.0786,936.37,93.64,2120.41,63.61
C,660,Validation,Thermal,0.9568,0.0765,931.75,93.17,2120.25,63.61
C,680,Validation,Thermal,0.9329,0.0746,928.06,92.81,2120.12,63.6
C,700,Validation,Thermal,0.9112,0.0729,924.42,92.44,2120.0,63.6
C,720,Validation,Thermal,0.8917,0.0713,920.52,92.05,2119.9,63.6
C,740,Validation,Thermal,0.874,0.0699,916.29,91.63,2119.81,63.59
C,760,Validation,Thermal,0.8582,0.0687,911.69,91.17,2119.73,63.59
C,780,Validation,Thermal,0.8441,0.0675,906.72,90.67,2119.66,63.59
C,800,Validation,Thermal,0.8314,0.0665,901.38,90.14,2119.6,63.59
R5S,20,Calibration,Thermal,2.1975,0.1758,926.02,92.6,2370.11,71.1
R5S,40,Calibration,Thermal,2.1827,0.1746,961.67,96.17,2359.7,70.79
R5S,60,Calibration,Thermal,2.1661,0.1733,1196.72,119.67,2350.59,70.52
R5S,80,Calibration,Thermal,2.1477,0.1718,1913.57,191.36,2342.62,70.28
R5S,100,Calibration,Thermal,2.1272,0.1702,2460.0,246.0,2335.64,70.07
R5S,120,Calibration,Thermal,2.1045,0.1684,1929.57,192.96,2329.53,69.89
R5S,140,Calibration,Thermal,2.0795,0.1664,1228.72,122.87,2324.19,69.73
R5S,160,Calibration,Thermal,2.0521,0.1642,1009.68,100.97,2319.51,69.59
R5S,180,Calibration,Thermal,2.0221,0.1618,990.03,99.0,2315.42,69.46
R5S,200,Calibration,Thermal,1.9895,0.1592,995.07,99.51,2311.84,69.36
R5S,220,Calibration,Thermal,1.9542,0.1563,1001.01,100.1,2308.7,69.26
R5S,240,Calibration,Thermal,1.9164,0.1533,1007.01,100.7,2305.96,69.18
R5S,260,Calibration,Thermal,1.876,0.1501,1014.04,101.4,2303.56,69.11
R5S,280,Calibration,Thermal,1.8332,0.1467,1024.55,102.45,2301.45,69.04
R5S,300,Calibration,Thermal,1.7882,0.1431,1043.78,104.38,2299.61,68.99
R5S,320,Calibration,Thermal,1.7412,0.1393,1080.85,108.09,2298.01,68.94
R5S,340,Calibration,Thermal,1.6926,0.1354,1147.98,114.8,2296.6,68.9
R5S,360,Calibration,Thermal,1.6427,0.1314,1255.85,125.59,2295.36,68.86
R5S,380,Calibration,Thermal,1.5918,0.1273,1404.83,140.48,2294.28,68.83
R5S,400,Calibration,Thermal,1.5406,0.1232,1576.31,157.63,2293.34,68.8
R5S,420,Calibration,Thermal,1.4893,0.1191,1731.85,173.19,2292.51,68.78
R5S,440,Calibration,Thermal,1.4385,0.1151,1825.8,182.58,2291.79,68.75
R5S,460,Calibration,Thermal,1.3885,0.1111,1826.8,182.68,2291.16,68.73
R5S,480,Calibration,Thermal,1.3399,0.1072,1734.85,173.49,2290.6,68.72
R5S,500,Calibration,Thermal,1.2929,0.1034,1581.31,158.13,2290.12,68.7
R5S,520,Calibration,Thermal,1.2479,0.0998,1411.83,141.18,2289.69,68.69
R5S,540,Calibration,Thermal,1.2051,0.0964,1264.85,126.49,2289.32,68.68
R5S,560,Calibration,Thermal,1.1647,0.0932,1158.98,115.9,2289.0,68.67
R5S,580,Calibration,Thermal,1.1269,0.0902,1093.85,109.39,2288.71,68.66
R5S,600,Calibration,Thermal,1.0917,0.0873,1058.78,105.88,2288.47,68.65
R5S,620,Calibration,Thermal,1.0591,0.0847,1041.55,104.15,2288.25,68.65
R5S,640,Calibration,Thermal,1.0291,0.0823,1033.04,103.3,2288.06,68.64
R5S,660,Calibration,Thermal,1.0016,0.0801,1028.01,102.8,2287.89,68.64
R5S,680,Calibration,Thermal,0.9766,0.0781,1024.01,102.4,2287.74,68.63
R5S,700,Calibration,Thermal,0.9539,0.0763,1020.05,102.0,2287.62,68.63
R5S,720,Calibration,Thermal,0.9334,0.0747,1015.81,101.58,2287.5,68.63
R5S,740,Calibration,Thermal,0.915,0.0732,1011.2,101.12,2287.41,68.62
R5S,760,Calibration,Thermal,0.8984,0.0719,1006.2,100.62,2287.32,68.62
R5S,780,Calibration,Thermal,0.8836,0.0707,1000.8,100.08,2287.25,68.62
R5S,800,Calibration,Thermal,0.8704,0.0696,995.0,99.5,2287.18,68.62
R5S,20,Validation,Thermal,2.2608,0.1809,952.68,95.27,2438.34,73.15
R5S,40,Validation,Thermal,2.2455,0.1796,989.36,98.94,2427.63,72.83
R5S,60,Validation,Thermal,2.2285,0.1783,1231.17,123.12,2418.26,72.55
R5S,80,Validation,Thermal,2.2095,0.1768,1968.66,196.87,2410.05,72.3
