Mix_ID,Temperature_C,Data_Type,Property_Type,Compressive_Strength_MPa,Compressive_Strength_Std,Tensile_Strength_MPa,Tensile_Strength_Std,Elastic_Modulus_MPa,Elastic_Modulus_Std,Poisson_Ratio,Poisson_Ratio_Std,Fracture_Energy_N_m,Fracture_Energy_Std
C,20,Calibration,Mechanical,45.0,5.4,4.2,0.63,35000.0,3500.0,0.1873,0.015,98.25,14.74
C,40,Calibration,Mechanical,45.0,5.4,4.2,0.63,34737.5,3473.8,0.1943,0.0155,96.5,14.47
C,60,Calibration,Mechanical,45.0,5.4,4.2,0.63,34475.0,3447.5,0.2009,0.0161,94.75,14.21
C,80,Calibration,Mechanical,45.0,5.4,4.2,0.63,34212.5,3421.2,0.2072,0.0166,93.0,13.95
C,100,Calibration,Mechanical,45.0,5.4,4.2,0.63,33950.0,3395.0,0.2132,0.0171,91.25,13.69
C,120,Calibration,Mechanical,44.55,5.346,4.145,0.622,33110.0,3311.0,0.2189,0.0175,89.5,13.42
C,140,Calibration,Mechanical,44.1,5.292,4.091,0.614,32270.0,3227.0,0.2243,0.0179,87.75,13.16
C,160,Calibration,Mechanical,43.65,5.238,4.037,0.606,31430.0,3143.0,0.2295,0.0184,86.0,12.9
C,180,Calibration,Mechanical,43.2,5.184,3.983,0.597,30590.0,3059.0,0.2344,0.0187,84.25,12.64
C,200,Calibration,Mechanical,42.75,5.13,3.929,0.589,29750.0,2975.0,0.239,0.0191,82.5,12.38
C,220,Calibration,Mechanical,41.85,5.022,3.822,0.573,28525.0,2852.5,0.2435,0.0195,80.75,12.11
C,240,Calibration,Mechanical,40.95,4.914,3.715,0.557,27300.0,2730.0,0.2477,0.0198,79.0,11.85
C,260,Calibration,Mechanical,40.05,4.806,3.61,0.541,26075.0,2607.5,0.2517,0.0201,77.25,11.59
C,280,Calibration,Mechanical,39.15,4.698,3.504,0.526,24850.0,2485.0,0.2555,0.0204,75.5,11.32
C,300,Calibration,Mechanical,38.25,4.59,3.4,0.51,23625.0,2362.5,0.2591,0.0207,73.75,11.06
C,320,Calibration,Mechanical,37.35,4.482,3.296,0.494,22400.0,2240.0,0.2626,0.021,72.0,10.8
C,340,Calibration,Mechanical,36.45,4.374,3.194,0.479,21175.0,2117.5,0.2659,0.0213,70.25,10.54
C,360,Calibration,Mechanical,35.55,4.266,3.091,0.464,19950.0,1995.0,0.269,0.0215,68.5,10.28
C,380,Calibration,Mechanical,34.65,4.158,2.99,0.449,18725.0,1872.5,0.272,0.0218,66.75,10.01
C,400,Calibration,Mechanical,33.75,4.05,2.89,0.433,17500.0,1750.0,0.2748,0.022,65.0,9.75
C,420,Calibration,Mechanical,32.4,3.888,2.74,0.411,16450.0,1645.0,0.2775,0.0222,63.25,9.49
C,440,Calibration,Mechanical,31.05,3.726,2.593,0.389,15400.0,1540.0,0.2801,0.0224,61.5,9.22
C,460,Calibration,Mechanical,29.7,3.564,2.447,0.367,14350.0,1435.0,0.2825,0.0226,59.75,8.96
C,480,Calibration,Mechanical,28.35,3.402,2.304,0.346,13300.0,1330.0,0.2848,0.0228,58.0,8.7
C,500,Calibration,Mechanical,27.0,3.24,2.162,0.324,12250.0,1225.0,0.287,0.023,56.25,8.44
C,520,Calibration,Mechanical,25.65,3.078,2.022,0.303,11200.0,1120.0,0.2891,0.0231,54.5,8.17
C,540,Calibration,Mechanical,24.3,2.916,1.885,0.283,10150.0,1015.0,0.2911,0.0233,52.75,7.91
C,560,Calibration,Mechanical,22.95,2.754,1.75,0.263,9100.0,910.0,0.293,0.0234,51.0,7.65
C,580,Calibration,Mechanical,21.6,2.592,1.618,0.243,8050.0,805.0,0.2948,0.0236,49.25,7.39
C,600,Calibration,Mechanical,20.25,2.43,1.487,0.223,7000.0,700.0,0.2965,0.0237,47.5,7.12
C,620,Calibration,Mechanical,18.9,2.268,1.36,0.204,6475.0,647.5,0.2982,0.0239,45.75,6.86
C,640,Calibration,Mechanical,17.55,2.106,1.235,0.185,5950.0,595.0,0.2997,0.024,44.0,6.6
C,660,Calibration,Mechanical,16.2,1.944,1.113,0.167,5425.0,542.5,0.3012,0.0241,42.25,6.34
C,680,Calibration,Mechanical,14.85,1.782,0.994,0.149,4900.0,490.0,0.3026,0.0242,40.5,6.08
