country,year,new_fintech_licenses
Kenya,2018,9
Kenya,2019,8
Kenya,2020,13
Kenya,2021,8
Kenya,2022,17
Kenya,2023,14
Kenya,2024,13
Nigeria,2018,8
Nigeria,2019,11
Nigeria,2020,7
Nigeria,2021,14
Nigeria,2022,25
Nigeria,2023,13
Nigeria,2024,18
Ghana,2018,5
Ghana,2019,4
Ghana,2020,7
Ghana,2021,5
Ghana,2022,19
Ghana,2023,11
Ghana,2024,14
Tanzania,2018,3
Tanzania,2019,9
Tanzania,2020,7
Tanzania,2021,5
Tanzania,2022,21
Tanzania,2023,11
Tanzania,2024,9
Uganda,2018,8
Uganda,2019,11
Uganda,2020,9
Uganda,2021,15
Uganda,2022,24
Uganda,2023,14
Uganda,2024,16
South Africa,2018,20
South Africa,2019,18
South Africa,2020,18
South Africa,2021,21
South Africa,2022,26
South Africa,2023,24
South Africa,2024,19
Ethiopia,2018,2
Ethiopia,2019,8
Ethiopia,2020,3
Ethiopia,2021,8
Ethiopia,2022,14
Ethiopia,2023,9
Ethiopia,2024,13
Rwanda,2018,7
Rwanda,2019,9
Rwanda,2020,10
Rwanda,2021,7
Rwanda,2022,20
Rwanda,2023,12
Rwanda,2024,16
Cameroon,2018,19
Cameroon,2019,21
Cameroon,2020,20
Cameroon,2021,21
Cameroon,2022,26
Cameroon,2023,19
Cameroon,2024,22
Ivory Coast,2018,18
Ivory Coast,2019,21
Ivory Coast,2020,19
Ivory Coast,2021,17
Ivory Coast,2022,33
Ivory Coast,2023,22
Ivory Coast,2024,21
