country,year,player,market_share
Kenya,2018,Player_1,7.35
Kenya,2018,Player_2,9.63
Kenya,2018,Player_3,7.9
Kenya,2018,Player_4,8.83
Kenya,2018,Player_5,9.39
Kenya,2018,Player_6,8.89
Kenya,2018,Player_7,30.91
Kenya,2018,Player_8,17.11
Kenya,2019,Player_1,3.67
Kenya,2019,Player_2,13.04
Kenya,2019,Player_3,0.06
Kenya,2019,Player_4,44.95
Kenya,2019,Player_5,4.67
Kenya,2019,Player_6,4.3
Kenya,2019,Player_7,2.96
Kenya,2019,Player_8,26.36
Kenya,2020,Player_1,11.19
Kenya,2020,Player_2,9.39
Kenya,2020,Player_3,26.88
Kenya,2020,Player_4,11.07
Kenya,2020,Player_5,22.03
Kenya,2020,Player_6,3.85
Kenya,2020,Player_7,2.41
Kenya,2020,Player_8,13.17
Kenya,2021,Player_1,3.93
Kenya,2021,Player_2,1.77
Kenya,2021,Player_3,6.5
Kenya,2021,Player_4,14.76
Kenya,2021,Player_5,18.24
Kenya,2021,Player_6,7.9
Kenya,2021,Player_7,40.54
Kenya,2021,Player_8,6.34
Kenya,2022,Player_1,4.16
Kenya,2022,Player_2,10.68
Kenya,2022,Player_3,16.78
Kenya,2022,Player_4,19.11
Kenya,2022,Player_5,42.66
Kenya,2022,Player_6,3.12
Kenya,2022,Player_7,2.15
Kenya,2022,Player_8,1.34
Kenya,2023,Player_1,0.49
Kenya,2023,Player_2,44.98
Kenya,2023,Player_3,3.41
Kenya,2023,Player_4,2.67
Kenya,2023,Player_5,12.35
Kenya,2023,Player_6,22.88
Kenya,2023,Player_7,8.39
Kenya,2023,Player_8,4.82
Kenya,2024,Player_1,3.0
Kenya,2024,Player_2,10.97
Kenya,2024,Player_3,6.22
Kenya,2024,Player_4,10.61
Kenya,2024,Player_5,35.89
Kenya,2024,Player_6,0.66
Kenya,2024,Player_7,3.12
Kenya,2024,Player_8,29.53
Nigeria,2018,Player_1,9.39
Nigeria,2018,Player_2,34.98
Nigeria,2018,Player_3,22.89
Nigeria,2018,Player_4,19.55
Nigeria,2018,Player_5,10.18
Nigeria,2018,Player_6,3.01
Nigeria,2019,Player_1,17.71
Nigeria,2019,Player_2,50.61
Nigeria,2019,Player_3,0.94
Nigeria,2019,Player_4,14.55
Nigeria,2019,Player_5,10.65
Nigeria,2019,Player_6,5.54
Nigeria,2020,Player_1,3.04
Nigeria,2020,Player_2,46.68
Nigeria,2020,Player_3,7.34
Nigeria,2020,Player_4,4.72
Nigeria,2020,Player_5,25.11
Nigeria,2020,Player_6,13.11
Nigeria,2021,Player_1,21.57
Nigeria,2021,Player_2,44.32
Nigeria,2021,Player_3,1.76
Nigeria,2021,Player_4,1.3
Nigeria,2021,Player_5,24.14
Nigeria,2021,Player_6,6.91
Nigeria,2022,Player_1,10.66
Nigeria,2022,Player_2,28.73
Nigeria,2022,Player_3,25.74
Nigeria,2022,Player_4,0.66
Nigeria,2022,Player_5,34.16
Nigeria,2022,Player_6,0.06
Nigeria,2023,Player_1,4.82
Nigeria,2023,Player_2,35.87
Nigeria,2023,Player_3,37.55
Nigeria,2023,Player_4,8.84
Nigeria,2023,Player_5,10.64
Nigeria,2023,Player_6,2.28
Nigeria,2024,Player_1,32.7
Nigeria,2024,Player_2,7.71
Nigeria,2024,Player_3,16.29
Nigeria,2024,Player_4,17.14
Nigeria,2024,Player_5,14.01
Nigeria,2024,Player_6,12.15
Ghana,2018,Player_1,12.02
Ghana,2018,Player_2,31.54
Ghana,2018,Player_3,10.89
Ghana,2018,Player_4,12.31
Ghana,2018,Player_5,9.47
Ghana,2018,Player_6,3.55
Ghana,2018,Player_7,1.0
Ghana,2018,Player_8,1.0
Ghana,2018,Player_9,18.22
Ghana,2019,Player_1,0.58
Ghana,2019,Player_2,23.18
Ghana,2019,Player_3,8.7
Ghana,2019,Player_4,4.19
Ghana,2019,Player_5,2.21
Ghana,2019,Player_6,0.76
Ghana,2019,Player_7,5.25
Ghana,2019,Player_8,24.68
Ghana,2019,Player_9,30.45
Ghana,2020,Player_1,7.32
Ghana,2020,Player_2,15.41
Ghana,2020,Player_3,14.6
Ghana,2020,Player_4,0.65
Ghana,2020,Player_5,8.37
Ghana,2020,Player_6,14.0
Ghana,2020,Player_7,1.6
Ghana,2020,Player_8,4.87
Ghana,2020,Player_9,33.18
Ghana,2021,Player_1,2.56
Ghana,2021,Player_2,31.56
Ghana,2021,Player_3,3.89
Ghana,2021,Player_4,1.86
Ghana,2021,Player_5,8.04
Ghana,2021,Player_6,3.99
Ghana,2021,Player_7,6.11
Ghana,2021,Player_8,28.32
Ghana,2021,Player_9,13.67
Ghana,2022,Player_1,1.82
Ghana,2022,Player_2,17.75
Ghana,2022,Player_3,33.78
Ghana,2022,Player_4,7.43
Ghana,2022,Player_5,11.02
Ghana,2022,Player_6,4.68
Ghana,2022,Player_7,4.81
Ghana,2022,Player_8,14.25
Ghana,2022,Player_9,4.45
Ghana,2023,Player_1,0.76
Ghana,2023,Player_2,5.27
Ghana,2023,Player_3,18.32
Ghana,2023,Player_4,10.81
Ghana,2023,Player_5,29.59
Ghana,2023,Player_6,25.06
Ghana,2023,Player_7,2.9
Ghana,2023,Player_8,0.74
Ghana,2023,Player_9,6.56
Ghana,2024,Player_1,10.14
Ghana,2024,Player_2,15.54
Ghana,2024,Player_3,2.81
Ghana,2024,Player_4,2.24
Ghana,2024,Player_5,0.4
Ghana,2024,Player_6,17.46
Ghana,2024,Player_7,5.33
Ghana,2024,Player_8,26.39
Ghana,2024,Player_9,19.7
Tanzania,2018,Player_1,27.26
Tanzania,2018,Player_2,14.09
Tanzania,2018,Player_3,19.68
Tanzania,2018,Player_4,10.58
Tanzania,2018,Player_5,28.38
Tanzania,2019,Player_1,12.19
Tanzania,2019,Player_2,5.93
Tanzania,2019,Player_3,0.03
Tanzania,2019,Player_4,49.97
Tanzania,2019,Player_5,31.89
Tanzania,2020,Player_1,10.69
Tanzania,2020,Player_2,41.83
Tanzania,2020,Player_3,4.21
Tanzania,2020,Player_4,14.17
Tanzania,2020,Player_5,29.1
Tanzania,2021,Player_1,25.66
Tanzania,2021,Player_2,22.7
Tanzania,2021,Player_3,32.24
Tanzania,2021,Player_4,15.69
Tanzania,2021,Player_5,3.71
Tanzania,2022,Player_1,4.34
Tanzania,2022,Player_2,50.68
Tanzania,2022,Player_3,8.29
Tanzania,2022,Player_4,31.83
Tanzania,2022,Player_5,4.86
Tanzania,2023,Player_1,22.81
Tanzania,2023,Player_2,37.35
Tanzania,2023,Player_3,21.76
Tanzania,2023,Player_4,6.5
Tanzania,2023,Player_5,11.58
Tanzania,2024,Player_1,21.2
Tanzania,2024,Player_2,19.9
