country,year,hhi
Cameroon,2018,3017.9026999999996
Cameroon,2019,2731.5190999999995
Cameroon,2020,4877.581700000001
Cameroon,2021,2691.1237000000006
Cameroon,2022,1636.9624
Cameroon,2023,1903.7612000000001
Cameroon,2024,2229.2382000000002
Ethiopia,2018,3952.479100000001
Ethiopia,2019,2684.1332
Ethiopia,2020,2096.1763
Ethiopia,2021,2540.2996
Ethiopia,2022,3399.224800000001
Ethiopia,2023,2744.0256999999997
Ethiopia,2024,3889.2599000000005
Ghana,2018,1845.632
Ghana,2019,2200.2239999999997
Ghana,2020,1897.8791999999999
Ghana,2021,2127.964
Ghana,2022,1904.0121000000001
Ghana,2023,2036.3918999999999
Ghana,2024,1775.1675
Ivory Coast,2018,2354.4111999999996
Ivory Coast,2019,3975.3061000000007
Ivory Coast,2020,3296.5243
Ivory Coast,2021,2887.4108
Ivory Coast,2022,2131.133
Ivory Coast,2023,2981.1213000000002
Ivory Coast,2024,3388.4878
Kenya,2018,1702.5227
Kenya,2019,2947.9267000000004
Kenya,2020,1737.8678999999997
Kenya,2021,2357.4801999999995
Kenya,2022,2614.1566
Kenya,2023,2811.8388999999997
Kenya,2024,2450.8844000000004
Nigeria,2018,2330.6196
Nigeria,2019,3231.7164000000002
Nigeria,2020,3066.8021999999996
Nigeria,2021,3064.8026
Nigeria,2022,2768.9408999999996
Nigeria,2023,2916.4453999999996
Nigeria,2024,2031.7804
Rwanda,2018,2276.8079000000002
Rwanda,2019,2430.5209999999997
Rwanda,2020,2429.0361000000003
Rwanda,2021,1666.3531
Rwanda,2022,1884.9954
Rwanda,2023,3041.9256000000005
Rwanda,2024,2468.6942999999997
South Africa,2018,2546.5244000000002
South Africa,2019,2424.3819999999996
South Africa,2020,4018.5221
South Africa,2021,2453.3597000000004
South Africa,2022,4473.8361
South Africa,2023,2215.9231000000004
South Africa,2024,2260.5524
Tanzania,2018,2246.2989000000002
Tanzania,2019,3697.7349
Tanzania,2020,2929.3479999999995
Tanzania,2021,2473.0834000000004
Tanzania,2022,3692.7905999999994
Tanzania,2023,2565.1626
Tanzania,2024,2025.7221999999997
Uganda,2018,3784.8872999999994
Uganda,2019,3644.907
Uganda,2020,2868.3018
Uganda,2021,3651.3677999999995
Uganda,2022,3865.4586
Uganda,2023,6339.5526
Uganda,2024,4319.1106
