country,month,sentiment_score
Kenya,2018-01,0.172
Kenya,2018-02,0.173
Kenya,2018-03,-0.036
Kenya,2018-04,-0.161
Kenya,2018-05,-0.015
Kenya,2018-06,-0.049
Kenya,2018-07,0.126
Kenya,2018-08,0.11
Kenya,2018-09,-0.073
Kenya,2018-10,0.046
Kenya,2018-11,-0.077
Kenya,2018-12,0.019
Kenya,2019-01,0.044
Kenya,2019-02,0.127
Kenya,2019-03,0.247
Kenya,2019-04,-0.001
Kenya,2019-05,0.006
Kenya,2019-06,-0.095
Kenya,2019-07,0.389
Kenya,2019-08,0.349
Kenya,2019-09,0.261
Kenya,2019-10,0.108
Kenya,2019-11,-0.053
Kenya,2019-12,0.064
Kenya,2020-01,0.268
Kenya,2020-02,0.096
Kenya,2020-03,0.016
Kenya,2020-04,-0.167
Kenya,2020-05,-0.139
Kenya,2020-06,0.198
Kenya,2020-07,0.093
Kenya,2020-08,0.168
Kenya,2020-09,0.168
Kenya,2020-10,-0.17
Kenya,2020-11,0.059
Kenya,2020-12,0.112
Kenya,2021-01,0.236
Kenya,2021-02,0.365
Kenya,2021-03,-0.078
Kenya,2021-04,0.19
Kenya,2021-05,-0.091
Kenya,2021-06,-0.133
Kenya,2021-07,0.138
Kenya,2021-08,0.356
Kenya,2021-09,0.137
Kenya,2021-10,-0.079
Kenya,2021-11,-0.225
Kenya,2021-12,-0.021
Kenya,2022-01,-0.128
Kenya,2022-02,0.094
Kenya,2022-03,0.294
Kenya,2022-04,0.174
Kenya,2022-05,-0.075
Kenya,2022-06,-0.081
Kenya,2022-07,0.197
Kenya,2022-08,0.47
Kenya,2022-09,0.08
Kenya,2022-10,0.099
Kenya,2022-11,-0.124
Kenya,2022-12,0.059
Kenya,2023-01,0.267
Kenya,2023-02,0.094
Kenya,2023-03,-0.116
Kenya,2023-04,0.127
Kenya,2023-05,-0.14
Kenya,2023-06,0.322
Kenya,2023-07,0.184
Kenya,2023-08,0.113
Kenya,2023-09,0.158
Kenya,2023-10,0.045
Kenya,2023-11,-0.144
Kenya,2023-12,-0.006
Kenya,2024-01,0.356
Kenya,2024-02,0.145
Kenya,2024-03,0.002
Kenya,2024-04,-0.042
Kenya,2024-05,-0.027
Kenya,2024-06,0.116
Kenya,2024-07,0.128
Kenya,2024-08,0.243
Kenya,2024-09,-0.022
Kenya,2024-10,0.031
Kenya,2024-11,-0.083
Kenya,2024-12,-0.028
Nigeria,2018-01,-0.087
Nigeria,2018-02,-0.024
Nigeria,2018-03,-0.046
Nigeria,2018-04,0.048
Nigeria,2018-05,0.067
Nigeria,2018-06,-0.065
Nigeria,2018-07,0.032
Nigeria,2018-08,0.132
Nigeria,2018-09,0.05
Nigeria,2018-10,0.046
Nigeria,2018-11,-0.145
Nigeria,2018-12,0.048
Nigeria,2019-01,0.055
Nigeria,2019-02,0.167
Nigeria,2019-03,-0.009
Nigeria,2019-04,-0.133
Nigeria,2019-05,0.101
Nigeria,2019-06,0.095
Nigeria,2019-07,-0.099
Nigeria,2019-08,0.081
Nigeria,2019-09,0.153
Nigeria,2019-10,-0.171
Nigeria,2019-11,-0.022
Nigeria,2019-12,0.035
Nigeria,2020-01,0.001
Nigeria,2020-02,0.073
Nigeria,2020-03,-0.192
Nigeria,2020-04,0.102
Nigeria,2020-05,-0.137
Nigeria,2020-06,0.04
Nigeria,2020-07,0.168
Nigeria,2020-08,0.237
Nigeria,2020-09,0.034
Nigeria,2020-10,-0.023
Nigeria,2020-11,-0.073
Nigeria,2020-12,0.081
Nigeria,2021-01,0.247
Nigeria,2021-02,0.107
Nigeria,2021-03,0.006
Nigeria,2021-04,0.109
