country,month,google_trend_mobile_money_fraud
Kenya,2018-01,36.0
Kenya,2018-02,42.0
Kenya,2018-03,38.0
Kenya,2018-04,27.0
Kenya,2018-05,55.0
Kenya,2018-06,46.0
Kenya,2018-07,31.0
Kenya,2018-08,33.0
Kenya,2018-09,30.0
Kenya,2018-10,28.0
Kenya,2018-11,37.0
Kenya,2018-12,22.0
Kenya,2019-01,26.0
Kenya,2019-02,30.0
Kenya,2019-03,38.0
Kenya,2019-04,28.0
Kenya,2019-05,31.0
Kenya,2019-06,39.0
Kenya,2019-07,43.0
Kenya,2019-08,40.0
Kenya,2019-09,42.0
Kenya,2019-10,50.0
Kenya,2019-11,59.0
Kenya,2019-12,51.0
Kenya,2020-01,50.0
Kenya,2020-02,57.0
Kenya,2020-03,41.0
Kenya,2020-04,43.0
Kenya,2020-05,46.0
Kenya,2020-06,56.0
Kenya,2020-07,47.0
Kenya,2020-08,54.0
Kenya,2020-09,62.0
Kenya,2020-10,71.0
Kenya,2020-11,58.0
Kenya,2020-12,68.0
Kenya,2021-01,65.0
Kenya,2021-02,69.0
Kenya,2021-03,90.0
Kenya,2021-04,67.0
Kenya,2021-05,69.0
Kenya,2021-06,76.0
Kenya,2021-07,59.0
Kenya,2021-08,61.0
Kenya,2021-09,67.0
Kenya,2021-10,66.0
Kenya,2021-11,38.0
Kenya,2021-12,63.0
Kenya,2022-01,68.0
Kenya,2022-02,58.0
Kenya,2022-03,60.0
Kenya,2022-04,55.0
Kenya,2022-05,49.0
Kenya,2022-06,73.0
Kenya,2022-07,63.0
Kenya,2022-08,61.0
Kenya,2022-09,50.0
Kenya,2022-10,73.0
Kenya,2022-11,53.0
Kenya,2022-12,58.0
Kenya,2023-01,61.0
Kenya,2023-02,75.0
Kenya,2023-03,76.0
Kenya,2023-04,65.0
Kenya,2023-05,63.0
Kenya,2023-06,52.0
Kenya,2023-07,80.0
Kenya,2023-08,64.0
Kenya,2023-09,72.0
Kenya,2023-10,75.0
Kenya,2023-11,63.0
Kenya,2023-12,51.0
Kenya,2024-01,44.0
Kenya,2024-02,79.0
Kenya,2024-03,75.0
Kenya,2024-04,76.0
Kenya,2024-05,83.0
Kenya,2024-06,49.0
