experiment_id,timestamp,temperature_c,system_pressure_kpa,gas_density_kg_m3,liquid_density_kg_m3,gas_viscosity_pa_s,liquid_viscosity_pa_s,surface_tension_n_m,gas_compressibility_factor,liquid_bulk_modulus_pa
EXP001,2024-01-15T09:00:00,20.2,101.325,1.204,998.2,1.81e-05,1.002e-03,0.0728,0.9996,2.15e+09
EXP002,2024-01-15T09:15:00,20.4,101.289,1.203,998.1,1.81e-05,1.001e-03,0.0727,0.9996,2.15e+09
EXP003,2024-01-15T09:30:00,20.7,101.267,1.202,997.9,1.82e-05,1.000e-03,0.0726,0.9996,2.15e+09
EXP004,2024-01-15T09:45:00,20.9,101.245,1.201,997.8,1.82e-05,9.99e-04,0.0725,0.9996,2.15e+09
EXP005,2024-01-15T10:00:00,21.1,101.223,1.200,997.6,1.83e-05,9.98e-04,0.0724,0.9996,2.15e+09
EXP006,2024-01-15T10:15:00,21.3,101.201,1.199,997.5,1.83e-05,9.97e-04,0.0723,0.9996,2.15e+09
EXP007,2024-01-15T10:30:00,21.0,101.312,1.200,997.7,1.82e-05,9.98e-04,0.0724,0.9996,2.15e+09
EXP008,2024-01-15T10:45:00,21.5,101.178,1.198,997.3,1.84e-05,9.96e-04,0.0722,0.9996,2.15e+09
EXP009,2024-01-15T11:00:00,21.8,101.156,1.197,997.1,1.84e-05,9.95e-04,0.0721,0.9996,2.15e+09
EXP010,2024-01-15T11:15:00,21.6,101.189,1.198,997.2,1.84e-05,9.96e-04,0.0722,0.9996,2.15e+09
EXP011,2024-01-15T14:00:00,22.1,101.298,1.195,996.8,1.85e-05,9.93e-04,0.0719,0.9996,2.15e+09
EXP012,2024-01-15T14:15:00,22.3,101.276,1.194,996.6,1.86e-05,9.92e-04,0.0718,0.9996,2.15e+09
EXP013,2024-01-15T14:30:00,22.5,101.254,1.193,996.5,1.86e-05,9.91e-04,0.0717,0.9996,2.15e+09
EXP014,2024-01-15T14:45:00,22.7,101.232,1.192,996.3,1.87e-05,9.90e-04,0.0716,0.9996,2.15e+09
EXP015,2024-01-15T15:00:00,22.9,101.210,1.191,996.1,1.87e-05,9.89e-04,0.0715,0.9996,2.15e+09
EXP016,2024-01-16T09:00:00,19.8,101.356,1.206,998.5,1.80e-05,1.004e-03,0.0730,0.9996,2.16e+09
EXP017,2024-01-16T09:15:00,20.0,101.334,1.205,998.4,1.81e-05,1.003e-03,0.0729,0.9996,2.16e+09
EXP018,2024-01-16T09:30:00,20.3,101.312,1.204,998.2,1.81e-05,1.002e-03,0.0728,0.9996,2.15e+09
EXP019,2024-01-16T09:45:00,20.5,101.290,1.203,998.0,1.82e-05,1.001e-03,0.0727,0.9996,2.15e+09
EXP020,2024-01-16T10:00:00,20.8,101.268,1.202,997.8,1.82e-05,1.000e-03,0.0726,0.9996,2.15e+09
EXP021,2024-01-16T10:15:00,21.0,101.246,1.201,997.7,1.83e-05,9.99e-04,0.0725,0.9996,2.15e+09
EXP022,2024-01-16T10:30:00,19.6,101.378,1.207,998.7,1.80e-05,1.005e-03,0.0731,0.9996,2.16e+09
EXP023,2024-01-16T10:45:00,21.2,101.224,1.200,997.6,1.83e-05,9.98e-04,0.0724,0.9996,2.15e+09
EXP024,2024-01-16T11:00:00,20.9,101.245,1.201,997.8,1.82e-05,9.99e-04,0.0725,0.9996,2.15e+09
EXP025,2024-01-16T11:15:00,20.6,101.279,1.203,998.0,1.82e-05,1.001e-03,0.0727,0.9996,2.15e+09
EXP026,2024-01-17T09:00:00,19.9,101.345,1.205,998.4,1.81e-05,1.003e-03,0.0729,0.9996,2.16e+09
EXP027,2024-01-17T09:15:00,20.1,101.323,1.204,998.3,1.81e-05,1.002e-03,0.0728,0.9996,2.15e+09
EXP028,2024-01-17T09:30:00,20.4,101.301,1.203,998.1,1.82e-05,1.001e-03,0.0727,0.9996,2.15e+09
EXP029,2024-01-17T09:45:00,20.6,101.279,1.202,997.9,1.82e-05,1.000e-03,0.0726,0.9996,2.15e+09
EXP030,2024-01-17T10:00:00,20.8,101.257,1.201,997.8,1.83e-05,9.99e-04,0.0725,0.9996,2.15e+09
EXP031,2024-01-17T10:15:00,19.7,101.367,1.206,998.6,1.80e-05,1.004e-03,0.0730,0.9996,2.16e+09
EXP032,2024-01-17T10:30:00,21.0,101.235,1.201,997.7,1.83e-05,9.99e-04,0.0725,0.9996,2.15e+09
EXP033,2024-01-17T10:45:00,21.4,101.213,1.199,997.4,1.84e-05,9.97e-04,0.0723,0.9996,2.15e+09
EXP034,2024-01-17T11:00:00,21.7,101.191,1.198,997.2,1.84e-05,9.96e-04,0.0722,0.9996,2.15e+09
EXP035,2024-01-17T11:15:00,21.2,101.224,1.200,997.6,1.83e-05,9.98e-04,0.0724,0.9996,2.15e+09
EXP036,2024-01-18T09:00:00,19.5,101.389,1.208,998.8,1.79e-05,1.006e-03,0.0732,0.9996,2.16e+09
EXP037,2024-01-18T09:15:00,21.3,101.202,1.199,997.5,1.84e-05,9.97e-04,0.0723,0.9996,2.15e+09
EXP038,2024-01-18T09:30:00,21.9,101.147,1.196,997.0,1.85e-05,9.94e-04,0.0720,0.9996,2.15e+09
EXP039,2024-01-18T09:45:00,22.2,101.125,1.195,996.7,1.86e-05,9.93e-04,0.0719,0.9996,2.15e+09
EXP040,2024-01-18T10:00:00,20.7,101.267,1.202,997.9,1.82e-05,1.000e-03,0.0726,0.9996,2.15e+09
