sample_id,test_type,CSR,CRR,safety_factor,N1_60,initial_void_ratio,relative_density_%,fines_content_%,cyclic_stress_ratio,number_of_cycles,pore_pressure_ratio,excess_pore_pressure_kPa,liquefaction_potential,peak_ground_acceleration_g,earthquake_magnitude,depth_to_water_table_m,initial_effective_stress_kPa,final_effective_stress_kPa
S001,Cyclic_Triaxial,0.245,0.282,1.15,18,0.62,65.2,14.7,0.245,15,0.72,85.3,Moderate,0.32,6.8,2.0,125.5,35.8
S002,Cyclic_Simple_Shear,0.198,0.325,1.64,22,0.54,72.8,11.3,0.198,25,0.58,72.4,Low,0.28,7.2,2.5,148.2,61.9
S003,Cyclic_Triaxial,0.287,0.256,0.89,15,0.68,58.3,17.6,0.287,12,0.85,98.7,High,0.38,6.5,1.8,110.3,16.5
S004,Resonant_Column,0.175,0.358,2.05,26,0.48,78.5,9.9,0.175,32,0.45,58.2,Very_Low,0.22,7.5,3.0,165.8,91.2
S005,Cyclic_Triaxial,0.332,0.228,0.69,12,0.74,52.7,23.2,0.332,8,0.92,112.5,Very_High,0.45,6.2,1.5,95.8,7.6
S006,Cyclic_Simple_Shear,0.218,0.298,1.37,19,0.58,68.4,16.8,0.218,18,0.65,78.9,Moderate,0.30,6.9,2.2,132.7,46.4
S007,Cyclic_Triaxial,0.262,0.268,1.02,16,0.65,61.2,20.5,0.262,14,0.78,92.3,High,0.35,6.6,1.9,118.5,26.0
S008,Resonant_Column,0.195,0.338,1.73,24,0.52,74.3,13.1,0.195,28,0.52,65.8,Low,0.25,7.3,2.7,155.3,74.6
S009,Cyclic_Simple_Shear,0.158,0.385,2.44,28,0.44,82.7,8.7,0.158,38,0.38,48.5,Very_Low,0.20,7.8,3.5,178.9,110.5
S010,Cyclic_Triaxial,0.188,0.352,1.87,25,0.50,76.5,12.4,0.188,30,0.48,60.2,Low,0.24,7.4,2.8,162.3,84.9
S011,Cyclic_Simple_Shear,0.208,0.312,1.50,20,0.56,69.8,15.3,0.208,20,0.62,75.8,Moderate,0.28,7.0,2.3,138.9,52.5
S012,Resonant_Column,0.182,0.365,2.01,26,0.49,77.2,10.8,0.182,33,0.46,57.3,Low,0.23,7.5,2.9,168.7,95.1
S013,Cyclic_Triaxial,0.352,0.215,0.61,11,0.78,49.8,22.6,0.352,7,0.95,118.7,Very_High,0.48,6.0,1.4,88.5,4.4
S014,Cyclic_Simple_Shear,0.238,0.285,1.20,18,0.63,64.3,18.2,0.238,16,0.70,83.5,Moderate,0.32,6.8,2.1,122.8,36.8
S015,Cyclic_Triaxial,0.385,0.198,0.51,9,0.85,45.2,26.8,0.385,5,0.98,125.3,Very_High,0.52,5.8,1.2,78.9,1.6
S016,Cyclic_Simple_Shear,0.275,0.262,0.95,16,0.69,57.6,21.1,0.275,13,0.82,95.8,High,0.36,6.5,1.7,108.2,19.0
S017,Cyclic_Triaxial,0.255,0.272,1.07,17,0.64,62.8,19.5,0.255,15,0.75,88.5,Moderate,0.34,6.7,2.0,125.3,31.3
S018,Resonant_Column,0.202,0.328,1.62,23,0.53,71.5,14.2,0.202,26,0.55,68.9,Low,0.26,7.2,2.6,151.8,68.3
S019,Cyclic_Simple_Shear,0.185,0.355,1.92,25,0.51,75.8,11.9,0.185,31,0.47,59.2,Low,0.24,7.4,2.8,160.5,84.8
S020,Cyclic_Triaxial,0.225,0.295,1.31,19,0.59,67.2,17.1,0.225,17,0.67,80.5,Moderate,0.30,6.9,2.2,135.7,45.8
