sample_id,location,depth_m,sand_content_%,silt_content_%,clay_content_%,d10_mm,d30_mm,d50_mm,d60_mm,cu_coefficient,cc_coefficient,relative_density_%,void_ratio,specific_gravity,moisture_content_%,bulk_density_kg/m3,dry_density_kg/m3
S001,Heihe_Basin_Site1,2.5,85.3,12.1,2.6,0.08,0.18,0.32,0.42,5.25,0.97,65.2,0.62,2.65,8.5,1920,1770
S002,Heihe_Basin_Site1,5.0,88.7,9.8,1.5,0.12,0.25,0.38,0.48,4.00,1.09,72.8,0.54,2.66,7.2,1980,1847
S003,Heihe_Basin_Site2,3.0,82.4,14.2,3.4,0.06,0.15,0.28,0.38,6.33,0.99,58.3,0.68,2.64,9.8,1870,1703
S004,Heihe_Basin_Site2,6.5,90.1,8.2,1.7,0.15,0.30,0.45,0.55,3.67,1.11,78.5,0.48,2.67,6.5,2020,1897
S005,Tokyo_Bay_Area,4.0,76.8,18.5,4.7,0.05,0.12,0.22,0.32,6.40,0.88,52.7,0.74,2.63,12.3,1820,1621
S006,Tokyo_Bay_Area,8.0,83.2,13.6,3.2,0.09,0.20,0.35,0.45,5.00,0.99,68.4,0.58,2.65,10.2,1950,1770
S007,San_Francisco_Bay,3.5,79.5,16.8,3.7,0.07,0.16,0.27,0.36,5.14,1.01,61.2,0.65,2.64,11.5,1890,1695
S008,San_Francisco_Bay,7.0,86.9,10.5,2.6,0.11,0.24,0.40,0.50,4.55,1.06,74.3,0.52,2.66,8.8,1995,1834
S009,Netherlands_Coast,2.0,91.3,7.2,1.5,0.18,0.35,0.48,0.58,3.22,1.18,82.7,0.44,2.68,5.8,2050,1938
S010,Netherlands_Coast,4.5,87.6,10.1,2.3,0.13,0.28,0.42,0.52,4.00,1.08,76.5,0.50,2.67,7.6,2010,1868
S011,Persian_Gulf_Coast,3.2,84.7,12.8,2.5,0.10,0.22,0.36,0.46,4.60,1.02,69.8,0.56,2.65,9.2,1970,1804
S012,Persian_Gulf_Coast,6.8,89.2,8.9,1.9,0.14,0.29,0.43,0.53,3.79,1.10,77.2,0.49,2.67,6.9,2015,1885
S013,Yangtze_Delta,2.8,77.4,17.9,4.7,0.04,0.10,0.20,0.30,7.50,0.83,49.8,0.78,2.62,13.7,1790,1574
S014,Yangtze_Delta,5.5,81.8,14.7,3.5,0.08,0.17,0.30,0.40,5.00,0.96,64.3,0.63,2.64,10.8,1910,1724
S015,Mexico_City_Basin,4.2,73.2,20.5,6.3,0.03,0.08,0.16,0.25,8.33,0.77,45.2,0.85,2.61,15.2,1750,1519
S016,Bangkok_Basin,3.8,78.9,17.2,3.9,0.06,0.14,0.25,0.34,5.67,0.96,57.6,0.69,2.63,11.9,1860,1663
S017,Venice_Lagoon,2.2,80.5,15.8,3.7,0.07,0.16,0.28,0.37,5.29,1.00,62.8,0.64,2.64,10.6,1900,1718
S018,Louisiana_Coast,5.2,85.8,11.4,2.8,0.11,0.23,0.37,0.47,4.27,1.03,71.5,0.53,2.66,8.2,1990,1839
S019,Singapore_Coast,3.6,88.1,9.4,2.5,0.13,0.27,0.41,0.51,3.92,1.08,75.8,0.51,2.67,7.4,2005,1867
S020,Mumbai_Coast,4.8,82.9,13.9,3.2,0.09,0.19,0.33,0.43,4.78,1.00,67.2,0.59,2.65,9.7,1960,1787
