sample_id,friction_angle_deg,cohesion_kPa,peak_friction_angle_deg,residual_friction_angle_deg,dilatancy_angle_deg,elastic_modulus_MPa,poisson_ratio,shear_modulus_MPa,bulk_modulus_MPa,compression_index,recompression_index,hydraulic_conductivity_m/s,permeability_coefficient_m2
S001,32.5,0.5,34.2,30.8,6.5,28.5,0.28,11.1,19.8,0.042,0.008,8.5E-05,8.7E-12
S002,34.8,0.2,36.5,32.9,8.2,35.2,0.26,14.0,22.8,0.035,0.006,1.2E-04,1.2E-11
S003,30.8,0.8,32.4,29.2,5.2,24.3,0.30,9.3,17.3,0.048,0.009,6.2E-05,6.3E-12
S004,36.2,0.1,38.0,34.3,9.5,40.5,0.25,16.2,25.3,0.030,0.005,1.5E-04,1.5E-11
S005,28.5,1.2,30.0,26.8,3.8,20.5,0.32,7.8,15.2,0.055,0.011,4.5E-05,4.6E-12
S006,33.2,0.4,34.9,31.4,7.0,30.8,0.27,12.1,20.8,0.039,0.007,9.8E-05,1.0E-11
S007,31.5,0.6,33.2,29.8,5.8,26.2,0.29,10.2,18.3,0.045,0.009,7.2E-05,7.3E-12
S008,35.3,0.2,37.1,33.4,8.8,37.8,0.25,15.1,23.6,0.032,0.006,1.3E-04,1.3E-11
S009,37.5,0.0,39.4,35.6,10.5,45.2,0.24,18.3,27.7,0.026,0.004,1.8E-04,1.8E-11
S010,35.8,0.1,37.6,33.9,9.2,39.5,0.25,15.8,24.7,0.031,0.005,1.4E-04,1.4E-11
S011,33.8,0.3,35.5,32.0,7.5,32.5,0.27,12.8,21.8,0.037,0.007,1.1E-04,1.1E-11
S012,36.0,0.1,37.8,34.1,9.0,41.2,0.25,16.5,25.8,0.030,0.005,1.5E-04,1.5E-11
S013,27.8,1.5,29.2,26.0,3.2,18.8,0.33,7.1,14.3,0.060,0.012,3.8E-05,3.9E-12
S014,32.2,0.5,33.9,30.4,6.5,28.2,0.28,11.0,19.6,0.042,0.008,8.2E-05,8.4E-12
S015,26.5,2.0,27.8,24.8,2.5,16.5,0.34,6.2,12.8,0.068,0.014,3.0E-05,3.1E-12
S016,30.2,0.9,31.8,28.5,4.8,23.5,0.30,9.0,16.8,0.050,0.010,5.5E-05,5.6E-12
S017,31.8,0.6,33.5,30.1,6.0,27.0,0.29,10.5,18.8,0.044,0.008,7.5E-05,7.7E-12
S018,34.5,0.2,36.2,32.6,8.0,36.8,0.26,14.6,23.8,0.034,0.006,1.2E-04,1.2E-11
S019,35.5,0.1,37.3,33.6,9.0,38.5,0.25,15.4,24.1,0.031,0.005,1.4E-04,1.4E-11
S020,33.0,0.4,34.7,31.2,6.8,31.2,0.27,12.3,21.0,0.038,0.007,1.0E-04,1.0E-11
