sample_id,flow_regime,gas_fraction,liquid_fraction,bubble_diameter_m,mixture_density_kgm3,mixture_sound_speed_ms,total_attenuation_db_per_m_at_1khz,scattering_component_db_per_m,viscous_component_db_per_m,interface_component_db_per_m,interface_area_density_m2m3,turbulent_kinetic_energy_m2s2
MF_0000,bubble,0.23300890889855216,0.7669910911014478,0.007627849882571731,767.2765270148486,869.1558884955931,136.61026946005578,135.5741221882384,0.5,0.5361472718173751,518.7490061867375,0.03683968960891598
MF_0001,slug,0.39005769179591687,0.6099423082040831,0.014778426238202913,610.4201288765331,761.4204234280011,853.1070781389041,851.8933400723038,0.5,0.7137380666002752,3564.421340783281,0.45128299044188436
MF_0002,churn,0.7569439123886756,0.24305608761132436,0.08323673345847091,243.9833439040005,509.7364761013685,52444.804233381445,52443.75229390379,0.5,0.5519394776592018,2397.73836201089,0.5453813944845938
MF_0003,annular,0.9600408506175242,0.0399591493824758,,41.135199424482266,370.4119764763784,2.5351689485243627,1.9200817012350484,0.5,0.11508724728931435,2162.365688444489,0.08404358120568539
MF_0004,stratified,0.6130231257557895,0.38697687424421046,,387.7278275732613,608.4661357315284,2.437723570644752,1.226046251511579,0.5,0.711677319133173,2901.014804321909,0.51228500750868
MF_0005,wavy,0.4548297103308705,0.5451702896691295,,545.7274560642848,716.9868187130228,2.1535383554553618,0.909659420661741,0.5,0.7438789347936208,1126.2134405781187,0.3703866155599097
MF_0006,bubble,0.058206334166067145,0.9417936658339329,0.006994213113464515,941.8649685932863,1436.9273127171102,29.13842162082442,28.473966550337373,0.5,0.16445507048704583,3077.227757385425,0.6327632200631049
MF_0007,slug,0.3348784958839648,0.6651215041160352,0.016093805639174785,665.531730273493,799.2733518236001,868.5389389886668,867.3707343220315,0.5,0.6682046666353745,3939.0773930025634,0.6904216607859568
MF_0008,churn,0.8625539547502623,0.1374460452497377,0.04631551459991159,138.50267384430677,437.28798704132004,18503.732510893555,18502.87684700387,0.5,0.35566388968483426,2741.165882167786,0.739038928224483
MF_0009,annular,0.9850894441161857,0.014910555883814292,,16.11729045285662,353.2286413362966,2.5142435818535214,1.9701788882323714,0.5,0.04406469362114982,4948.262746100021,0.9991762370658022
MF_0010,stratified,0.8343158898388838,0.16568411016111617,,166.7061471261688,456.6592995705257,2.5833304370814734,1.6686317796777677,0.5,0.41469865740370593,3201.8575874940193,0.007963979838663305
MF_0011,wavy,0.7197262579666537,0.2802737420333463,,281.15540669935547,535.2677870348756,2.544613630613222,1.4394525159333074,0.5,0.6051611146799146,1200.6115855233365,0.058109980162933506
MF_0012,bubble,0.21218348439408946,0.7878165156059105,0.007804098344585741,788.0764403742933,883.4421297056546,130.2296102660186,129.22812530598517,0.5,0.5014849600334179,3300.5712696370706,0.3658046140324401
MF_0013,slug,0.506602474447474,0.49339752555252603,0.047072643214808634,494.0181135837242,681.4707025290329,11226.718421796422,11225.468552574428,0.5,0.7498692219935114,3650.7587202249415,0.5051795492658365
MF_0014,churn,0.7780347455853216,0.2219652544146784,0.09349152385117208,222.91834697802042,495.2681645284694,68006.42903433822,68005.41094429747,0.5,0.5180900407419166,1974.9747861256906,0.10274187177060419
MF_0015,annular,0.8619069859235836,0.1380930140764164,,139.14885013417276,437.73180765642167,2.580883972466288,1.7238139718471672,0.5,0.3570700006191212,2081.8490715340695,0.2736909059906278
MF_0016,stratified,0.6173834431500302,0.38261655684996976,,383.37285156782855,605.4749579990793,2.4434302681227913,1.2347668863000605,0.5,0.7086633818227308,1531.2407969789258,0.10407640579700021
MF_0017,wavy,0.4128411081636304,0.5871588918363696,,587.66462219387,745.7909997997497,2.052892199048829,0.8256822163272608,0.5,0.7272099827215681,4591.598856281465,0.6299660334717595
MF_0018,bubble,0.1011495267012846,0.8988504732987154,0.00430226121250396,898.9743814689244,959.6114246829187,19.494977528184933,18.72222262833676,0.5,0.27275489984817214,2471.9820253310354,0.6734569035291423
MF_0019,slug,0.5493079339062621,0.4506920660937379,0.04697141560533237,451.3649683127731,652.1747573403042,12120.699917699318,12119.457211516356,0.5,0.7427061829616871,3132.486644595824,0.9108811876253365
MF_0020,churn,0.6016290477493695,0.39837095225063046,0.09015035247297518,399.1079478341234,616.2824732439325,48896.129433023096,48894.910418413136,0.5,0.7190146099606691,3610.0783539505614,0.17302126065797388
MF_0021,annular,0.8499772236565597,0.1500227763434403,,151.0639984424196,445.91562457160006,2.5825022760780585,1.6999544473131194,0.5,0.38254782876493915,2718.6218958277686,0.1258132171951923
MF_0022,stratified,0.7712209614672274,0.2287790385327726,,229.72378421056996,499.942420433482,2.571759493116833,1.5424419229344548,0.5,0.5293175701823782,3957.957592449909,0.3016480396664266
MF_0023,wavy,0.34189020298367756,0.6581097970163224,,658.5286125149775,794.4633207531971,1.8587842822297271,0.6837804059673551,0.5,0.6750038762623719,4944.348821575537,0.25147815036508053
MF_0024,bubble,0.02959200888203007,0.9704079911179699,0.0039696846344520025,970.4442413288504,1458.1019134272979,5.249374938368068,4.663225972691,0.5,0.08614896567706777,4845.326278249722,0.793134685139243
MF_0025,slug,0.4881998478860861,0.5118001521139139,0.018739868977655613,512.3981969275744,694.0949043501449,1715.722937232628,1714.4733549633977,0.5,0.7495822692302656,2122.2974317518688,0.01834824262241151
MF_0026,churn,0.8155111444324008,0.1844888555675992,0.018967984439665887,185.48785671952888,469.55935491937305,2935.033510937505,2934.082152784288,0.5,0.4513581532168701,2599.997508602793,0.5662792078097071
MF_0027,annular,0.8003210571174358,0.19967894288256416,,200.65933617753302,479.979754817439,2.5800639021904694,1.6006421142348717,0.5,0.4794217879555975,4899.594343627383,0.30283689865119773
MF_0028,stratified,0.3463345505952695,0.6536654494047305,,654.0897092292097,791.4144982916451,1.8718298901682657,0.692669101190539,0.5,0.6791607889777267,4273.3989057148565,0.1528006514472939
MF_0029,wavy,0.3149730817346931,0.6850269182653068,,685.4127602904318,812.9284659300005,1.7772412820211168,0.6299461634693863,0.5,0.6472951185517303,2478.506491168557,0.13078706881177582
MF_0030,bubble,0.2949026892426254,0.7050973107573746,0.0010936988795126426,705.4585665516968,826.696755179559,4.651364125418689,3.52755884605841,0.5,0.6238052793602787,265.47474750127355,0.83345068243257
MF_0031,slug,0.34385101762281556,0.6561489823771844,0.04602185390227749,656.5701998737724,793.1182019107486,7283.979355207404,7282.802502721496,0.5,0.6768524859077092,1562.5738968400494,0.07071286870904533
MF_0032,churn,0.6031775397124607,0.3968224602875393,0.03543105493514583,397.5613527736871,615.220207757252,7573.265537624081,7572.0474744381845,0.5,0.7180631858966509,2373.915571724537,0.002015094815143832
MF_0033,annular,0.9104103684833399,0.0895896315166601,,90.7048842180522,404.4584872204288,2.5655107252907876,1.8208207369666798,0.5,0.2446899883241075,1674.9711777869118,0.39076337583304904
MF_0034,stratified,0.456846568918864,0.543153431081136,,543.7130681280615,715.6032537216593,2.158106481995505,0.913693137837728,0.5,0.7444133441577768,2649.9355751509033,0.23089249934617567
MF_0035,wavy,0.38089325169388233,0.6191067483061177,,619.5733425394427,767.7072293379968,1.9692272509115942,0.7617865033877647,0.5,0.7074407475238295,4454.328939419744,0.39116442804752194
MF_0036,bubble,0.03230980156408762,0.9676901984359124,0.003072904791096983,967.7297779428284,1456.090746842575,3.6447294366639373,3.0509318018030065,0.5,0.09379763486093072,1556.615311522076,0.7698766630391922
MF_0037,slug,0.2133532967176095,0.7866467032823905,0.02652122698151515,786.9080610708695,882.6396384517199,1501.6782771766898,1500.6747761741979,0.5,0.5035010024920116,2044.3855019300222,0.9684320012332894
MF_0038,churn,0.6540225036889834,0.3459774963110166,0.0665083671547347,346.7786738780356,580.3405624693573,28930.96762742707,28929.788796221997,0.5,0.6788312050721313,1018.9624566127206,0.5488736321176692
MF_0039,annular,0.90546201417762,0.09453798582238004,,95.64717678974763,407.8530582741527,2.5677256935323225,1.81092402835524,0.5,0.2568016651770825,385.98018199367675,0.4569948429030345
MF_0040,stratified,0.5766936647759779,0.42330633522402206,,424.0127849633726,633.3881459636791,2.3857415749016457,1.1533873295519559,0.5,0.7323542453496897,1602.492003969311,0.27788139513396676
MF_0041,wavy,0.434578784469723,0.565421215530277,,565.9535745412524,730.87895385377,2.106317762615069,0.869157568939446,0.5,0.737160193675623,39.64594865460203,0.0028144682044843345
MF_0042,bubble,0.18103829112927233,0.8189617088707277,0.0036231752002661875,819.1834807773611,904.8077322853192,24.71040825656602,23.765617971743225,0.5,0.4447902848227956,847.7643923581702,0.6850504703067875
MF_0043,slug,0.5173427416876674,0.48265725831233264,0.0461731224596563,483.29100317090007,674.1028792022602,11030.775122681423,11029.52602499349,0.5,0.7490976879322645,4156.774515989296,0.7270024619088671
