date,value,indicator
2005,0.00660761,Broadband_per100
2006,0.00744015,Broadband_per100
2007,0.00819104,Broadband_per100
2008,0.0150855,Broadband_per100
2009,0.0159211,Broadband_per100
2010,0.0168772,Broadband_per100
2011,0.061413,Broadband_per100
2012,0.0872309,Broadband_per100
2013,0.115568,Broadband_per100
2014,0.168019,Broadband_per100
2015,0.203764,Broadband_per100
2016,0.591695,Broadband_per100
2017,1.37184,Broadband_per100
2018,1.49944,Broadband_per100
2019,1.75692,Broadband_per100
2020,1.86248,Broadband_per100
2021,1.97842,Broadband_per100
2022,2.20859,Broadband_per100
2023,2.49959,Broadband_per100
1965,0.0980982505021119,CPI
1966,0.107689331599363,CPI
1967,0.120813968886352,CPI
1968,0.139659601917924,CPI
1969,0.162585651027103,CPI
1970,0.168264580623163,CPI
1971,0.176299214347959,CPI
1972,0.189760380797459,CPI
1973,0.209489402875623,CPI
1974,0.25054596054746,CPI
1975,0.315832617829994,CPI
1976,0.337496682584914,CPI
1977,0.376660263725151,CPI
1978,0.40142567606508,CPI
1979,0.453404792459151,CPI
1980,0.590320798323243,CPI
1981,0.741738224340754,CPI
1982,0.956340409598158,CPI
1983,1.21508717776415,CPI
1984,1.65429187828086,CPI
1985,2.2048750187811,CPI
1986,2.9199645294633,CPI
1987,3.79447549676717,CPI
1988,4.97784788032566,CPI
1989,6.26461350627671,CPI
1990,8.5090222821475,CPI
1991,10.9507417196333,CPI
1992,13.3431334917154,CPI
1993,16.715912613697,CPI
1994,22.4132579678306,CPI
1995,28.5607182687734,CPI
1996,34.5519742959377,CPI
1997,40.1116132508189,CPI
1998,45.245801091593,CPI
1999,48.8158908751897,CPI
2000,51.7077252594847,CPI
2001,54.3693638718957,CPI
2002,57.2606362052459,CPI
2003,60.2974919615774,CPI
2004,63.1530614538705,CPI
2005,66.3325465984336,CPI
2006,71.1423013909823,CPI
2007,76.140413998175,CPI
2008,83.9664255610108,CPI
2009,94.1618202905322,CPI
2010,100.0,CPI
2011,112.690969469916,CPI
2012,130.722757255987,CPI
2013,141.011584221696,CPI
2014,149.657870726625,CPI
2015,158.021006257208,CPI
2016,166.198224024889,CPI
2017,175.03783564472,CPI
2018,181.154460150602,CPI
2019,187.430158933385,CPI
2020,193.597155886785,CPI
2021,200.742671235263,CPI
2022,209.475523539762,CPI
2023,217.433986576543,CPI
2024,224.080827791125,CPI
1961,1.13829635143543,GDP_growth
1962,9.09674738431541,GDP_growth
1963,6.26000305958226,GDP_growth
1964,5.51115870033439,GDP_growth
1965,4.3647206714603,GDP_growth
1966,11.6436755317812,GDP_growth
1967,5.52325857922256,GDP_growth
1968,6.28556212963629,GDP_growth
1969,3.26163984438857,GDP_growth
1970,-46.4330351414871,GDP_growth
1971,3.90146077101619,GDP_growth
1972,7.11531519183237,GDP_growth
1973,6.19196242050393,GDP_growth
1974,2.11339071824315,GDP_growth
1975,3.98942559802084,GDP_growth
1976,3.30601216563538,GDP_growth
1977,0.0495928503172962,GDP_growth
1978,2.08400760208103,GDP_growth
1979,2.50017391682478,GDP_growth
1980,2.73797995142824,GDP_growth
1981,-0.978820953022364,GDP_growth
1982,-0.367659678144776,GDP_growth
1983,-0.391629233338236,GDP_growth
1984,4.6729720643193,GDP_growth
1985,1.24490401004924,GDP_growth
1986,5.49571344557758,GDP_growth
1987,4.7965198054257,GDP_growth
1988,7.25543546092405,GDP_growth
1989,3.76444340906087,GDP_growth
1990,7.04507164205259,GDP_growth
1991,2.07198821361914,GDP_growth
1992,0.584322131924068,GDP_growth
1993,1.20580080875436,GDP_growth
1994,1.56766176421846,GDP_growth
1995,3.56991186849247,GDP_growth
1996,4.54436680394173,GDP_growth
1997,3.52527818941036,GDP_growth
1998,3.70851159859504,GDP_growth
1999,4.86386375362282,GDP_growth
2000,4.52078463603256,GDP_growth
2001,6.07080828734129,GDP_growth
2002,7.09319498355502,GDP_growth
2003,6.67278983053497,GDP_growth
2004,7.50381465859829,GDP_growth
2005,7.47631925974784,GDP_growth
2006,6.53222138847813,GDP_growth
2007,6.76853520293716,GDP_growth
2008,5.68641685905224,GDP_growth
2009,5.26910524873463,GDP_growth
2010,6.33652342666889,GDP_growth
2011,7.67215543486064,GDP_growth
2012,4.50015356010131,GDP_growth
2013,6.78158560065316,GDP_growth
