timestamp,building_id,total_consumption_kw,hvac_consumption_kw,lighting_consumption_kw,equipment_consumption_kw,other_consumption_kw
2023-01-01 00:00:00,BLD_00039,8.87,3.76,2.27,2.04,0.81
2023-01-01 01:00:00,BLD_00039,8.6,3.14,1.92,2.34,1.19
2023-01-01 02:00:00,BLD_00039,9.34,3.29,2.6,2.52,0.93
2023-01-01 03:00:00,BLD_00039,8.99,3.34,2.08,2.08,1.5
2023-01-01 04:00:00,BLD_00039,8.76,3.45,2.08,2.25,0.99
2023-01-01 05:00:00,BLD_00039,7.83,2.85,1.86,1.89,1.23
2023-01-01 06:00:00,BLD_00039,13.94,5.16,3.5,3.56,1.72
2023-01-01 07:00:00,BLD_00039,17.12,6.07,4.39,3.94,2.72
2023-01-01 08:00:00,BLD_00039,25.2,10.54,6.21,5.73,2.72
2023-01-01 09:00:00,BLD_00039,34.13,13.64,7.58,9.37,3.54
2023-01-01 10:00:00,BLD_00039,45.07,17.18,11.32,11.39,5.18
2023-01-01 11:00:00,BLD_00039,40.65,14.98,11.31,10.83,3.53
2023-01-01 12:00:00,BLD_00039,44.89,16.11,10.4,10.0,8.38
2023-01-01 13:00:00,BLD_00039,43.66,16.7,10.62,10.32,6.02
2023-01-01 14:00:00,BLD_00039,42.3,15.99,10.68,9.66,5.96
2023-01-01 15:00:00,BLD_00039,45.58,19.61,10.23,12.73,3.01
2023-01-01 16:00:00,BLD_00039,41.83,14.66,11.25,10.98,4.94
2023-01-01 17:00:00,BLD_00039,44.62,18.87,11.88,10.01,3.85
2023-01-01 18:00:00,BLD_00039,37.33,16.29,9.61,8.95,2.48
2023-01-01 19:00:00,BLD_00039,29.84,10.63,7.12,7.15,4.94
2023-01-01 20:00:00,BLD_00039,22.53,9.88,5.59,5.12,1.93
2023-01-01 21:00:00,BLD_00039,13.87,5.84,3.68,3.52,0.82
2023-01-01 22:00:00,BLD_00039,8.64,3.48,2.12,1.91,1.13
2023-01-01 23:00:00,BLD_00039,9.34,3.37,2.07,2.41,1.49
2023-01-02 00:00:00,BLD_00039,7.73,3.41,1.82,1.89,0.62
2023-01-02 01:00:00,BLD_00039,6.93,2.95,1.62,1.56,0.8
2023-01-02 02:00:00,BLD_00039,7.39,3.27,1.98,1.91,0.23
2023-01-02 03:00:00,BLD_00039,7.5,3.28,2.01,1.73,0.48
2023-01-02 04:00:00,BLD_00039,7.73,3.33,2.12,1.85,0.44
2023-01-02 05:00:00,BLD_00039,8.07,2.91,1.89,1.98,1.29
2023-01-02 06:00:00,BLD_00039,11.72,4.11,2.94,2.87,1.8
2023-01-02 07:00:00,BLD_00039,15.59,5.8,3.54,3.75,2.5
2023-01-02 08:00:00,BLD_00039,22.9,9.2,6.0,5.54,2.16
2023-01-02 09:00:00,BLD_00039,31.41,14.04,8.72,7.38,1.26
2023-01-02 10:00:00,BLD_00039,34.79,13.17,7.73,8.93,4.97
2023-01-02 11:00:00,BLD_00039,38.43,15.38,8.57,9.1,5.38
2023-01-02 12:00:00,BLD_00039,38.11,13.89,9.5,10.64,4.08
2023-01-02 13:00:00,BLD_00039,39.06,14.62,10.17,10.38,3.9
2023-01-02 14:00:00,BLD_00039,40.0,15.47,10.32,10.32,3.89
2023-01-02 15:00:00,BLD_00039,36.73,14.82,8.28,9.92,3.71
2023-01-02 16:00:00,BLD_00039,36.58,12.95,9.34,9.53,4.75
2023-01-02 17:00:00,BLD_00039,37.39,13.15,9.38,8.73,6.13
2023-01-02 18:00:00,BLD_00039,32.79,13.74,7.98,9.06,2.02
2023-01-02 19:00:00,BLD_00039,27.58,10.03,6.63,6.25,4.66
2023-01-02 20:00:00,BLD_00039,20.02,8.64,5.07,5.04,1.27
2023-01-02 21:00:00,BLD_00039,10.83,4.05,2.44,2.97,1.37
2023-01-02 22:00:00,BLD_00039,7.8,2.99,1.88,2.05,0.87
2023-01-02 23:00:00,BLD_00039,8.0,3.52,2.19,2.13,0.16
2023-01-03 00:00:00,BLD_00039,7.43,2.72,2.04,1.91,0.77
2023-01-03 01:00:00,BLD_00039,7.79,2.73,1.76,2.02,1.27
2023-01-03 02:00:00,BLD_00039,8.41,3.49,1.96,2.21,0.75
2023-01-03 03:00:00,BLD_00039,7.88,2.94,1.89,2.09,0.96
2023-01-03 04:00:00,BLD_00039,8.07,3.35,2.05,1.82,0.84
2023-01-03 05:00:00,BLD_00039,7.86,3.04,1.85,1.84,1.12
2023-01-03 06:00:00,BLD_00039,11.5,5.05,2.97,3.08,0.41
2023-01-03 07:00:00,BLD_00039,15.66,6.27,3.99,3.91,1.5
2023-01-03 08:00:00,BLD_00039,23.81,9.0,5.27,6.16,3.37
2023-01-03 09:00:00,BLD_00039,29.47,10.84,8.15,8.17,2.32
2023-01-03 10:00:00,BLD_00039,38.05,13.38,10.49,9.35,4.84
2023-01-03 11:00:00,BLD_00039,39.86,17.8,11.07,10.81,0.17
2023-01-03 12:00:00,BLD_00039,36.85,16.04,8.81,8.48,3.53
2023-01-03 13:00:00,BLD_00039,35.57,14.43,9.82,9.31,2.01
2023-01-03 14:00:00,BLD_00039,36.78,15.14,10.28,8.4,2.97
2023-01-03 15:00:00,BLD_00039,38.78,15.58,10.57,10.25,2.37
2023-01-03 16:00:00,BLD_00039,40.57,15.66,9.64,10.89,4.38
2023-01-03 17:00:00,BLD_00039,40.51,17.46,11.02,11.13,0.9
2023-01-03 18:00:00,BLD_00039,35.53,15.27,9.2,9.31,1.74
2023-01-03 19:00:00,BLD_00039,32.13,13.8,8.78,7.72,1.82
2023-01-03 20:00:00,BLD_00039,18.5,7.54,4.11,4.59,2.26
