timestamp,building_id,occupancy_count,occupancy_rate,max_occupancy
2023-01-01 00:00:00,BLD_00039,33,0.156,211
2023-01-01 01:00:00,BLD_00039,14,0.066,211
2023-01-01 02:00:00,BLD_00039,19,0.09,211
2023-01-01 03:00:00,BLD_00039,9,0.043,211
2023-01-01 04:00:00,BLD_00039,5,0.024,211
2023-01-01 05:00:00,BLD_00039,0,0.0,211
2023-01-01 06:00:00,BLD_00039,12,0.057,211
2023-01-01 07:00:00,BLD_00039,0,0.0,211
2023-01-01 08:00:00,BLD_00039,13,0.062,211
2023-01-01 09:00:00,BLD_00039,15,0.071,211
2023-01-01 10:00:00,BLD_00039,27,0.128,211
2023-01-01 11:00:00,BLD_00039,13,0.062,211
2023-01-01 12:00:00,BLD_00039,21,0.1,211
2023-01-01 13:00:00,BLD_00039,6,0.028,211
2023-01-01 14:00:00,BLD_00039,22,0.104,211
2023-01-01 15:00:00,BLD_00039,31,0.147,211
2023-01-01 16:00:00,BLD_00039,17,0.081,211
2023-01-01 17:00:00,BLD_00039,7,0.033,211
2023-01-01 18:00:00,BLD_00039,12,0.057,211
2023-01-01 19:00:00,BLD_00039,30,0.142,211
2023-01-01 20:00:00,BLD_00039,7,0.033,211
2023-01-01 21:00:00,BLD_00039,12,0.057,211
2023-01-01 22:00:00,BLD_00039,0,0.0,211
2023-01-01 23:00:00,BLD_00039,5,0.024,211
2023-01-02 00:00:00,BLD_00039,4,0.019,211
2023-01-02 01:00:00,BLD_00039,16,0.076,211
2023-01-02 02:00:00,BLD_00039,2,0.009,211
2023-01-02 03:00:00,BLD_00039,6,0.028,211
2023-01-02 04:00:00,BLD_00039,13,0.062,211
2023-01-02 05:00:00,BLD_00039,0,0.0,211
2023-01-02 06:00:00,BLD_00039,49,0.232,211
2023-01-02 07:00:00,BLD_00039,91,0.431,211
2023-01-02 08:00:00,BLD_00039,163,0.773,211
2023-01-02 09:00:00,BLD_00039,156,0.739,211
2023-01-02 10:00:00,BLD_00039,155,0.735,211
2023-01-02 11:00:00,BLD_00039,182,0.863,211
2023-01-02 12:00:00,BLD_00039,118,0.559,211
2023-01-02 13:00:00,BLD_00039,186,0.882,211
2023-01-02 14:00:00,BLD_00039,201,0.953,211
2023-01-02 15:00:00,BLD_00039,201,0.953,211
2023-01-02 16:00:00,BLD_00039,158,0.749,211
2023-01-02 17:00:00,BLD_00039,165,0.782,211
2023-01-02 18:00:00,BLD_00039,104,0.493,211
2023-01-02 19:00:00,BLD_00039,32,0.152,211
2023-01-02 20:00:00,BLD_00039,44,0.209,211
2023-01-02 21:00:00,BLD_00039,0,0.0,211
2023-01-02 22:00:00,BLD_00039,12,0.057,211
2023-01-02 23:00:00,BLD_00039,6,0.028,211
2023-01-03 00:00:00,BLD_00039,18,0.085,211
2023-01-03 01:00:00,BLD_00039,5,0.024,211
2023-01-03 02:00:00,BLD_00039,13,0.062,211
2023-01-03 03:00:00,BLD_00039,7,0.033,211
2023-01-03 04:00:00,BLD_00039,0,0.0,211
2023-01-03 05:00:00,BLD_00039,12,0.057,211
2023-01-03 06:00:00,BLD_00039,42,0.199,211
2023-01-03 07:00:00,BLD_00039,115,0.545,211
2023-01-03 08:00:00,BLD_00039,184,0.872,211
2023-01-03 09:00:00,BLD_00039,183,0.867,211
2023-01-03 10:00:00,BLD_00039,155,0.735,211
2023-01-03 11:00:00,BLD_00039,177,0.839,211
2023-01-03 12:00:00,BLD_00039,122,0.578,211
2023-01-03 13:00:00,BLD_00039,180,0.853,211
2023-01-03 14:00:00,BLD_00039,173,0.82,211
2023-01-03 15:00:00,BLD_00039,156,0.739,211
