building_id,assessment_period_years,a1_a3_embodied_carbon_kg_co2_total,a4_transport_to_site_kg_co2_total,a5_installation_kg_co2_total,b1_b7_use_stage_kg_co2_total,c1_deconstruction_kg_co2_total,c2_transport_eol_kg_co2_total,c3_waste_processing_kg_co2_total,c4_disposal_kg_co2_total,d_recycling_potential_kg_co2_total,total_embodied_carbon_kg_co2,total_operational_carbon_kg_co2,total_end_of_life_carbon_kg_co2,total_recycling_credit_kg_co2,net_lifecycle_carbon_kg_co2,carbon_per_m2_per_year_kg_co2,total_ozone_depletion_potential,total_acidification_potential,total_eutrophication_potential,total_photochemical_oxidation_potential,total_abiotic_depletion_potential,total_water_consumption,total_primary_energy_demand
BLD_00082,50,179712.27,4811.43,1924.57,4811.45,962.29,2886.86,1924.57,4811.43,-81406.85,179712.27,4811.45,10585.15,-81406.85,113702.02,0.024,362355.97,489846.44,455191.1,517731.87,792951.96,521444.58,506328.31
BLD_00096,50,968782.48,93347.82,37339.13,93347.8,18669.56,56008.69,37339.13,93347.82,-412713.4,968782.48,93347.8,205365.2,-412713.4,854782.08,0.009,6715470.98,15674298.6,11428195.93,3938268.62,11987804.27,10237363.87,1046225.62
BLD_00056,50,2954425.08,58855.3,23542.12,58855.25,11771.05,35313.18,23542.12,58855.3,-1260169.41,2954425.08,58855.25,129481.65,-1260169.41,1882592.57,0.032,6843674.06,5389148.03,4911236.76,2994653.88,6033806.06,9431700.41,2681821.43
BLD_00005,50,785128.05,20629.78,8251.92,20629.75,4125.95,12377.87,8251.92,20629.78,-331531.13,785128.05,20629.75,45385.52,-331531.13,519612.19,0.025,2494699.15,2670668.22,3045592.01,1347865.87,3306869.69,2154171.37,2459705.29
BLD_00046,50,238492.63,24815.32,9926.13,24815.35,4963.07,14889.18,9926.13,24815.32,-100744.96,238492.63,24815.35,54593.7,-100744.96,217156.72,0.009,858462.92,350286.94,1413631.26,3717723.52,2099123.56,1648368.15,3752595.75
BLD_00093,50,693434.57,16185.68,6474.28,16185.65,3237.13,9711.41,6474.28,16185.68,-297463.11,693434.57,16185.65,35608.5,-297463.11,447765.61,0.028,1814214.95,1662422.89,915250.22,1828651.81,1640577.78,1299312.2,1995626.1
BLD_00081,50,474366.44,12215.01,4886.0,12215.0,2443.0,7329.0,4886.0,12215.01,-197367.38,474366.44,12215.0,26873.01,-197367.38,316087.07,0.026,1405032.23,2025135.71,1626460.78,1254066.68,1004794.39,1125620.11,1170559.47
BLD_00012,50,192829.92,3269.49,1307.8,3269.5,653.9,1961.7,1307.8,3269.49,-67761.89,192829.92,3269.5,7192.89,-67761.89,135530.42,0.041,172687.83,260702.96,479988.16,330313.94,166029.03,440196.08,290228.28
BLD_00075,50,303990.87,6631.92,2652.77,6631.9,1326.38,3979.14,2652.77,6631.92,-130447.78,303990.87,6631.9,14590.21,-130447.78,194765.2,0.029,1219889.06,963865.43,329570.52,1101925.7,502282.36,915568.39,1079369.54
BLD_00014,50,1490078.6,168406.35,67362.54,168406.35,33681.27,101043.81,67362.54,168406.35,-624854.6,1490078.6,168406.35,370493.97,-624854.6,1404124.32,0.008,21677624.06,30153338.44,8918499.36,25005025.84,2892400.92,20109953.41,22982765.67
BLD_00061,50,1163598.17,27406.79,10962.72,27406.8,5481.36,16444.07,10962.72,27406.79,-489434.68,1163598.17,27406.8,60294.94,-489434.68,761865.23,0.028,1837282.89,3456964.7,1505315.16,1836746.2,3110335.9,3058821.91,4527801.48
