material_type,quantity,unit,epd_number,manufacturer,production_location,transport_distance_km,a1_a3_embodied_carbon_kg_co2,a1_raw_material_kg_co2,a2_transport_kg_co2,a3_manufacturing_kg_co2,a4_transport_to_site_kg_co2,a5_installation_kg_co2,b1_b7_use_stage_kg_co2_per_year,c1_deconstruction_kg_co2,c2_transport_eol_kg_co2,c3_waste_processing_kg_co2,c4_disposal_kg_co2,d_recycling_potential_kg_co2,density_kg_m3,recyclability_pct,expected_lifespan_years,renewable_content_pct,recycled_content_pct,certification_standard,valid_from,valid_until,ozone_depletion_potential_value,ozone_depletion_potential_unit,acidification_potential_value,acidification_potential_unit,eutrophication_potential_value,eutrophication_potential_unit,photochemical_oxidation_potential_value,photochemical_oxidation_potential_unit,abiotic_depletion_potential_value,abiotic_depletion_potential_unit,water_consumption_value,water_consumption_unit,primary_energy_demand_value,primary_energy_demand_unit,building_id,retrofit_measure
insulation_mineral_wool,47585.969999999994,kg,EPD-5923-INS,Insulation_mineral_wool Corp 66,Local,253,58023.27,17406.98,5802.33,34813.96,2379.3,951.72,47.586,475.86,1427.58,951.72,2379.3,-19494.73,100,51.7,43,15.995406342951766,33.60141993740737,EN 15804,2023-01-01,2028-01-01,110018.257,kg CFC-11 eq,24737.95,kg SO2 eq,330731.938,kg PO4 eq,237119.703,kg C2H4 eq,13970.548,kg Sb eq,323190.775,m3,132973.474,MJ,BLD_00096,roof_insulation
steel,200.0,kg,EPD-2386-STE,Steel Corp 36,Europe,1788,398.24,119.47,39.82,238.95,10.0,4.0,0.2,2.0,6.0,4.0,10.0,-180.71,7850,94.4,50,5.106465413399635,21.876162702289715,EN 15804,2023-01-01,2028-01-01,74.297,kg CFC-11 eq,1123.682,kg SO2 eq,1514.563,kg PO4 eq,256.321,kg C2H4 eq,1096.998,kg Sb eq,615.141,m3,659.453,MJ,BLD_00096,heat_pump
aluminum,50.0,kg,EPD-8351-ALU,Aluminum Corp 70,Local,1488,437.16,131.15,43.72,262.3,2.5,1.0,0.05,0.5,1.5,1.0,2.5,-208.42,2700,99.6,44,15.955247052327122,22.95959739717166,ISO 14025,2023-01-01,2028-01-01,12.667,kg CFC-11 eq,208.007,kg SO2 eq,379.038,kg PO4 eq,305.61,kg C2H4 eq,325.08,kg Sb eq,165.912,m3,33.134,MJ,BLD_00096,heat_pump
insulation_polyurethane,79309.95,kg,EPD-1806-INS,Insulation_polyurethane Corp 55,North America,1632,276026.99,82808.1,27602.7,165616.19,3965.5,1586.2,79.31,793.1,2379.3,1586.2,3965.5,-26899.32,30,11.5,38,11.873270503994855,12.550390751814872,EN 15804,2023-01-01,2028-01-01,759823.059,kg CFC-11 eq,329301.647,kg SO2 eq,738763.776,kg PO4 eq,193265.161,kg C2H4 eq,195570.458,kg Sb eq,587954.27,m3,660486.914,MJ,BLD_00096,wall_insulation
aluminum,5287.33,kg,EPD-2402-ALU,Aluminum Corp 65,North America,774,51107.03,15332.11,5110.7,30664.22,264.37,105.75,5.287,52.87,158.62,105.75,264.37,-24558.75,2700,97.4,55,14.289510025973202,44.45979465714862,ISO 14025,2023-01-01,2028-01-01,29760.185,kg CFC-11 eq,36376.425,kg SO2 eq,14623.43,kg PO4 eq,17934.565,kg C2H4 eq,12357.192,kg Sb eq,3897.32,m3,51443.557,MJ,BLD_00096,wall_insulation
glass,95171.93999999999,kg,EPD-9405-GLA,Glass Corp 90,Asia,950,111496.67,33449.0,11149.67,66898.0,4758.6,1903.44,95.172,951.72,2855.16,1903.44,4758.6,-51799.33,2500,95.4,48,18.07944121453116,9.505453988381952,ISO 21930,2023-01-01,2028-01-01,843878.563,kg CFC-11 eq,359112.038,kg SO2 eq,268430.386,kg PO4 eq,255701.516,kg C2H4 eq,308732.349,kg Sb eq,173608.011,m3,792405.618,MJ,BLD_00096,window_upgrade
aluminum,25379.183999999997,kg,EPD-2019-ALU,Aluminum Corp 20,Europe,1031,242618.69,72785.61,24261.87,145571.21,1268.96,507.58,25.379,253.79,761.38,507.58,1268.96,-120169.11,2700,95.9,50,15.789655291975198,29.38571592993709,ISO 21930,2023-01-01,2028-01-01,231708.318,kg CFC-11 eq,231747.133,kg SO2 eq,192634.083,kg PO4 eq,183563.681,kg C2H4 eq,244283.344,kg Sb eq,111201.034,m3,104317.282,MJ,BLD_00096,window_upgrade
glass,51898.83000000001,kg,EPD-6919-GLA,Glass Corp 75,Asia,1572,62211.54,18663.46,6221.15,37326.92,2594.94,1037.98,51.899,518.99,1556.96,1037.98,2594.94,-28395.27,2500,99.5,38,17.405530303936764,19.15152314284444,EN 15804,2023-01-01,2028-01-01,242842.178,kg CFC-11 eq,305867.481,kg SO2 eq,244782.239,kg PO4 eq,170454.376,kg C2H4 eq,234349.95,kg Sb eq,509545.639,m3,419891.422,MJ,BLD_00005,solar_panels
aluminum,34599.22,kg,EPD-6009-ALU,Aluminum Corp 43,North America,1422,280960.59,84288.18,28096.06,168576.36,1729.96,691.98,34.599,345.99,1037.98,691.98,1729.96,-133624.24,2700,95.8,59,17.668027086220633,13.891517707018968,ISO 14025,2023-01-01,2028-01-01,70367.079,kg CFC-11 eq,320307.548,kg SO2 eq,182795.28,kg PO4 eq,130462.488,kg C2H4 eq,203445.32,kg Sb eq,139670.92,m3,96473.087,MJ,BLD_00005,solar_panels
steel,17299.61,kg,EPD-7367-STE,Steel Corp 50,Local,602,28044.09,8413.23,2804.41,16826.45,864.98,345.99,17.3,173.0,518.99,345.99,864.98,-13157.26,7850,92.6,82,12.08670034858099,29.15618732230665,ISO 21930,2023-01-01,2028-01-01,150785.698,kg CFC-11 eq,89847.634,kg SO2 eq,82852.895,kg PO4 eq,73328.954,kg C2H4 eq,97715.999,kg Sb eq,13618.237,m3,165058.656,MJ,BLD_00005,solar_panels
