building_id,annual_carbon_savings_kg_co2,lifetime_carbon_savings_kg_co2,carbon_payback_period_years,measure_savings,carbon_credits_potential,monetary_value_carbon_credits_eur
BLD_00096,1100942.03,27523550.68,9.1,"{'roof_insulation': np.float64(181552.95), 'heat_pump': np.float64(672167.69), 'wall_insulation': np.float64(106151.71), 'window_upgrade': np.float64(141069.68)}",1100.942,49083.45
BLD_00005,1942509.13,48562728.17,5.6,"{'solar_panels': np.float64(574162.96), 'heat_pump': np.float64(1090373.2), 'roof_insulation': np.float64(277972.96)}",1942.509,85625.62
BLD_00046,127102.29,3177557.31,13.4,"{'roof_insulation': np.float64(37626.37), 'window_upgrade': np.float64(38017.25), 'wall_insulation': np.float64(51458.67)}",127.102,5615.77
BLD_00093,1888827.07,47220676.74,7.6,"{'window_upgrade': np.float64(75297.42), 'heat_pump': np.float64(1052442.4), 'solar_panels': np.float64(523005.41), 'roof_insulation': np.float64(238081.84)}",1888.827,59170.35
BLD_00081,1368146.67,34203666.63,7.0,"{'roof_insulation': np.float64(108519.65), 'wall_insulation': np.float64(200696.9), 'heat_pump': np.float64(604468.27), 'solar_panels': np.float64(454461.85)}",1368.147,51620.62
BLD_00014,1877737.01,46943425.37,12.5,"{'heat_pump': np.float64(1273076.27), 'solar_panels': np.float64(604660.74)}",1877.737,75664.14
BLD_00061,2012718.79,50317969.77,10.6,"{'wall_insulation': np.float64(440458.73), 'heat_pump': np.float64(1229941.09), 'roof_insulation': np.float64(342318.97)}",2012.719,99173.3
BLD_00001,2179998.68,54499967.01,11.7,"{'solar_panels': np.float64(1784024.11), 'wall_insulation': np.float64(395974.57)}",2179.999,69634.35
BLD_00024,1795327.35,44883183.72,4.5,"{'heat_pump': np.float64(1422775.33), 'window_upgrade': np.float64(372552.02)}",1795.327,45703.86
BLD_00085,1836408.3,45910207.61,12.9,"{'solar_panels': np.float64(1419589.2), 'wall_insulation': np.float64(416819.11)}",1836.408,58069.53
BLD_00028,992815.72,24820392.88,7.2,"{'roof_insulation': np.float64(234866.95), 'wall_insulation': np.float64(284424.94), 'solar_panels': np.float64(473523.82)}",992.816,33493.32
BLD_00032,974916.94,24372923.39,5.4,"{'window_upgrade': np.float64(89897.41), 'heat_pump': np.float64(566302.76), 'roof_insulation': np.float64(126262.89), 'wall_insulation': np.float64(192453.87)}",974.917,44958.27
BLD_00069,579907.91,14497697.8,5.4,"{'roof_insulation': np.float64(174469.57), 'window_upgrade': np.float64(150820.69), 'wall_insulation': np.float64(254617.65)}",579.908,18520.86
BLD_00080,925568.44,23139210.91,8.6,"{'solar_panels': np.float64(737472.35), 'window_upgrade': np.float64(188096.09)}",925.568,35808.86
BLD_00068,781644.47,19541111.8,11.4,"{'window_upgrade': np.float64(153194.19), 'heat_pump': np.float64(464840.66), 'wall_insulation': np.float64(163609.62)}",781.644,35102.79
BLD_00073,5158434.68,128960866.94,12.1,"{'heat_pump': np.float64(2873598.56), 'window_upgrade': np.float64(393731.61), 'wall_insulation': np.float64(1043190.48), 'roof_insulation': np.float64(847914.03)}",5158.435,205895.36
BLD_00070,346703.75,8667593.66,8.1,"{'heat_pump': np.float64(296406.23), 'window_upgrade': np.float64(50297.51)}",346.704,12843.16
BLD_00045,684764.62,17119115.47,12.5,"{'heat_pump': np.float64(496235.65), 'roof_insulation': np.float64(188528.97)}",684.765,27284.06
BLD_00062,1202082.0,30052049.99,8.0,"{'wall_insulation': np.float64(248898.48), 'roof_insulation': np.float64(224259.61), 'window_upgrade': np.float64(179591.26), 'solar_panels': np.float64(549332.65)}",1202.082,34575.91
BLD_00016,860116.88,21502921.92,6.1,"{'roof_insulation': np.float64(472033.32), 'window_upgrade': np.float64(388083.56)}",860.117,34552.31
BLD_00052,651912.08,16297802.07,6.4,"{'solar_panels': np.float64(306243.62), 'wall_insulation': np.float64(135718.13), 'roof_insulation': np.float64(139297.67), 'window_upgrade': np.float64(70652.65)}",651.912,25490.74
BLD_00074,2287209.2,57180229.93,13.7,"{'heat_pump': np.float64(1381678.12), 'roof_insulation': np.float64(547240.15), 'window_upgrade': np.float64(358290.92)}",2287.209,67643.72
BLD_00097,276757.66,6918941.53,13.5,"{'solar_panels': np.float64(88127.32), 'heat_pump': np.float64(142925.16), 'roof_insulation': np.float64(21588.67), 'window_upgrade': np.float64(24116.52)}",276.758,13169.13
BLD_00090,413071.03,10326775.69,14.3,"{'window_upgrade': np.float64(135122.21), 'roof_insulation': np.float64(277948.82)}",413.071,8709.14
BLD_00019,874855.55,21871388.65,13.9,"{'solar_panels': np.float64(590926.19), 'wall_insulation': np.float64(283929.35)}",874.856,43402.47
BLD_00030,979640.91,24491022.86,5.0,"{'solar_panels': np.float64(564311.8), 'window_upgrade': np.float64(91392.75), 'wall_insulation': np.float64(162937.81), 'roof_insulation': np.float64(160998.55)}",979.641,41174.32
BLD_00067,1692736.62,42318415.47,10.6,"{'roof_insulation': np.float64(157948.1), 'wall_insulation': np.float64(371115.75), 'heat_pump': np.float64(1163672.77)}",1692.737,35885.39
