material_type,quantity,unit,epd_number,manufacturer,production_location,transport_distance_km,a1_a3_embodied_carbon_kg_co2,a1_raw_material_kg_co2,a2_transport_kg_co2,a3_manufacturing_kg_co2,a4_transport_to_site_kg_co2,a5_installation_kg_co2,b1_b7_use_stage_kg_co2_per_year,c1_deconstruction_kg_co2,c2_transport_eol_kg_co2,c3_waste_processing_kg_co2,c4_disposal_kg_co2,d_recycling_potential_kg_co2,density_kg_m3,recyclability_pct,expected_lifespan_years,renewable_content_pct,recycled_content_pct,certification_standard,valid_from,valid_until,ozone_depletion_potential_value,ozone_depletion_potential_unit,acidification_potential_value,acidification_potential_unit,eutrophication_potential_value,eutrophication_potential_unit,photochemical_oxidation_potential_value,photochemical_oxidation_potential_unit,abiotic_depletion_potential_value,abiotic_depletion_potential_unit,water_consumption_value,water_consumption_unit,primary_energy_demand_value,primary_energy_demand_unit,building_id,component
steel,43444.0,kg,EPD-3794-STE,Steel Corp 4,Local,469,105360.46,31608.14,10536.05,63216.27,2172.2,868.88,43.444,434.44,1303.32,868.88,2172.2,-48084.77,7850,92.7,100,15.002243105911603,36.649291345406155,ISO 14025,2023-01-01,2028-01-01,52585.496,kg CFC-11 eq,358333.307,kg SO2 eq,140594.757,kg PO4 eq,151614.956,kg C2H4 eq,405927.343,kg Sb eq,378319.67,m3,196394.852,MJ,BLD_00082,structure
glass,32583.0,kg,EPD-4178-GLA,Glass Corp 9,Europe,1644,38281.69,11484.51,3828.17,22969.01,1629.15,651.66,32.583,325.83,977.49,651.66,1629.15,-17985.55,2500,95.3,48,3.5224685675688017,20.121176254523622,ISO 14025,2023-01-01,2028-01-01,207582.397,kg CFC-11 eq,6136.625,kg SO2 eq,177719.886,kg PO4 eq,210852.048,kg C2H4 eq,289340.531,kg Sb eq,87496.562,m3,178821.648,MJ,BLD_00082,facade
insulation_mineral_wool,10426.56,kg,EPD-5885-INS,Insulation_mineral_wool Corp 71,North America,1020,10662.97,3198.89,1066.3,6397.78,521.33,208.53,10.427,104.27,312.8,208.53,521.33,-3206.46,100,69.9,33,8.092017825472702,45.09867743908211,EN 15804,2023-01-01,2028-01-01,54122.428,kg CFC-11 eq,100926.862,kg SO2 eq,92800.278,kg PO4 eq,82599.538,kg C2H4 eq,27588.926,kg Sb eq,7145.237,m3,71295.505,MJ,BLD_00082,insulation
glass,7819.92,kg,EPD-3127-GLA,Glass Corp 37,North America,1991,6374.01,1912.2,637.4,3824.4,391.0,156.4,7.82,78.2,234.6,156.4,391.0,-2996.47,2500,97.2,47,10.537168202064716,8.523648020710905,EN 15804,2023-01-01,2028-01-01,36541.58,kg CFC-11 eq,20511.871,kg SO2 eq,29522.798,kg PO4 eq,72530.167,kg C2H4 eq,63460.688,kg Sb eq,35777.033,m3,59752.081,MJ,BLD_00082,windows
aluminum,1954.98,kg,EPD-4303-ALU,Aluminum Corp 11,North America,1205,19033.14,5709.94,1903.31,11419.88,97.75,39.1,1.955,19.55,58.65,39.1,97.75,-9133.6,2700,95.5,42,3.799704231533867,45.544942890739605,EN 15804,2023-01-01,2028-01-01,11524.068,kg CFC-11 eq,3937.772,kg SO2 eq,14553.38,kg PO4 eq,135.162,kg C2H4 eq,6634.476,kg Sb eq,12706.076,m3,64.226,MJ,BLD_00082,window_frames
timber,3172.3979999999997,m3,EPD-9595-TIM,Timber Corp 95,Asia,617,-731.46,-219.44,-73.15,-438.88,158.62,63.45,3.172,31.72,95.17,63.45,158.62,260.96,500,73.1,55,28.622839219930174,20.620957111966515,ISO 21930,2023-01-01,2028-01-01,5866.448,kg CFC-11 eq,15141.134,kg SO2 eq,17792.858,kg PO4 eq,30895.143,kg C2H4 eq,17606.272,kg Sb eq,3037.874,m3,27846.977,MJ,BLD_00096,structure
brick,1586199.0,kg,EPD-8783-BRI,Brick Corp 84,Asia,1868,464096.66,139229.0,46409.67,278457.99,79309.95,31723.98,1586.199,15861.99,47585.97,31723.98,79309.95,-201850.78,1900,86.4,144,15.618983888387126,5.163254051754534,EN 15804,2023-01-01,2028-01-01,5770254.07,kg CFC-11 eq,14245226.076,kg SO2 eq,10455624.9,kg PO4 eq,2940862.77,kg C2H4 eq,10918998.311,kg Sb eq,8485036.585,m3,542135.872,MJ,BLD_00096,facade
insulation_mineral_wool,158619.9,kg,EPD-4278-INS,Insulation_mineral_wool Corp 51,Local,179,172491.71,51747.51,17249.17,103495.03,7931.0,3172.4,158.62,1586.2,4758.6,3172.4,7931.0,-50162.13,100,63.0,37,10.073156850175337,3.633508799176516,ISO 21930,2023-01-01,2028-01-01,751161.775,kg CFC-11 eq,826574.614,kg SO2 eq,640292.143,kg PO4 eq,245131.995,kg C2H4 eq,782181.597,kg Sb eq,948305.696,m3,22795.626,MJ,BLD_00096,insulation
glass,95171.94,kg,EPD-5110-GLA,Glass Corp 68,Europe,57,82223.39,24667.02,8222.34,49334.03,4758.6,1903.44,95.172,951.72,2855.16,1903.44,4758.6,-38392.17,2500,90.3,48,1.7615235473884372,24.038604474450203,EN 15804,2023-01-01,2028-01-01,165250.864,kg CFC-11 eq,486070.348,kg SO2 eq,231597.94,kg PO4 eq,580151.849,kg C2H4 eq,210704.723,kg Sb eq,616827.765,m3,313054.179,MJ,BLD_00096,windows
aluminum,23792.985,kg,EPD-4658-ALU,Aluminum Corp 97,Europe,1641,250702.18,75210.65,25070.22,150421.31,1189.65,475.86,23.793,237.93,713.79,475.86,1189.65,-122569.28,2700,95.8,45,15.742943949705126,32.31239913217511,ISO 21930,2023-01-01,2028-01-01,22937.824,kg CFC-11 eq,101286.43,kg SO2 eq,82888.092,kg PO4 eq,141226.863,kg C2H4 eq,58313.365,kg Sb eq,184155.951,m3,140392.97,MJ,BLD_00096,window_frames
