id,iso2Code,name,incomeLevel,region
AGO,AO,Angola,LMC,SSF
BDI,BI,Burundi,LIC,SSF
BEN,BJ,Benin,LMC,SSF
BFA,BF,Burkina Faso,LIC,SSF
BWA,BW,Botswana,UMC,SSF
CAF,CF,Central African Republic,LIC,SSF
CIV,CI,Cote d'Ivoire,LMC,SSF
CMR,CM,Cameroon,LMC,SSF
COD,CD,"Congo, Dem. Rep.",LIC,SSF
COG,CG,"Congo, Rep.",LMC,SSF
COM,KM,Comoros,LMC,SSF
CPV,CV,Cabo Verde,UMC,SSF
ERI,ER,Eritrea,LIC,SSF
ETH,ET,Ethiopia,INX,SSF
GAB,GA,Gabon,UMC,SSF
GHA,GH,Ghana,LMC,SSF
GIN,GN,Guinea,LMC,SSF
GMB,GM,"Gambia, The",LIC,SSF
GNB,GW,Guinea-Bissau,LIC,SSF
GNQ,GQ,Equatorial Guinea,UMC,SSF
KEN,KE,Kenya,LMC,SSF
LBR,LR,Liberia,LIC,SSF
LSO,LS,Lesotho,LMC,SSF
MDG,MG,Madagascar,LIC,SSF
MLI,ML,Mali,LIC,SSF
MOZ,MZ,Mozambique,LIC,SSF
MRT,MR,Mauritania,LMC,SSF
MUS,MU,Mauritius,UMC,SSF
MWI,MW,Malawi,LIC,SSF
NAM,NA,Namibia,LMC,SSF
NER,NE,Niger,LIC,SSF
NGA,NG,Nigeria,LMC,SSF
RWA,RW,Rwanda,LIC,SSF
SDN,SD,Sudan,LIC,SSF
SEN,SN,Senegal,LMC,SSF
SLE,SL,Sierra Leone,LIC,SSF
SOM,SO,"Somalia, Fed. Rep.",LIC,SSF
SSD,SS,South Sudan,LIC,SSF
STP,ST,Sao Tome and Principe,LMC,SSF
SWZ,SZ,Eswatini,LMC,SSF
SYC,SC,Seychelles,HIC,SSF
TCD,TD,Chad,LIC,SSF
TGO,TG,Togo,LIC,SSF
TZA,TZ,Tanzania,LMC,SSF
UGA,UG,Uganda,LIC,SSF
ZAF,ZA,South Africa,UMC,SSF
ZMB,ZM,Zambia,LMC,SSF
ZWE,ZW,Zimbabwe,LMC,SSF
