image_id,mix_design,temperature_C,cooling_method,view_angle,resolution,file_format,filename,capture_date,lighting,scale_bar,color_chart,annotations
IMG-0001,RC-0,400,furnace,front,4096x3072,TIFF,RC-0_400C_furnace_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0002,RC-0,400,furnace,side,4096x3072,TIFF,RC-0_400C_furnace_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0003,RC-0,400,furnace,top,4096x3072,TIFF,RC-0_400C_furnace_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0004,RC-0,400,furnace,cross_section,4096x3072,TIFF,RC-0_400C_furnace_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0005,RC-0,400,water_quench,front,4096x3072,TIFF,RC-0_400C_water_quench_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0006,RC-0,400,water_quench,side,4096x3072,TIFF,RC-0_400C_water_quench_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0007,RC-0,400,water_quench,top,4096x3072,TIFF,RC-0_400C_water_quench_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0008,RC-0,400,water_quench,cross_section,4096x3072,TIFF,RC-0_400C_water_quench_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0009,RC-0,600,furnace,front,4096x3072,TIFF,RC-0_600C_furnace_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0010,RC-0,600,furnace,side,4096x3072,TIFF,RC-0_600C_furnace_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0011,RC-0,600,furnace,top,4096x3072,TIFF,RC-0_600C_furnace_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0012,RC-0,600,furnace,cross_section,4096x3072,TIFF,RC-0_600C_furnace_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0013,RC-0,600,water_quench,front,4096x3072,TIFF,RC-0_600C_water_quench_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0014,RC-0,600,water_quench,side,4096x3072,TIFF,RC-0_600C_water_quench_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0015,RC-0,600,water_quench,top,4096x3072,TIFF,RC-0_600C_water_quench_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0016,RC-0,600,water_quench,cross_section,4096x3072,TIFF,RC-0_600C_water_quench_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0017,RC-0,800,furnace,front,4096x3072,TIFF,RC-0_800C_furnace_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0018,RC-0,800,furnace,side,4096x3072,TIFF,RC-0_800C_furnace_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0019,RC-0,800,furnace,top,4096x3072,TIFF,RC-0_800C_furnace_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0020,RC-0,800,furnace,cross_section,4096x3072,TIFF,RC-0_800C_furnace_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0021,RC-0,800,water_quench,front,4096x3072,TIFF,RC-0_800C_water_quench_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0022,RC-0,800,water_quench,side,4096x3072,TIFF,RC-0_800C_water_quench_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0023,RC-0,800,water_quench,top,4096x3072,TIFF,RC-0_800C_water_quench_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0024,RC-0,800,water_quench,cross_section,4096x3072,TIFF,RC-0_800C_water_quench_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0025,RC-10,400,furnace,front,4096x3072,TIFF,RC-10_400C_furnace_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0026,RC-10,400,furnace,side,4096x3072,TIFF,RC-10_400C_furnace_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
