mix_design,rubber_content_pct,applied_stress_level,applied_stress_MPa,specimen_number,temperature_C,total_strain_microstrain,thermal_strain_component,load_strain_component,LITS_component,heating_rate_C_min
RC-0,0,0.0,0.0,1,23.0,-3.1,0.0,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,30.3,80.4,80.3,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,37.6,158.8,160.7,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,44.9,250.9,241.0,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,52.2,296.6,321.4,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,59.5,379.6,401.7,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,66.8,485.0,482.1,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,74.1,553.4,562.4,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,81.4,656.0,642.7,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,88.7,740.6,723.1,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,96.0,806.9,803.4,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,103.3,867.7,883.8,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,110.6,979.9,964.1,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,117.9,1047.4,1044.4,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,125.3,1102.5,1124.8,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,132.6,1184.1,1205.1,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,139.9,1308.2,1285.5,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,147.2,1386.1,1365.8,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,154.5,1408.4,1446.2,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,161.8,1506.1,1526.5,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,169.1,1623.9,1606.8,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,176.4,1686.9,1687.2,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,183.7,1778.0,1767.5,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,191.0,1846.9,1847.9,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,198.3,1938.0,1928.2,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,205.6,2008.6,2008.5,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,212.9,2082.3,2088.9,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,220.2,2185.1,2169.2,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,227.5,2252.6,2249.6,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,234.8,2339.7,2329.9,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,242.1,2412.6,2410.3,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,249.4,2483.3,2490.6,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,256.7,2595.1,2570.9,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,264.0,2656.6,2651.3,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,271.3,2726.3,2731.6,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,278.6,2831.1,2812.0,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,285.9,2872.5,2892.3,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,293.2,3006.2,2972.6,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,300.5,3050.3,3053.0,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,307.8,3114.3,3133.3,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,315.2,3242.3,3213.7,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,322.5,3287.1,3294.0,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,329.8,3378.0,3374.4,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,337.1,3465.5,3454.7,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,344.4,3552.8,3535.0,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,351.7,3619.9,3615.4,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,359.0,3686.0,3695.7,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,366.3,3779.3,3776.1,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,373.6,3850.1,3856.4,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,380.9,3940.5,3936.7,0.0,0.0,5.0
RC-0,0,0.0,0.0,1,388.2,4041.5,4017.1,0.0,0.0,5.0
