specimen_id,mix_design,rubber_content_pct,test_temperature_C,specimen_number,test_type,hot_compressive_strength_MPa,hot_modulus_GPa,hot_peak_strain_percent,hot_to_ambient_ratio,applied_load_kN,displacement_rate_mm_min,strain_rate_s,notes
INSITU-3000,RC-0,0,23,1,hot_strength,45.29,30.19,0.0018,1.0,1.02,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3001,RC-0,0,23,2,hot_strength,48.65,32.43,0.0018,1.0,1.09,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3002,RC-0,0,23,3,hot_strength,37.51,25.01,0.0018,1.0,0.84,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3003,RC-0,0,200,1,hot_strength,39.57,23.69,0.0023,0.98,0.89,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3004,RC-0,0,200,2,hot_strength,48.81,29.22,0.0023,0.98,1.1,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3005,RC-0,0,200,3,hot_strength,45.22,27.07,0.0023,0.98,1.02,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3006,RC-0,0,400,1,hot_strength,42.93,22.69,0.003,0.82,0.97,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3007,RC-0,0,400,2,hot_strength,38.33,20.26,0.003,0.82,0.86,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3008,RC-0,0,400,3,hot_strength,37.33,19.73,0.003,0.82,0.84,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3009,RC-0,0,600,1,hot_strength,28.14,14.33,0.0035,0.55,0.63,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3010,RC-0,0,600,2,hot_strength,26.75,13.62,0.0035,0.55,0.6,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3011,RC-0,0,600,3,hot_strength,24.36,12.4,0.0035,0.55,0.55,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3012,RC-0,0,800,1,hot_strength,10.27,6.84,0.003,0.25,0.23,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3013,RC-0,0,800,2,hot_strength,9.12,6.08,0.003,0.25,0.21,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3014,RC-0,0,800,3,hot_strength,10.86,7.24,0.003,0.25,0.24,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3015,RC-10,10,23,1,hot_strength,33.4,20.16,0.002,1.0,0.75,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3016,RC-10,10,23,2,hot_strength,44.57,26.91,0.002,1.0,1.0,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3017,RC-10,10,23,3,hot_strength,34.98,21.12,0.002,1.0,0.79,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3018,RC-10,10,200,1,hot_strength,34.2,18.54,0.0026,0.98,0.77,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3019,RC-10,10,200,2,hot_strength,31.76,17.22,0.0026,0.98,0.71,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3020,RC-10,10,200,3,hot_strength,35.39,19.19,0.0026,0.98,0.8,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3021,RC-10,10,400,1,hot_strength,25.85,13.71,0.003,0.74,0.58,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3022,RC-10,10,400,2,hot_strength,31.1,16.49,0.003,0.74,0.7,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3023,RC-10,10,400,3,hot_strength,27.67,14.67,0.003,0.74,0.62,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3024,RC-10,10,600,1,hot_strength,19.17,9.35,0.0037,0.52,0.43,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3025,RC-10,10,600,2,hot_strength,18.98,9.26,0.0037,0.52,0.43,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3026,RC-10,10,600,3,hot_strength,20.39,9.94,0.0037,0.52,0.46,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3027,RC-10,10,800,1,hot_strength,8.89,5.37,0.0033,0.25,0.2,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3028,RC-10,10,800,2,hot_strength,9.72,5.87,0.0033,0.25,0.22,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3029,RC-10,10,800,3,hot_strength,10.42,6.29,0.0033,0.25,0.23,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3030,RC-15,15,23,1,hot_strength,34.06,19.4,0.0021,1.0,0.77,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3031,RC-15,15,23,2,hot_strength,32.19,18.34,0.0021,1.0,0.72,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3032,RC-15,15,23,3,hot_strength,30.34,17.28,0.0021,1.0,0.68,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3033,RC-15,15,200,1,hot_strength,31.48,16.1,0.0027,0.98,0.71,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3034,RC-15,15,200,2,hot_strength,33.64,17.21,0.0027,0.98,0.76,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3035,RC-15,15,200,3,hot_strength,28.25,14.45,0.0027,0.98,0.64,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3036,RC-15,15,400,1,hot_strength,24.52,12.97,0.003,0.7,0.55,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3037,RC-15,15,400,2,hot_strength,23.38,12.36,0.003,0.7,0.53,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3038,RC-15,15,400,3,hot_strength,22.72,12.02,0.003,0.7,0.51,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3039,RC-15,15,600,1,hot_strength,15.71,7.44,0.0038,0.505,0.35,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3040,RC-15,15,600,2,hot_strength,15.96,7.56,0.0038,0.505,0.36,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3041,RC-15,15,600,3,hot_strength,17.38,8.23,0.0038,0.505,0.39,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3042,RC-15,15,800,1,hot_strength,8.13,4.63,0.0035,0.25,0.18,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3043,RC-15,15,800,2,hot_strength,7.88,4.49,0.0035,0.25,0.18,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3044,RC-15,15,800,3,hot_strength,8.52,4.85,0.0035,0.25,0.19,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3045,RC-20,20,23,1,hot_strength,29.97,15.98,0.0023,1.0,0.67,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3046,RC-20,20,23,2,hot_strength,25.92,13.83,0.0023,1.0,0.58,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3047,RC-20,20,23,3,hot_strength,30.12,16.06,0.0023,1.0,0.68,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3048,RC-20,20,200,1,hot_strength,33.87,16.22,0.0029,0.98,0.76,0.25,2.8e-05,Tested at elevated temperature in furnace
