specimen_id,mix_design,rubber_content_pct,target_temperature_C,cooling_method,specimen_number,spalling_occurred,spalling_type,spalling_area_percent,average_spalling_depth_mm,max_spalling_depth_mm,spalling_mass_loss_g,max_pore_pressure_MPa,pore_pressure_10mm_MPa,pore_pressure_25mm_MPa,pore_pressure_50mm_MPa,time_to_peak_pressure_min,visible_crack_count,max_crack_width_mm,crack_pattern,explosive_spalling,surface_integrity,notes
SPALL-4000,RC-0,0,400,furnace,1,no,none,0.0,0.0,0.0,0.0,0.5,0.465,0.328,0.247,23.2,0,0.0,none,no,good,
SPALL-4001,RC-0,0,400,furnace,2,no,none,0.0,0.0,0.0,0.0,0.5,0.5,0.319,0.181,24.9,0,0.0,none,no,good,
SPALL-4002,RC-0,0,400,furnace,3,no,none,0.0,0.0,0.0,0.0,0.5,0.453,0.397,0.222,22.1,0,0.0,none,no,good,
SPALL-4003,RC-0,0,400,water_quench,1,yes,moderate,13.4,3.9,5.1,12.6,0.5,0.479,0.331,0.183,20.1,11,1.86,network,no,fair,
SPALL-4004,RC-0,0,400,water_quench,2,yes,moderate,10.4,10.8,14.1,27.1,0.5,0.441,0.348,0.157,22.8,6,1.92,network,no,fair,
SPALL-4005,RC-0,0,400,water_quench,3,yes,localized,9.0,8.8,11.5,19.1,0.5,0.416,0.349,0.224,28.7,1,0.49,random,no,fair,
SPALL-4006,RC-0,0,600,furnace,1,no,none,0.0,0.0,0.0,0.0,1.2,1.146,0.877,0.473,30.7,0,0.0,none,no,good,
SPALL-4007,RC-0,0,600,furnace,2,yes,moderate,23.7,18.6,24.2,106.1,1.2,1.174,0.841,0.379,28.1,7,0.66,network,no,fair,
SPALL-4008,RC-0,0,600,furnace,3,no,none,0.0,0.0,0.0,0.0,1.2,1.174,0.785,0.557,30.2,0,0.0,none,no,good,
SPALL-4009,RC-0,0,600,water_quench,1,yes,moderate,18.8,21.5,27.9,96.6,1.2,1.135,0.819,0.511,32.0,13,1.42,network,no,fair,
SPALL-4010,RC-0,0,600,water_quench,2,yes,moderate,11.6,25.0,32.5,70.0,1.2,1.026,0.937,0.556,28.5,9,1.62,network,no,fair,
SPALL-4011,RC-0,0,600,water_quench,3,yes,moderate,25.1,29.8,38.8,179.5,1.2,1.145,0.771,0.48,27.3,8,0.84,network,no,fair,
SPALL-4012,RC-0,0,800,furnace,1,no,none,0.0,0.0,0.0,0.0,2.0,1.837,1.352,0.801,36.1,0,0.0,none,no,good,
SPALL-4013,RC-0,0,800,furnace,2,yes,extensive,39.5,35.1,45.7,332.8,2.0,1.671,1.525,0.817,31.3,33,4.79,extensive_network,no,poor,
SPALL-4014,RC-0,0,800,furnace,3,yes,extensive,49.4,39.1,50.8,463.1,2.0,1.95,1.233,0.966,32.9,19,3.52,extensive_network,no,poor,
SPALL-4015,RC-0,0,800,water_quench,1,yes,extensive,45.9,52.6,68.4,579.8,2.0,1.783,1.268,0.707,35.1,20,6.69,extensive_network,yes,poor,
SPALL-4016,RC-0,0,800,water_quench,2,yes,extensive,31.6,27.6,35.9,209.5,2.0,1.605,1.419,0.989,34.4,27,7.81,extensive_network,yes,poor,
SPALL-4017,RC-0,0,800,water_quench,3,yes,extensive,70.6,43.7,56.8,740.4,2.0,1.828,1.337,0.825,30.7,21,2.28,extensive_network,yes,poor,
SPALL-4018,RC-10,10,400,furnace,1,no,none,0.0,0.0,0.0,0.0,0.7,0.607,0.486,0.296,28.7,0,0.0,none,no,good,
SPALL-4019,RC-10,10,400,furnace,2,no,none,0.0,0.0,0.0,0.0,0.7,0.621,0.535,0.337,21.2,0,0.0,none,no,good,
SPALL-4020,RC-10,10,400,furnace,3,no,none,0.0,0.0,0.0,0.0,0.7,0.6,0.427,0.304,28.6,0,0.0,none,no,good,
SPALL-4021,RC-10,10,400,water_quench,1,yes,moderate,15.8,10.6,13.8,40.3,0.7,0.688,0.457,0.337,23.2,5,0.58,network,no,fair,
SPALL-4022,RC-10,10,400,water_quench,2,yes,moderate,14.0,6.7,8.7,22.5,0.7,0.596,0.447,0.304,20.0,12,1.62,network,no,fair,
SPALL-4023,RC-10,10,400,water_quench,3,yes,localized,0.9,6.7,8.7,1.5,0.7,0.622,0.545,0.228,21.2,4,0.11,random,no,fair,
