specimen_id,mix_design,rubber_content_pct,target_temperature_C,actual_temperature_C,heating_rate_C_min,soak_time_min,cooling_method,specimen_number,test_date,initial_mass_kg,mass_loss_percent,residual_density_kg_m3,residual_compressive_strength_MPa,strength_retention_percent,residual_tensile_strength_MPa,tensile_retention_percent,residual_modulus_GPa,modulus_retention_percent,residual_upv_m_s,upv_retention_percent,color_change,crack_density,spalling_severity,spalling_depth_mm,failure_mode,explosive_spalling,notes
HT-2000,RC-0,0,23,24.816136689727898,7.1812491389284805,60,furnace,1,2024-10-05,0.016,0.0,2400.0,41.36,100.0,4.14,100.0,27.57,100.0,4136.0,100.0,none,none,none,0.0,ductile,no,
HT-2001,RC-0,0,23,20.606945282359032,7.492074908586813,60,furnace,2,2024-10-05,0.016,0.0,2400.0,49.95,100.0,4.99,100.0,33.3,100.0,4995.0,100.0,none,none,none,0.0,ductile,no,
HT-2002,RC-0,0,23,27.366481518557073,6.578372653351293,60,furnace,3,2024-10-05,0.016,0.0,2400.0,41.71,100.0,4.17,100.0,27.81,100.0,4171.0,100.0,none,none,none,0.0,ductile,no,
HT-2003,RC-0,0,23,22.179460317155787,8.435161103040494,60,water_quench,1,2024-10-05,0.016,0.0,2400.0,49.18,100.0,4.92,100.0,32.79,100.0,4918.0,100.0,none,none,none,0.0,ductile,no,
HT-2004,RC-0,0,23,23.68520283749958,7.651849150516169,60,water_quench,2,2024-10-05,0.016,0.0,2400.0,38.02,100.0,3.8,100.0,25.34,100.0,3802.0,100.0,none,none,none,0.0,ductile,no,
HT-2005,RC-0,0,23,25.316477552996403,6.755379458844931,60,water_quench,3,2024-10-05,0.016,0.0,2400.0,49.38,100.0,4.94,100.0,32.92,100.0,4938.0,100.0,none,none,none,0.0,ductile,no,
HT-2006,RC-0,0,200,203.6711660720972,7.623733384287547,60,furnace,1,2024-10-05,0.016,2.5,2340.0,44.22,95.0,4.19,90.0,28.55,92.0,4329.0,93.0,none,none,none,0.0,ductile,no,
HT-2007,RC-0,0,200,197.3859685979034,7.859689559800492,60,furnace,2,2024-10-05,0.016,2.5,2340.0,38.18,95.0,3.62,90.0,24.65,92.0,3738.0,93.0,none,none,none,0.0,ductile,no,
HT-2008,RC-0,0,200,198.77728886176294,7.568654947061127,60,furnace,3,2024-10-05,0.016,2.5,2340.0,40.17,95.0,3.81,90.0,25.93,92.0,3932.0,93.0,none,none,none,0.0,ductile,no,
HT-2009,RC-0,0,200,199.9656119068308,7.279236172438407,60,water_quench,1,2024-10-05,0.016,2.5,2340.0,45.12,95.0,4.27,90.0,29.13,92.0,4417.0,93.0,none,none,none,0.0,ductile,no,
HT-2010,RC-0,0,200,195.53485296747368,8.417082993766396,60,water_quench,2,2024-10-05,0.016,2.5,2340.0,40.99,95.0,3.88,90.0,26.46,92.0,4012.0,93.0,none,none,none,0.0,ductile,no,
HT-2011,RC-0,0,200,203.4714314409559,7.2098103809254415,60,water_quench,3,2024-10-05,0.016,2.5,2340.0,41.86,95.0,3.97,90.0,27.02,92.0,4098.0,93.0,none,none,none,0.0,ductile,no,
HT-2012,RC-0,0,400,399.8252094964264,7.48605131554361,60,furnace,1,2024-10-05,0.016,5.0,2280.0,33.99,75.0,2.95,65.0,21.15,70.0,3173.0,70.0,pink,light,none,0.0,brittle,no,
HT-2013,RC-0,0,400,395.83284411195257,6.683408294516962,60,furnace,2,2024-10-05,0.016,5.0,2280.0,34.38,75.0,2.98,65.0,21.39,70.0,3209.0,70.0,pink,light,none,0.0,brittle,no,
HT-2014,RC-0,0,400,397.12727895024227,8.39238908576338,60,furnace,3,2024-10-05,0.016,5.0,2280.0,36.4,75.0,3.16,65.0,22.65,70.0,3398.0,70.0,pink,light,none,0.0,brittle,no,
HT-2015,RC-0,0,400,396.1346460201745,8.361858211374585,60,water_quench,1,2024-10-05,0.016,5.5,2268.0,31.44,60.7,2.56,49.4,19.56,56.7,2753.0,53.2,pink,moderate,light,6.7,brittle,no,
HT-2016,RC-0,0,400,401.8803001017504,8.173927748474748,60,water_quench,2,2024-10-05,0.016,5.5,2268.0,30.81,60.7,2.51,49.4,19.17,56.7,2698.0,53.2,pink,moderate,light,7.8,brittle,no,
HT-2017,RC-0,0,400,403.3848076376398,7.352182950093882,60,water_quench,3,2024-10-05,0.016,5.5,2268.0,28.11,60.7,2.29,49.4,17.49,56.7,2462.0,53.2,pink,moderate,light,7.2,brittle,no,
HT-2018,RC-0,0,600,596.4660482169203,7.526652337384785,60,furnace,1,2024-10-05,0.016,8.5,2196.0,19.53,45.0,1.52,35.0,14.47,50.0,1953.0,45.0,gray,moderate,moderate,18.7,brittle,no,
HT-2019,RC-0,0,600,600.8130541722678,8.226277043978008,60,furnace,2,2024-10-05,0.016,8.5,2196.0,18.33,45.0,1.43,35.0,13.58,50.0,1833.0,45.0,gray,moderate,moderate,10.8,brittle,no,
HT-2020,RC-0,0,600,600.9188873882129,7.200436493400627,60,furnace,3,2024-10-05,0.016,8.5,2196.0,19.8,45.0,1.54,35.0,14.67,50.0,1980.0,45.0,gray,moderate,moderate,18.9,brittle,no,
HT-2021,RC-0,0,600,599.8166698796412,7.2559751802445085,60,water_quench,1,2024-10-05,0.016,9.0,2184.0,16.51,35.6,1.2,25.9,12.23,39.5,1547.0,33.3,gray,severe,moderate,16.5,brittle,yes,
HT-2022,RC-0,0,600,599.3445184448827,7.007364347746277,60,water_quench,2,2024-10-05,0.016,9.0,2184.0,14.86,35.6,1.08,25.9,11.0,39.5,1392.0,33.3,gray,severe,moderate,12.0,brittle,yes,
HT-2023,RC-0,0,600,600.7147302520501,7.981947721821337,60,water_quench,3,2024-10-05,0.016,9.0,2184.0,16.93,35.6,1.23,25.9,12.54,39.5,1586.0,33.3,gray,severe,moderate,12.9,brittle,yes,
HT-2024,RC-0,0,800,801.8103942709691,6.975012942584939,60,furnace,1,2024-10-05,0.016,12.0,2112.0,9.41,20.0,0.71,15.0,9.41,30.0,1176.0,25.0,white,severe,severe,38.6,brittle,no,
