mix_design,rubber_content_pct,temperature_C,test_type,specimen_id,data_point,strain_percent,stress_MPa,secant_modulus_GPa
RC-0,0,23,ambient,RC-0-23C,1,0.0,-0.384,30.0
RC-0,0,23,ambient,RC-0-23C,2,2e-05,1.377,59.73
RC-0,0,23,ambient,RC-0-23C,3,5e-05,2.529,54.88
RC-0,0,23,ambient,RC-0-23C,4,7e-05,3.127,45.23
RC-0,0,23,ambient,RC-0-23C,5,9e-05,4.576,49.64
RC-0,0,23,ambient,RC-0-23C,6,0.00012,5.699,49.45
RC-0,0,23,ambient,RC-0-23C,7,0.00014,6.705,48.49
RC-0,0,23,ambient,RC-0-23C,8,0.00016,7.385,45.77
RC-0,0,23,ambient,RC-0-23C,9,0.00018,8.818,47.83
RC-0,0,23,ambient,RC-0-23C,10,0.00021,10.233,49.34
RC-0,0,23,ambient,RC-0-23C,11,0.00023,10.045,43.59
RC-0,0,23,ambient,RC-0-23C,12,0.00025,11.2,44.18
RC-0,0,23,ambient,RC-0-23C,13,0.00028,12.557,45.41
RC-0,0,23,ambient,RC-0-23C,14,0.0003,13.023,43.47
RC-0,0,23,ambient,RC-0-23C,15,0.00032,13.626,42.23
RC-0,0,23,ambient,RC-0-23C,16,0.00035,15.854,45.86
RC-0,0,23,ambient,RC-0-23C,17,0.00037,15.269,41.41
RC-0,0,23,ambient,RC-0-23C,18,0.00039,16.988,43.36
RC-0,0,23,ambient,RC-0-23C,19,0.00041,18.392,44.34
RC-0,0,23,ambient,RC-0-23C,20,0.00044,19.039,43.48
RC-0,0,23,ambient,RC-0-23C,21,0.00046,19.598,42.52
RC-0,0,23,ambient,RC-0-23C,22,0.00048,20.118,41.57
RC-0,0,23,ambient,RC-0-23C,23,0.00051,21.592,42.59
RC-0,0,23,ambient,RC-0-23C,24,0.00053,21.803,41.13
RC-0,0,23,ambient,RC-0-23C,25,0.00055,23.165,41.88
RC-0,0,23,ambient,RC-0-23C,26,0.00058,23.891,41.47
RC-0,0,23,ambient,RC-0-23C,27,0.0006,24.664,41.16
RC-0,0,23,ambient,RC-0-23C,28,0.00062,25.062,40.28
RC-0,0,23,ambient,RC-0-23C,29,0.00065,27.006,41.85
RC-0,0,23,ambient,RC-0-23C,30,0.00067,26.977,40.36
RC-0,0,23,ambient,RC-0-23C,31,0.00069,27.402,39.63
RC-0,0,23,ambient,RC-0-23C,32,0.00071,28.344,39.67
RC-0,0,23,ambient,RC-0-23C,33,0.00074,28.56,38.73
RC-0,0,23,ambient,RC-0-23C,34,0.00076,29.404,38.66
RC-0,0,23,ambient,RC-0-23C,35,0.00078,31.309,39.96
RC-0,0,23,ambient,RC-0-23C,36,0.00081,30.527,37.85
RC-0,0,23,ambient,RC-0-23C,37,0.00083,31.464,37.92
RC-0,0,23,ambient,RC-0-23C,38,0.00085,31.906,37.42
RC-0,0,23,ambient,RC-0-23C,39,0.00088,32.242,36.82
RC-0,0,23,ambient,RC-0-23C,40,0.0009,33.483,37.25
RC-0,0,23,ambient,RC-0-23C,41,0.00092,33.879,36.75
RC-0,0,23,ambient,RC-0-23C,42,0.00094,34.828,36.86
RC-0,0,23,ambient,RC-0-23C,43,0.00097,35.324,36.49
RC-0,0,23,ambient,RC-0-23C,44,0.00099,35.892,36.22
RC-0,0,23,ambient,RC-0-23C,45,0.00101,35.586,35.09
RC-0,0,23,ambient,RC-0-23C,46,0.00104,36.786,35.47
RC-0,0,23,ambient,RC-0-23C,47,0.00106,37.281,35.17
RC-0,0,23,ambient,RC-0-23C,48,0.00108,36.993,34.15
RC-0,0,23,ambient,RC-0-23C,49,0.00111,37.765,34.14
RC-0,0,23,ambient,RC-0-23C,50,0.00113,37.695,33.38
RC-0,0,23,ambient,RC-0-23C,51,0.00115,39.079,33.91
RC-0,0,23,ambient,RC-0-23C,52,0.00118,39.49,33.6
RC-0,0,23,ambient,RC-0-23C,53,0.0012,40.234,33.57
RC-0,0,23,ambient,RC-0-23C,54,0.00122,39.872,32.64
RC-0,0,23,ambient,RC-0-23C,55,0.00124,40.549,32.58
RC-0,0,23,ambient,RC-0-23C,56,0.00127,41.147,32.46
RC-0,0,23,ambient,RC-0-23C,57,0.00129,40.705,31.54
RC-0,0,23,ambient,RC-0-23C,58,0.00131,40.965,31.18
RC-0,0,23,ambient,RC-0-23C,59,0.00134,41.361,30.94
RC-0,0,23,ambient,RC-0-23C,60,0.00136,41.829,30.76
RC-0,0,23,ambient,RC-0-23C,61,0.00138,41.88,30.29
RC-0,0,23,ambient,RC-0-23C,62,0.00141,42.237,30.04
RC-0,0,23,ambient,RC-0-23C,63,0.00143,43.196,30.23
RC-0,0,23,ambient,RC-0-23C,64,0.00145,43.0,29.62
RC-0,0,23,ambient,RC-0-23C,65,0.00147,43.41,29.43
RC-0,0,23,ambient,RC-0-23C,66,0.0015,43.238,28.86
RC-0,0,23,ambient,RC-0-23C,67,0.00152,43.409,28.54
RC-0,0,23,ambient,RC-0-23C,68,0.00154,44.001,28.5
RC-0,0,23,ambient,RC-0-23C,69,0.00157,44.101,28.14
RC-0,0,23,ambient,RC-0-23C,70,0.00159,44.552,28.02
RC-0,0,23,ambient,RC-0-23C,71,0.00161,44.931,27.85
RC-0,0,23,ambient,RC-0-23C,72,0.00164,44.164,26.99
RC-0,0,23,ambient,RC-0-23C,73,0.00166,44.977,27.11
RC-0,0,23,ambient,RC-0-23C,74,0.00168,44.205,26.27
RC-0,0,23,ambient,RC-0-23C,75,0.00171,45.71,26.8
RC-0,0,23,ambient,RC-0-23C,76,0.00173,44.496,25.74
RC-0,0,23,ambient,RC-0-23C,77,0.00175,45.219,25.82
RC-0,0,23,ambient,RC-0-23C,78,0.00177,44.463,25.06
RC-0,0,23,ambient,RC-0-23C,79,0.0018,44.913,24.98
RC-0,0,23,ambient,RC-0-23C,80,0.00182,45.693,25.1
RC-0,0,23,ambient,RC-0-23C,81,0.00184,44.4,24.08
RC-0,0,23,ambient,RC-0-23C,82,0.00187,45.185,24.2
RC-0,0,23,ambient,RC-0-23C,83,0.00189,43.623,23.08
RC-0,0,23,ambient,RC-0-23C,84,0.00191,43.505,22.74
RC-0,0,23,ambient,RC-0-23C,85,0.00194,42.694,22.05
RC-0,0,23,ambient,RC-0-23C,86,0.00196,42.172,21.53
RC-0,0,23,ambient,RC-0-23C,87,0.00198,40.786,20.58
RC-0,0,23,ambient,RC-0-23C,88,0.00201,40.683,20.29
RC-0,0,23,ambient,RC-0-23C,89,0.00203,40.909,20.17
RC-0,0,23,ambient,RC-0-23C,90,0.00205,39.697,19.35
RC-0,0,23,ambient,RC-0-23C,91,0.00207,39.403,19.0
RC-0,0,23,ambient,RC-0-23C,92,0.0021,38.139,18.19
RC-0,0,23,ambient,RC-0-23C,93,0.00212,38.095,17.97
