material_id,material_name,material_category,functional_unit,unit,density_kg_per_unit,A1_raw_material_supply_kg_co2e,A2_transport_to_factory_kg_co2e,A3_manufacturing_kg_co2e,A1_A3_total_kg_co2e,A4_transport_to_site_kg_co2e,A5_installation_kg_co2e,A1_A5_total_kg_co2e,B1_use_kg_co2e,B2_maintenance_kg_co2e,B3_repair_kg_co2e,B4_replacement_kg_co2e,B5_refurbishment_kg_co2e,B6_operational_energy_kg_co2e_per_year,B7_operational_water_kg_co2e_per_year,C1_deconstruction_kg_co2e,C2_transport_to_disposal_kg_co2e,C3_waste_processing_kg_co2e,C4_disposal_kg_co2e,C_total_kg_co2e,D_reuse_recovery_recycling_kg_co2e,total_lifecycle_gwp_kg_co2e,biogenic_carbon_kg_co2,data_source,data_quality_score,epd_reference,notes
MAT001,Polyisocyanurate Rigid Foam Insulation,Insulation,1 m³,m³,35,280.5,12.3,145.8,438.6,8.5,15.2,462.3,0,2.5,8.5,438.6,0,0,0,5.2,2.8,125.3,18.5,151.8,-45.2,1012.5,0,Ecoinvent 3.8,0.92,EPD-PIR-2023-001,Includes blowing agents (pentane-based)
MAT002,Mineral Wool Insulation,Insulation,1 m³,m³,150,185.3,15.8,280.5,481.6,12.3,8.5,502.4,0,1.8,5.2,481.6,0,0,0,8.5,4.2,85.2,12.5,110.4,-28.5,1065.9,0,ICE Database v3.0,0.89,EPD-MW-2022-045,Stone wool product
MAT003,Extruded Polystyrene (XPS) Foam,Insulation,1 m³,m³,32,425.8,11.2,198.5,635.5,7.8,12.5,655.8,0,2.2,6.8,635.5,0,0,0,4.8,2.5,185.3,28.5,221.1,-52.3,1506.6,0,Ecoinvent 3.8,0.90,EPD-XPS-2023-012,High GWP blowing agents
MAT004,Spray Polyurethane Foam (Closed-Cell),Insulation,1 m³,m³,40,520.3,13.5,245.8,779.6,9.2,85.3,874.1,0,3.5,12.8,779.6,0,0,0,6.5,3.2,225.8,35.2,270.7,-38.5,1921.9,0,Ecoinvent 3.8,0.88,EPD-SPF-2022-089,Installation emissions significant
MAT005,Cellulose Insulation,Insulation,1 m³,m³,55,45.2,8.5,95.3,149.0,6.8,5.2,161.0,0,1.2,3.5,149.0,0,0,0,3.2,1.8,15.8,2.5,23.3,-85.3,247.0,-650.0,ICE Database v3.0,0.85,EPD-CEL-2023-034,Recycled newspaper content; high biogenic carbon
MAT006,Fiberglass Batt Insulation,Insulation,1 m³,m³,12,95.8,5.2,185.3,286.3,4.5,2.8,293.6,0,0.8,2.5,286.3,0,0,0,2.5,1.5,28.5,5.2,37.7,-42.5,579.9,0,Ecoinvent 3.8,0.91,EPD-FG-2023-067,Contains recycled glass
MAT007,Triple-Pane Window Assembly,Windows,1 m²,m²,45,125.8,8.5,385.2,519.5,12.5,28.5,560.5,0,5.2,15.8,519.5,0,0,0,18.5,8.5,95.3,15.2,137.5,-125.8,1212.3,0,EPD Hub,0.94,EPD-WIN-2023-123,Low-E coating; argon fill; PVC frame
MAT008,Double-Pane Window Assembly,Windows,1 m²,m²,38,85.3,6.8,258.5,350.6,10.2,22.5,383.3,0,3.8,12.5,350.6,0,0,0,15.2,7.2,68.5,12.3,103.2,-85.3,834.3,0,EPD Hub,0.93,EPD-WIN-2022-098,Low-E coating; PVC frame
MAT009,Window Film (Low-E),Windows,1 m²,m²,0.5,8.5,0.5,18.5,27.5,0.3,3.5,31.3,0,0.5,1.2,27.5,0,0,0,0.8,0.3,5.2,0.8,7.1,-2.5,65.4,0,Manufacturer EPD,0.87,EPD-FILM-2023-045,Polyester film with metallic coating
MAT010,Air Source Heat Pump Unit,HVAC Equipment,1 unit,unit,150,580.5,45.2,1250.8,1876.5,35.8,125.0,2037.3,0,85.3,285.5,1876.5,0,0,0,95.3,28.5,425.8,65.2,614.8,-285.3,4728.9,0,Ecoinvent 3.8,0.90,EPD-ASHP-2023-156,R-410A refrigerant included
MAT011,Ground Source Heat Pump System,HVAC Equipment,1 system,system,280,850.3,65.8,1850.5,2766.6,55.2,850.5,3672.3,0,125.8,385.2,2766.6,0,0,0,125.8,45.2,580.5,85.3,836.8,-385.2,7189.4,0,Ecoinvent 3.8,0.89,EPD-GSHP-2022-234,Includes ground loop piping
MAT012,VRF System Unit,HVAC Equipment,1 system,system,320,920.5,75.3,2150.8,3146.6,65.8,285.5,3497.9,0,145.8,425.8,3146.6,0,0,0,145.8,55.2,650.3,95.8,947.1,-425.8,7516.8,0,Manufacturer EPD,0.88,EPD-VRF-2023-189,Multi-split system
MAT013,Condensing Boiler,HVAC Equipment,1 unit,unit,180,385.2,35.8,850.5,1271.5,28.5,95.3,1395.3,0,65.2,185.3,1271.5,0,0,0,75.3,22.5,285.5,45.2,428.5,-185.3,3075.3,0,Ecoinvent 3.8,0.92,EPD-BOIL-2023-078,Cast aluminum heat exchanger
MAT014,CHP Unit (100kW),HVAC Equipment,1 unit,unit,850,1850.5,125.8,4250.8,6227.1,85.3,850.5,7162.9,0,285.5,850.5,6227.1,0,0,0,285.5,85.3,1250.8,185.3,1806.9,-850.5,14910.9,0,Ecoinvent 3.8,0.87,EPD-CHP-2022-145,Natural gas engine-based
MAT015,Energy Recovery Ventilator,HVAC Equipment,1 unit,unit,95,285.5,22.5,650.3,958.3,18.5,85.2,1062.0,0,45.2,125.8,958.3,0,0,0,45.2,15.8,185.3,28.5,274.8,-125.8,2224.8,0,Ecoinvent 3.8,0.90,EPD-ERV-2023-234,Aluminum heat exchanger
MAT016,DOAS Unit,HVAC Equipment,1 unit,unit,285,650.3,45.8,1450.5,2146.6,35.8,185.3,2367.7,0,85.3,285.5,2146.6,0,0,0,95.3,28.5,425.8,65.2,614.8,-285.5,5048.3,0,Manufacturer EPD,0.89,EPD-DOAS-2023-167,Includes ERV core
MAT017,CO2 Sensor System,Controls,1 system,system,5,12.5,1.2,45.8,59.5,0.8,28.5,88.8,0,2.5,8.5,59.5,0,0,0,3.5,1.2,15.8,2.5,23.0,-8.5,161.3,0,Ecoinvent 3.8,0.86,EPD-CO2-2023-089,NDIR sensor technology
