measure_id,measure_category,measure_name,measure_description,target_system,performance_metric,baseline_value,improved_value,unit,capex_cost_usd_per_unit,installation_cost_usd_per_unit,lifespan_years,embodied_carbon_kg_co2e_per_unit,operational_savings_percent,thermal_resistance_improvement,u_value_before,u_value_after,efficiency_before,efficiency_after,capacity_kw,carbon_intensity_reduction_percent,applicability_building_type,climate_zone_suitability,synergy_measures,prerequisite_measures
RM001,Envelope,Exterior Wall Insulation - 4in Polyiso,"Add 4 inches of polyisocyanurate rigid foam insulation to exterior walls",Envelope,R-value,10,24,R-value (ft²·°F·h/BTU),8.50,12.00,30,15.2,25,14,0.10,0.042,,,,,Commercial|Residential,1|2|3|4|5|6|7,RM002|RM003,
RM002,Envelope,Exterior Wall Insulation - 6in Polyiso,"Add 6 inches of polyisocyanurate rigid foam insulation to exterior walls",Envelope,R-value,10,36,R-value (ft²·°F·h/BTU),12.75,15.00,30,22.8,35,26,0.10,0.028,,,,,Commercial|Residential,1|2|3|4|5|6|7,RM001|RM003,
RM003,Envelope,Exterior Wall Insulation - Mineral Wool 5in,"Add 5 inches of mineral wool insulation to exterior walls",Envelope,R-value,10,25,R-value (ft²·°F·h/BTU),7.20,11.50,40,8.5,28,15,0.10,0.040,,,,,Commercial|Residential,1|2|3|4|5|6|7,RM001|RM002,
RM004,Envelope,Roof Insulation - 6in Polyiso,"Add 6 inches of polyisocyanurate insulation to roof assembly",Envelope,R-value,15,51,R-value (ft²·°F·h/BTU),9.80,18.00,30,22.8,30,36,0.067,0.020,,,,,Commercial|Residential,1|2|3|4|5|6|7,RM005,
RM005,Envelope,Roof Insulation - 8in Spray Foam,"Add 8 inches of closed-cell spray polyurethane foam to roof",Envelope,R-value,15,63,R-value (ft²·°F·h/BTU),14.50,22.00,25,45.6,38,48,0.067,0.016,,,,,Commercial|Residential,2|3|4|5|6,RM004,
RM006,Windows,Triple-Pane Window Replacement,"Replace existing windows with triple-pane low-E argon-filled windows",Envelope,U-value,0.50,0.18,BTU/(h·ft²·°F),45.00,25.00,25,125.0,18,,,0.50,0.18,,,,Commercial|Residential,1|2|3|4|5|6|7,RM007,
RM007,Windows,Double-Pane Low-E Window Replacement,"Replace existing windows with double-pane low-E windows",Envelope,U-value,0.50,0.28,BTU/(h·ft²·°F),32.00,20.00,25,85.0,12,,,0.50,0.28,,,,Commercial|Residential,3|4|5|6|7,RM006,
RM008,Windows,Window Film Application,"Apply low-E film to existing windows to reduce solar heat gain",Envelope,SHGC,0.70,0.45,dimensionless,4.50,3.50,15,1.2,8,,,,,,,5,Commercial|Residential,5|6|7|8,
RM009,HVAC,Air Source Heat Pump - High Efficiency,"Install high-efficiency air source heat pump (SEER 20/HSPF 10)",HVAC,COP/SEER,,,,SEER,4200.00,1800.00,18,850.0,45,,,,,0.75,3.5,20,40,Commercial|Residential,3|4|5|6|7,RM010|RM011,
RM010,HVAC,Ground Source Heat Pump,"Install ground source (geothermal) heat pump system",HVAC,COP/EER,,,,COP,8500.00,12000.00,25,1200.0,55,,,,,0.90,4.2,25,50,Commercial|Residential,1|2|3|4|5|6|7,RM009,
RM011,HVAC,Variable Refrigerant Flow (VRF) System,"Install VRF multi-split heat pump system",HVAC,COP/SEER,,,,SEER,5200.00,2200.00,20,980.0,48,,,,,0.78,3.8,22,45,Commercial,2|3|4|5|6,RM009,
RM012,HVAC,High-Efficiency Condensing Boiler,"Replace existing boiler with 95% efficiency condensing boiler",HVAC,Efficiency,80,95,percent,8500.00,3500.00,20,650.0,18,,,,,0.80,0.95,,,Commercial|Residential,1|2|3|4|5,RM013,
RM013,HVAC,Combined Heat and Power (CHP) Unit,"Install natural gas CHP system for simultaneous heat and power",HVAC,Overall Efficiency,,,percent,12000.00,8000.00,20,2200.0,35,,,,,0.60,0.85,100,45,Commercial,All,RM012,
RM014,HVAC,Dedicated Outdoor Air System (DOAS),"Install DOAS with energy recovery ventilator (ERV)",HVAC,Ventilation Efficiency,,,cfm/W,3200.00,2800.00,20,450.0,25,,,,,,,,,Commercial,All,RM015,
RM015,HVAC,Energy Recovery Ventilator (ERV),"Install ERV to recover heat/cooling from exhaust air",HVAC,Heat Recovery,,,percent,2800.00,1200.00,18,280.0,20,,,,,,,,,Commercial|Residential,1|2|3|4|5,RM014,
RM016,HVAC,Demand Controlled Ventilation (DCV),"Install CO2 sensors and controls for demand-based ventilation",HVAC,Energy Savings,,,percent,450.00,650.00,15,85.0,15,,,,,,,,,Commercial,All,,
RM017,HVAC,Advanced Thermostat Controls,"Install smart thermostats with occupancy sensors and scheduling",HVAC,Energy Savings,,,percent,180.00,120.00,10,12.0,12,,,,,,,,,Commercial|Residential,All,,
RM018,Renewable Energy,Solar PV System - 10kW,"Install 10kW rooftop solar photovoltaic array",Renewable Energy,Power Generation,,,kW,15000.00,5000.00,30,8500.0,,,,,,,10,100,Commercial|Residential,All,RM019|RM020,
RM019,Renewable Energy,Solar PV System - 50kW,"Install 50kW rooftop solar photovoltaic array",Renewable Energy,Power Generation,,,kW,65000.00,18000.00,30,42500.0,,,,,,,50,100,Commercial,All,RM018|RM020,
RM020,Renewable Energy,Solar PV System - 100kW,"Install 100kW rooftop solar photovoltaic array",Renewable Energy,Power Generation,,,kW,120000.00,30000.00,30,85000.0,,,,,,,100,100,Commercial,All,RM018|RM019,
RM021,Renewable Energy,Solar PV with Battery Storage - 10kWh,"Install 10kWh lithium-ion battery storage system",Renewable Energy,Storage Capacity,,,kWh,8500.00,2500.00,15,1200.0,,,,,,,10,20,Commercial|Residential,All,RM018|RM019|RM020,
RM022,Renewable Energy,Solar Thermal Hot Water System,"Install solar thermal collectors for domestic hot water heating",Renewable Energy,Heat Generation,,,kW thermal,6500.00,3500.00,25,850.0,60,,,,,,,5,,Commercial|Residential,4|5|6|7|8,
RM023,Renewable Energy,Building-Integrated Photovoltaics (BIPV),"Install BIPV façade or roof system",Renewable Energy,Power Generation,,,kW,28000.00,12000.00,35,12500.0,,,,,,,20,100,Commercial,All,RM018,
RM024,Lighting,LED Lighting Retrofit - Complete,"Replace all lighting with high-efficiency LED fixtures",Lighting,Luminous Efficacy,75,140,lumens/watt,8.50,4.50,15,3.2,60,,,,,,,,,Commercial|Residential,All,RM025,
RM025,Lighting,Lighting Controls - Occupancy Sensors,"Install occupancy sensors and daylight harvesting controls",Lighting,Energy Savings,,,percent,12.00,8.00,12,2.5,30,,,,,,,,,Commercial|Residential,All,RM024,
RM026,Lighting,Circadian Lighting System,"Install tunable white LED system for circadian rhythm support",Lighting,Energy Savings,,,percent,18.00,12.00,15,4.8,25,,,,,,,,,Commercial,All,RM024|RM025,
RM027,Building Envelope,Air Sealing - Comprehensive,"Comprehensive air sealing of building envelope (windows, doors, penetrations)",Envelope,Air Changes per Hour,1.5,0.5,ACH,2.50,8.00,20,0.8,15,,,,,,,,,Commercial|Residential,All,RM028,
RM028,Building Envelope,Blower Door Testing & Commissioning,"Perform blower door test and envelope commissioning",Envelope,Air Leakage,,,CFM50,800.00,0.00,1,5.0,5,,,,,,,,,Commercial|Residential,All,RM027,
RM029,Roof,Cool Roof Coating,"Apply high-albedo cool roof coating (albedo >0.70)",Envelope,Solar Reflectance,0.20,0.75,dimensionless,3.50,2.50,15,2.1,8,,,,,,,,,Commercial|Residential,5|6|7|8,,
RM030,Roof,Green Roof System - Extensive,"Install extensive green roof system (4-6 inch growing medium)",Envelope,R-value,5,12,R-value (ft²·°F·h/BTU),18.00,25.00,40,45.0,12,7,0.20,0.083,,,,,10,Commercial,All,RM031,
RM031,Roof,Green Roof System - Intensive,"Install intensive green roof system (>12 inch growing medium)",Envelope,R-value,5,18,R-value (ft²·°F·h/BTU),35.00,45.00,40,85.0,18,13,0.20,0.056,,,,,15,Commercial,All,RM030,
RM032,Water Heating,Heat Pump Water Heater,"Install electric heat pump water heater (COP 3.0)",Domestic Hot Water,COP,0.90,3.0,dimensionless,1800.00,800.00,15,280.0,65,,,,,0.90,3.0,,,Commercial|Residential,3|4|5|6|7,RM033,
RM033,Water Heating,Condensing Tank Water Heater,"Install high-efficiency condensing gas water heater",Domestic Hot Water,Efficiency,60,96,percent,2200.00,600.00,15,320.0,35,,,,,0.60,0.96,,,Commercial|Residential,1|2|3|4|5,RM032,
RM034,Water Heating,Tankless Water Heater,"Install on-demand tankless water heater",Domestic Hot Water,Efficiency,60,98,percent,2800.00,1200.00,20,420.0,30,,,,,0.60,0.98,,,Commercial|Residential,All,RM032|RM033,
RM035,Plug Loads,Advanced Power Strips,"Install smart power strips to eliminate phantom loads",Plug Loads,Energy Savings,,,percent,25.00,15.00,8,3.5,8,,,,,,,,,Commercial|Residential,All,,
RM036,Plug Loads,ENERGY STAR Appliances,"Replace appliances with ENERGY STAR certified models",Plug Loads,Energy Savings,,,percent,800.00,200.00,12,125.0,25,,,,,,,,,Commercial|Residential,All,,
RM037,Building Automation,Building Management System (BMS) Upgrade,"Install or upgrade comprehensive BMS with predictive controls",Building Automation,Energy Savings,,,percent,45000.00,25000.00,15,2800.0,22,,,,,,,,,Commercial,All,RM038|RM039,
RM038,Building Automation,IoT Sensor Network,"Install comprehensive IoT sensor network for real-time monitoring",Building Automation,Data Points,,,count,8500.00,12000.00,10,450.0,8,,,,,,,,,Commercial,All,RM037|RM039,
RM039,Building Automation,AI-Based Predictive Controls,"Implement AI/ML-based predictive HVAC and lighting controls",Building Automation,Energy Savings,,,percent,25000.00,15000.00,10,180.0,18,,,,,,,,,Commercial,All,RM037|RM038,
RM040,Shading,External Shading Devices - Fixed,"Install fixed external shading (louvers, fins, overhangs)",Envelope,Solar Heat Gain Reduction,,,percent,35.00,28.00,30,85.0,12,,,,,,,,,Commercial|Residential,5|6|7|8,RM041,
RM041,Shading,External Shading Devices - Dynamic,"Install dynamic external shading (automated blinds, louvers)",Envelope,Solar Heat Gain Reduction,,,percent,68.00,45.00,20,125.0,18,,,,,,,,,Commercial,5|6|7|8,RM040,
RM042,Foundation,Foundation Insulation - 2in XPS,"Add 2 inches of extruded polystyrene insulation to foundation",Envelope,R-value,0,10,R-value (ft²·°F·h/BTU),5.50,12.00,50,12.5,8,10,0.10,0.050,,,,,8,Commercial|Residential,1|2|3|4|5,RM043,
RM043,Foundation,Foundation Insulation - 4in XPS,"Add 4 inches of extruded polystyrene insulation to foundation",Envelope,R-value,0,20,R-value (ft²·°F·h/BTU),11.00,14.00,50,25.0,15,20,0.10,0.033,,,,,12,Commercial|Residential,1|2|3|4|5,RM042,
RM044,Ventilation,Natural Ventilation Enhancement,"Install operable windows and automated natural ventilation system",Ventilation,Free Cooling Hours,,,hours/year,15.00,35.00,25,28.0,10,,,,,,,,,Commercial|Residential,3|4|5|6|7,RM045,
RM045,Ventilation,Mixed-Mode Ventilation System,"Install hybrid mechanical/natural ventilation with automated controls",Ventilation,Energy Savings,,,percent,28.00,42.00,20,65.0,20,,,,,,,,,Commercial,3|4|5|6|7,RM044,
RM046,Thermal Mass,Phase Change Material (PCM) Integration,"Integrate PCM into walls or ceilings for thermal energy storage",Envelope,Thermal Storage,,,kWh/m²,25.00,18.00,25,38.0,15,,,,,,,,,Commercial|Residential,All,,
RM047,District Systems,District Heating Connection,"Connect building to district heating network",HVAC,Energy Source,,,connection,35000.00,25000.00,30,2200.0,40,,,,,,,,,Commercial|Residential,1|2|3|4|5,,
RM048,District Systems,District Cooling Connection,"Connect building to district cooling network",HVAC,Energy Source,,,connection,42000.00,28000.00,30,2500.0,35,,,,,,,,,Commercial,All,,
RM049,Elevators,Elevator Regenerative Drives,"Install regenerative braking drives on elevators",Vertical Transport,Energy Recovery,,,percent,12000.00,8000.00,20,850.0,30,,,,,,,,,Commercial,All,RM050,
RM050,Elevators,Elevator Modernization - Energy Efficient,"Modernize elevators with energy-efficient motors and controls",Vertical Transport,Energy Savings,,,percent,45000.00,35000.00,25,2200.0,40,,,,,,,,,Commercial,All,RM049,
