temperature_C,compressive_strength_MPa,tensile_strength_MPa,elastic_modulus_GPa,poissons_ratio,peak_strain,ultimate_strain,loading_rate_MPa_s,specimen_id
20,34.63170335194179,3.6515262216034152,24.73587991571627,0.20707028058431748,0.0027250000000000004,0.008447500000000002,2.0,RC30_003
40,34.489688861204556,3.6601012303059903,23.80940573478628,0.2071627969244577,0.0027250000000000004,0.00872,2.0,RC30_003
60,33.62284974419012,3.674790999112518,23.883565299828824,0.1833448558616214,0.0027250000000000004,0.0089925,2.0,RC30_003
80,36.030506815997796,3.5041713864649475,23.88645820861165,0.19739358742803126,0.0027250000000000004,0.009265,2.0,RC30_003
100,34.32927824986966,3.5633904600046775,22.759988228055676,0.21396482932504265,0.0027250000000000004,0.0095375,2.0,RC30_003
120,31.747516334703253,3.4165407743443543,22.950959150235118,0.20900785976029523,0.0029793333333333334,0.0107256,2.0,RC30_003
140,32.85322375405856,3.567614316193953,21.686060261900423,0.22308505170750847,0.0032336666666666672,0.01196456666666667,2.0,RC30_003
160,31.457125088918275,3.196479511222581,21.37429461218202,0.22435546384920543,0.003488,0.013254400000000001,2.0,RC30_003
180,31.936634587187978,2.8451474922800353,21.886169589497914,0.23048196580358385,0.0037423333333333336,0.0145951,2.0,RC30_003
200,31.536326876985836,3.052732668161434,20.1513971026489,0.21837187479457798,0.0039966666666666675,0.01598666666666667,2.0,RC30_003
220,31.07449502660552,2.7652072822214477,20.442049936767145,0.21831744302625072,0.0042510000000000004,0.0174291,2.0,RC30_003
240,30.734092608756175,2.5373097172490824,19.96266255317108,0.24762032662948866,0.004505333333333333,0.018922400000000002,2.0,RC30_003
260,29.949814327204194,2.631859163141296,18.457301848690182,0.24032960748004714,0.004759666666666667,0.02046656666666667,2.0,RC30_003
280,29.25113654865242,2.400892198321697,18.136835447029537,0.24950101792461132,0.005014,0.022061600000000004,2.0,RC30_003
300,29.013948848064636,2.4243961447089326,17.793809889219336,0.25797535595918153,0.005268333333333334,0.023707500000000003,2.0,RC30_003
320,28.463428795375133,2.395630997582461,15.838662148064808,0.2319189232669002,0.005522666666666668,0.025404266666666668,2.0,RC30_003
340,27.654275632845437,2.4733946914199576,15.93832414810568,0.2548533566627742,0.005777,0.027151900000000003,2.0,RC30_003
360,27.9245360557553,2.1390282069410227,14.208669307577894,0.24651750017045257,0.006031333333333334,0.0289504,2.0,RC30_003
380,26.628133566692814,2.0154999869112338,14.527038525637709,0.24050385485727363,0.006285666666666667,0.03079976666666667,2.0,RC30_003
400,25.796780391281356,1.7016927453262385,13.012413388583237,0.254422156598501,0.006540000000000001,0.0327,2.0,RC30_003
420,25.03473215131362,1.962507281761828,12.836491856418707,0.27556133119504034,0.007194000000000001,0.0366894,2.0,RC30_003
