temperature_C,compressive_strength_MPa,tensile_strength_MPa,elastic_modulus_GPa,poissons_ratio,peak_strain,ultimate_strain,loading_rate_MPa_s,specimen_id
20,63.16823620078194,6.217405269706315,32.069659219149116,0.20945255101318894,0.0025,0.007750000000000001,10.0,RC00_002
40,62.74810871033118,5.979324373111542,31.01602047379323,0.19074957910175705,0.0025,0.008,10.0,RC00_002
60,63.13078131246471,5.870663828172534,32.23234532609975,0.21018865644775026,0.0025,0.00825,10.0,RC00_002
80,63.48973182064965,6.563571511818405,31.228468829694325,0.20640785114482654,0.0025,0.0085,10.0,RC00_002
100,61.10155276780172,6.236467448289635,31.16082089881757,0.19408938164263345,0.0025,0.00875,10.0,RC00_002
120,56.922669755566346,5.855403675518846,30.01829105061447,0.200758521019957,0.0027333333333333333,0.00984,10.0,RC00_002
140,59.01839069283782,5.604808348478334,29.773018095798648,0.19172637655971428,0.002966666666666667,0.010976666666666668,10.0,RC00_002
160,54.23630023382448,5.7195535174897865,28.858180550914877,0.2153007463610023,0.0032,0.01216,10.0,RC00_002
180,56.11094802460295,5.250805750996399,28.51408743567724,0.21816998128832685,0.0034333333333333334,0.013389999999999999,10.0,RC00_002
200,59.66773519389905,5.18519905013112,27.58421221184505,0.21707492716466614,0.003666666666666667,0.014666666666666668,10.0,RC00_002
220,54.29692186508354,4.912788996428273,26.099663564182272,0.2175306002677579,0.0039,0.015989999999999997,10.0,RC00_002
240,55.223140751148826,4.949218978350982,25.93446571836833,0.21432152572064425,0.0041333333333333335,0.01736,10.0,RC00_002
260,57.292037080603464,4.464191911049937,23.840889307777573,0.21951265909118464,0.004366666666666667,0.018776666666666667,10.0,RC00_002
280,51.904098830706175,4.613460269546861,22.232700245019416,0.21489573233563652,0.0046,0.02024,10.0,RC00_002
300,53.731483902193666,4.242841705973233,23.322491684289947,0.2394386852925962,0.004833333333333334,0.021750000000000002,10.0,RC00_002
320,51.228063941161516,4.385286587347048,20.970371947300524,0.2339390988922981,0.005066666666666667,0.023306666666666667,10.0,RC00_002
340,50.35391620827022,3.9260894111479288,20.624273886246247,0.23058733538717896,0.0053,0.02491,10.0,RC00_002
360,50.02440780412077,3.7857246470183314,19.75822715137747,0.2479751631284118,0.005533333333333334,0.02656,10.0,RC00_002
380,49.375831688087686,3.732104235016002,17.91724365383777,0.22987007934210035,0.0057666666666666665,0.028256666666666666,10.0,RC00_002
400,47.473388373751575,3.470846919409033,17.075142767088792,0.24435550810768633,0.006,0.03,10.0,RC00_002
420,43.2734662523983,2.973165900831661,17.256913138281963,0.25230540552212943,0.0066,0.033659999999999995,10.0,RC00_002
440,43.79536423526306,2.9760393619993715,14.825648665909744,0.2536596007907898,0.0072,0.03744,10.0,RC00_002
460,42.86344687144197,2.627575929423897,14.652801104638854,0.26392062327409915,0.0078,0.041339999999999995,10.0,RC00_002
480,40.52523107416411,2.722648408914435,14.059540153017279,0.2667305395619876,0.0084,0.04536,10.0,RC00_002
500,39.20785007638738,2.060268507956775,12.787625017765844,0.27212149418607656,0.009,0.049499999999999995,10.0,RC00_002
520,35.03187353925189,2.1358723895124023,12.02131053017082,0.26733452529225443,0.0096,0.053759999999999995,10.0,RC00_002
540,32.89121122129817,2.1337279961155433,11.585649932926463,0.27263028305829445,0.0102,0.058140000000000004,10.0,RC00_002
560,32.289852516004025,1.8428537604304296,10.018545427896925,0.2702522436839831,0.0108,0.06264,10.0,RC00_002
580,29.339353600613826,1.281595579080157,9.541988045558673,0.27836268865838093,0.0114,0.06726,10.0,RC00_002
600,24.90464053347471,1.1418179715595491,8.550940304582465,0.28241706248244214,0.012,0.07200000000000001,10.0,RC00_002
620,24.574179951114953,1.4850130421579717,7.240007529911572,0.2962925876329357,0.0126,0.07686,10.0,RC00_002
640,23.278997773163173,1.3766025665137156,7.272513414028376,0.28425375237178846,0.0132,0.08184,10.0,RC00_002
660,24.838716534392425,0.915792565547542,6.395512668200852,0.2902936681342162,0.0138,0.08693999999999999,10.0,RC00_002
680,19.788307107583467,0.9039418831061338,6.263278665980367,0.2988683265863652,0.0144,0.09216,10.0,RC00_002
700,21.154008494542627,0.8599746783471474,5.249619683973551,0.28875498225909485,0.015,0.0975,10.0,RC00_002
720,13.865218922265239,0.7593149808390588,3.499968674239155,0.3036691348398936,0.015666666666666666,0.10339999999999999,10.0,RC00_002
740,13.294844797673276,0.5803990180948712,4.7076314498274225,0.32434476615227886,0.01633333333333333,0.10943333333333333,10.0,RC00_002
760,13.570007134201463,0.13719703636140956,3.5094630193395244,0.3175227121154756,0.017,0.11560000000000001,10.0,RC00_002
780,11.785837593131939,0.5395239019832706,3.3699952292526674,0.31465120347338416,0.017666666666666667,0.12190000000000001,10.0,RC00_002
800,10.794906637704683,0.3114829219388746,2.856942576246164,0.3102019784626864,0.018333333333333333,0.12833333333333333,10.0,RC00_002
820,7.428642206278753,0.2838484852759978,1.8575007853688148,0.306418282485692,0.019,0.1349,10.0,RC00_002
840,9.16857062546537,0.19455675464211944,1.6514567125874244,0.331824276048864,0.019666666666666666,0.1416,10.0,RC00_002
860,7.127766730147329,0.2677392701078415,1.5316343108162862,0.3333458723367163,0.02033333333333333,0.1484333333333333,10.0,RC00_002
880,4.598705089207772,0.4115591648363996,2.2950966444004655,0.3445864843131997,0.020999999999999998,0.15539999999999998,10.0,RC00_002
900,5.525324457841956,0.12511430403724655,1.2932074883107765,0.33428405998343974,0.021666666666666667,0.1625,10.0,RC00_002
920,4.188122021865742,0.29036391397555106,1.6437488085085656,0.35199288276489965,0.022333333333333334,0.16973333333333332,10.0,RC00_002
940,4.53378742256705,0.2664754201864803,0.5,0.3442385398670464,0.023,0.1771,10.0,RC00_002
960,1.6225476143441069,0.20675271959620906,1.7456798834563403,0.35290166607028955,0.02366666666666667,0.18460000000000001,10.0,RC00_002
980,1.1360696665300514,0.10500000000000001,1.487596243437061,0.32595426457195664,0.024333333333333332,0.19223333333333334,10.0,RC00_002
1000,3.5518512695894584,0.22271275355264694,1.2733565724341127,0.3582308013098421,0.025,0.2,10.0,RC00_002
