experiment_id,hydrophone_id,position_m,timestamp,source_frequency_hz,source_amplitude_pa,received_amplitude_pa,signal_to_noise_ratio_db,phase_shift_deg,sampling_rate_hz,measurement_duration_s
EXP001,H1,0.5,2024-01-15T09:00:00,100,1000,892.5,28.4,12.3,10000,30
EXP001,H2,1.5,2024-01-15T09:00:00,100,1000,798.2,26.8,24.7,10000,30
EXP001,H3,2.5,2024-01-15T09:00:00,100,1000,712.4,24.9,38.1,10000,30
EXP001,H4,3.5,2024-01-15T09:00:00,100,1000,635.8,22.7,52.6,10000,30
EXP001,H1,0.5,2024-01-15T09:00:00,250,1000,876.3,27.9,15.8,10000,30
EXP001,H2,1.5,2024-01-15T09:00:00,250,1000,768.1,25.4,31.2,10000,30
EXP001,H3,2.5,2024-01-15T09:00:00,250,1000,673.5,23.1,47.9,10000,30
EXP001,H4,3.5,2024-01-15T09:00:00,250,1000,590.2,20.5,65.3,10000,30
EXP001,H1,0.5,2024-01-15T09:00:00,500,1000,845.7,26.8,21.4,10000,30
EXP001,H2,1.5,2024-01-15T09:00:00,500,1000,715.3,23.7,43.8,10000,30
EXP001,H3,2.5,2024-01-15T09:00:00,500,1000,605.1,20.9,67.2,10000,30
EXP001,H4,3.5,2024-01-15T09:00:00,500,1000,512.3,17.8,92.1,10000,30
EXP001,H1,0.5,2024-01-15T09:00:00,1000,1000,798.4,25.2,28.9,10000,30
EXP001,H2,1.5,2024-01-15T09:00:00,1000,1000,637.1,21.3,58.7,10000,30
EXP001,H3,2.5,2024-01-15T09:00:00,1000,1000,508.9,17.1,89.4,10000,30
EXP001,H4,3.5,2024-01-15T09:00:00,1000,1000,406.2,13.8,121.8,10000,30
EXP002,H1,0.5,2024-01-15T09:15:00,100,1000,885.2,27.8,13.1,10000,30
EXP002,H2,1.5,2024-01-15T09:15:00,100,1000,783.4,25.9,26.8,10000,30
EXP002,H3,2.5,2024-01-15T09:15:00,100,1000,693.1,23.6,41.2,10000,30
EXP002,H4,3.5,2024-01-15T09:15:00,100,1000,613.7,21.1,56.4,10000,30
