building_id,year,month,electricity_kwh,gas_kwh,total_kwh,electricity_cost_eur,gas_cost_eur,eui_kwh_m2,carbon_emissions_kg_co2
BLD_00001,2024,1,264713.9376568256,158376.6020044759,423090.5396613015,41810.91605897875,14094.141679712136,14.019406249836027,95964.26465290807
BLD_00001,2024,2,270804.12684594817,157071.0678869707,427875.19473291887,63534.39164495103,11535.01255761959,14.177949202056233,141161.8931744437
BLD_00001,2024,3,306295.2490385313,81462.9924814461,387758.24151997746,51579.399463449816,5651.3333488394455,12.848645396189708,114299.25806039652
BLD_00001,2024,4,370091.2280376418,92325.01359946055,462416.2416371023,61575.274289087574,5660.783847450446,15.322491382630735,130270.90109206813
BLD_00001,2024,5,324814.6844842931,88680.38668740504,413495.07117169816,80190.739156344,8537.416385694984,13.701453569965333,161279.45567565487
BLD_00001,2024,6,359866.8650613439,86841.6899306629,446708.5549920068,61989.01843071176,7257.095538549595,14.802006002600717,107463.20974276774
BLD_00001,2024,7,354229.922805895,78644.30863022635,432874.23143612134,60380.69031310138,4628.525069306767,14.34359584226743,169227.77144982846
BLD_00001,2024,8,317010.0606107701,78299.24465776322,395309.3052685333,61477.29196889771,6330.726327102202,13.0988552694574,133445.56659203125
BLD_00001,2024,9,306073.10048899235,92743.58718738478,398816.6876763771,72440.61333808456,8753.079085156009,13.21507488261267,113866.60581677716
BLD_00001,2024,10,346021.01042558823,86313.50894111072,432334.5193666989,78761.8117059061,6939.303839985972,14.325712098600578,157744.0383215116
BLD_00001,2024,11,259283.24691519767,172314.47255271015,431597.7194679078,57566.090165521455,12011.617201444284,14.30129770939145,167385.60552946932
BLD_00001,2024,12,239937.2964960927,153032.70493284875,392970.00142894144,49713.43507180482,11754.131296132031,13.021340771271518,129003.70671076798
BLD_00001,2023,1,240386.8929880295,162758.07709775236,403144.9700857819,38232.11242348251,12212.208816161772,13.358495601757184,95123.78049822559
BLD_00001,2023,2,262547.26193291845,189892.59036530522,452439.85229822365,54752.858897933154,17985.942719343242,14.991916619223739,139931.24039479988
BLD_00001,2023,3,379786.09676821856,83787.3212698569,463573.41803807544,71896.04185376487,5544.46231678602,15.36083524652557,95024.40226329985
BLD_00001,2023,4,355781.1364523702,96818.88527542843,452600.0217277986,69508.27524317807,9181.419642453218,14.997223947304896,171607.36324044652
BLD_00001,2023,5,320568.09234581905,86288.6625543285,406856.75490014756,76376.90106919185,4703.507245829964,13.481488234176291,107741.75365810876
BLD_00001,2023,6,371832.7153139907,96443.915336317,468276.63065030775,79891.10081324002,8253.04216231301,15.516679544871314,109014.24021831389
BLD_00001,2023,7,331203.5775910033,87209.49478203797,418413.0723730413,73966.44737973445,4758.111839753989,13.864415041129416,142781.51196691633
BLD_00001,2023,8,380253.4433042299,93108.55181892304,473361.9951231529,81148.8385294375,5052.566029731751,15.68518671719044,161632.20997927323
BLD_00001,2023,9,337987.7648169715,82388.39969422692,420376.1645111984,75265.61103099352,8136.643032325504,13.929463496745358,135535.37379211487
BLD_00001,2023,10,338588.40909489186,95674.85777538459,434263.2668702764,56202.278842992644,7416.456105415369,14.389622520298156,90666.01322238894
BLD_00001,2023,11,274891.1259599044,190807.4433695146,465698.569329419,45931.145380343325,12738.239463404338,15.43125364755992,174292.84984297195
BLD_00001,2023,12,262900.99700531067,181712.3262490559,444613.3232543666,62114.895034683665,10558.61364707266,14.732579007279472,101781.53766752653
BLD_00001,2022,1,246494.36894037356,173599.85462452634,420094.2235648999,52469.66459249137,15798.64044648317,13.920121182762667,101464.31606505023
BLD_00001,2022,2,283260.26582433766,197173.5977815,480433.8636058377,47724.82226937017,10401.537627262389,15.91951811416173,129622.96210737349
BLD_00001,2022,3,345807.3417487081,84500.58620118236,430307.9279498905,56898.25530529652,4362.055848227193,14.258559549178385,135813.16129767502
BLD_00001,2022,4,389839.4202449241,98577.19047183264,488416.6107167567,81994.35858515816,6560.859562071002,16.184032122977122,106250.41172324709
BLD_00001,2022,5,325209.0439232545,95056.16894945623,420265.2128727107,52322.48130473224,9475.841408536875,13.925787035212352,97613.75931453485
BLD_00001,2022,6,325835.4732213887,90222.15073607172,416057.6239574604,58141.44792234806,7492.60953154492,13.78636558092405,141446.84547344004
BLD_00001,2022,7,360961.8715800832,95815.45551007059,456777.3270901538,74801.50015471125,7484.03598813699,15.135641934507724,179631.636267142
BLD_00001,2022,8,368857.6519786485,90147.03562963809,459004.6876082866,82968.43561716742,6130.848723884967,15.209447111039317,95091.0870358422
BLD_00001,2022,9,340614.8167709135,93143.90200368663,433758.71877460013,77268.8793432826,6160.639442151236,14.372903959936279,164614.01691548227
BLD_00001,2022,10,357719.2822740488,89215.655669034,446934.93794308277,83000.34382950873,7844.027745043138,14.809507362857346,164767.8950263466
BLD_00001,2022,11,276276.72537522065,162714.28867702285,438991.0140522435,43235.25938573044,11966.145829024,14.546279789079382,98511.62310609674
BLD_00001,2022,12,291492.7632935416,172518.50660377435,464011.269897316,68775.0340476712,11465.653501823472,15.375343779608947,131199.9205618237
BLD_00001,2021,1,230200.63119380656,148550.38003471922,378751.0112285258,38985.75305683539,8305.504739265143,12.550184407809352,110965.38307062686
BLD_00001,2021,2,247912.35148718086,178570.98614405573,426483.3376312366,56938.83680079554,15513.072061462151,14.131829026063114,102981.29694254023
BLD_00001,2021,3,327784.8528215238,74755.64783366826,402540.50065519207,69336.59195442646,5287.586926134885,13.338466076824224,84170.58988889576
BLD_00001,2021,4,340503.1909747524,83181.87871776058,423685.069692513,62981.17423198831,7511.504643118809,14.039106425694259,102729.89637466527
BLD_00001,2021,5,344681.90272098914,84844.40920976517,429526.31193075434,73783.23923926758,7169.424957054775,14.23266014591491,107761.06638453416
BLD_00001,2021,6,321143.50416148896,87141.86597305494,408285.3701345439,50350.0367355243,5665.458679110391,13.528826417066746,126567.9420861713
BLD_00001,2021,7,310232.85438907536,82698.9737632711,392931.8281523465,70330.79947966525,4605.657861782658,13.020075872574184,104777.85672003012
BLD_00001,2021,8,333931.1300032364,88434.17258451751,422365.3025877539,63314.98940047648,6937.313915519157,13.995375003073468,165576.7293088233
BLD_00001,2021,9,333347.50083747,81415.81893707691,414763.3197745469,77738.06291943033,4860.587813051307,13.743477890346869,152120.69387713735
