building_id,assessment_date,energy_rating,primary_energy_kwh_m2_yr,co2_emissions_kg_m2_yr,renewable_energy_pct,assessor_id,certificate_number,valid_until,recommendations
BLD_00001,2024-01-15,E,317.2,63.3,26.67557627993966,ASR_2689,EPC2024645865,2034-01-15,New boiler; Cavity wall insulation; Loft insulation
BLD_00001,2022-01-15,E,262.1,59.8,8.299486160041942,ASR_6228,EPC2022910326,2032-01-15,Double glazing; New boiler; Cavity wall insulation
BLD_00001,2020-01-15,F,347.9,88.2,0.4577015247117078,ASR_9422,EPC2020207348,2030-01-15,Full insulation upgrade; Window replacement; Heating system upgrade
BLD_00002,2024-01-15,E,234.3,58.0,24.213111174222067,ASR_9570,EPC2024580636,2034-01-15,Loft insulation; New boiler; Cavity wall insulation
BLD_00002,2022-01-15,E,233.7,58.5,19.61494580337323,ASR_8720,EPC2022748410,2032-01-15,Cavity wall insulation; Double glazing; New boiler
BLD_00002,2020-01-15,E,247.2,56.2,9.220120047198058,ASR_2594,EPC2020578344,2030-01-15,Loft insulation; New boiler; Cavity wall insulation
BLD_00003,2024-01-15,A,46.4,1.6,29.104504899344217,ASR_9948,EPC2024632056,2034-01-15,Smart building controls; Install solar panels
BLD_00003,2022-01-15,A,44.8,9.7,22.624849672769702,ASR_3409,EPC2022938416,2032-01-15,Smart building controls; Install solar panels
BLD_00003,2020-01-15,A,36.6,9.0,4.182698803694919,ASR_2914,EPC2020423047,2030-01-15,Install solar panels; Smart building controls
BLD_00004,2024-01-15,E,316.0,62.6,21.181776113244347,ASR_9052,EPC2024551601,2034-01-15,Loft insulation; Double glazing; New boiler
BLD_00004,2022-01-15,E,306.4,69.2,14.716611354070587,ASR_9837,EPC2022700005,2032-01-15,Double glazing; Loft insulation; Cavity wall insulation
BLD_00004,2020-01-15,E,269.1,67.4,29.126122752829872,ASR_6779,EPC2020903702,2030-01-15,New boiler; Loft insulation; Cavity wall insulation
BLD_00005,2024-01-15,F,450.0,107.2,23.911003895660883,ASR_3118,EPC2024321634,2034-01-15,Full insulation upgrade; Window replacement; Heating system upgrade
BLD_00005,2022-01-15,F,419.3,96.4,18.068745817554948,ASR_2516,EPC2022518233,2032-01-15,Window replacement; Full insulation upgrade; Heating system upgrade
BLD_00005,2020-01-15,G,481.2,186.7,4.888220516257635,ASR_7592,EPC2020398776,2030-01-15,Insulation throughout; Complete thermal envelope retrofit; Full HVAC replacement
BLD_00006,2024-01-15,B,82.0,16.6,12.288849812873107,ASR_4814,EPC2024514603,2034-01-15,Install solar panels; Upgrade to heat pump; Smart thermostats
BLD_00006,2022-01-15,B,75.8,18.7,21.216258784712274,ASR_6060,EPC2022688297,2032-01-15,Smart thermostats; Upgrade to heat pump; Install solar panels
BLD_00006,2020-01-15,B,88.2,15.4,22.72845492948764,ASR_9548,EPC2020298595,2030-01-15,Install solar panels; Upgrade to heat pump; Smart thermostats
BLD_00007,2024-01-15,A,48.2,6.2,12.560858650941935,ASR_3658,EPC2024209940,2034-01-15,Smart building controls; Install solar panels
BLD_00007,2022-01-15,A,11.0,0.0,6.690752661202972,ASR_4772,EPC2022589199,2032-01-15,Install solar panels; Smart building controls
BLD_00007,2020-01-15,B,79.4,19.5,9.945453287796223,ASR_7158,EPC2020315289,2030-01-15,Install solar panels; Upgrade to heat pump; Smart thermostats
BLD_00008,2024-01-15,B,71.3,14.4,1.4326806746053256,ASR_9566,EPC2024772149,2034-01-15,Smart thermostats; Upgrade to heat pump; Install solar panels
BLD_00008,2022-01-15,B,67.8,16.0,1.4599408445677964,ASR_7183,EPC2022904377,2032-01-15,Upgrade to heat pump; Smart thermostats; Install solar panels
BLD_00008,2020-01-15,B,58.0,10.2,0.8383250957631971,ASR_1238,EPC2020453492,2030-01-15,Upgrade to heat pump; Smart thermostats; Install solar panels
BLD_00009,2024-01-15,B,67.1,19.3,27.925335126248427,ASR_2645,EPC2024869946,2034-01-15,Install solar panels; Smart thermostats; Upgrade to heat pump
BLD_00009,2022-01-15,B,84.8,18.8,23.545858306468112,ASR_9267,EPC2022133287,2032-01-15,Upgrade to heat pump; Install solar panels; Smart thermostats
BLD_00009,2020-01-15,C,139.9,34.9,29.61658825161735,ASR_8648,EPC2020276216,2030-01-15,Upgrade windows; Improve insulation; LED lighting
BLD_00010,2024-01-15,D,161.4,46.4,8.021097120537895,ASR_7064,EPC2024841870,2034-01-15,Double glazing; Efficient boiler; LED lighting
BLD_00010,2022-01-15,D,164.6,54.7,23.95406696245055,ASR_9228,EPC2022400752,2032-01-15,Efficient boiler; Double glazing; Wall insulation
BLD_00010,2020-01-15,E,293.6,57.2,9.169845075871374,ASR_6123,EPC2020986304,2030-01-15,Cavity wall insulation; New boiler; Double glazing
BLD_00011,2024-01-15,C,144.4,32.0,23.665683791528366,ASR_3435,EPC2024915565,2034-01-15,LED lighting; Improve insulation; Upgrade windows
BLD_00011,2022-01-15,C,113.4,30.8,23.56638282008601,ASR_8838,EPC2022954222,2032-01-15,Improve insulation; LED lighting; Upgrade windows
BLD_00011,2020-01-15,D,161.6,41.5,3.8260724056971798,ASR_7308,EPC2020469737,2030-01-15,Efficient boiler; Double glazing; LED lighting
BLD_00012,2024-01-15,D,229.1,53.9,25.718012033190696,ASR_8361,EPC2024769952,2034-01-15,Wall insulation; LED lighting; Efficient boiler
BLD_00012,2022-01-15,D,183.6,45.9,4.983030840965366,ASR_7185,EPC2022326636,2032-01-15,Efficient boiler; Wall insulation; LED lighting
BLD_00012,2020-01-15,D,179.6,42.3,9.058334133771414,ASR_6029,EPC2020626474,2030-01-15,Wall insulation; Efficient boiler; Double glazing
BLD_00013,2024-01-15,E,242.0,63.0,4.440044481985602,ASR_7771,EPC2024767841,2034-01-15,Double glazing; New boiler; Cavity wall insulation
BLD_00013,2022-01-15,E,287.8,71.5,29.290483582140862,ASR_6274,EPC2022910175,2032-01-15,Double glazing; Cavity wall insulation; New boiler
BLD_00013,2020-01-15,F,421.9,101.3,10.590290924574857,ASR_4971,EPC2020791515,2030-01-15,Heating system upgrade; Full insulation upgrade; Window replacement
BLD_00014,2024-01-15,E,304.2,65.9,15.855883466155575,ASR_4150,EPC2024190196,2034-01-15,Cavity wall insulation; New boiler; Double glazing
BLD_00014,2022-01-15,E,233.3,58.5,0.15708856870852328,ASR_7685,EPC2022695900,2032-01-15,Cavity wall insulation; Loft insulation; Double glazing
BLD_00014,2020-01-15,F,352.8,86.2,24.82727217832197,ASR_9205,EPC2020469209,2030-01-15,Window replacement; Full insulation upgrade; Heating system upgrade
BLD_00015,2024-01-15,D,211.4,42.2,13.674635212454879,ASR_2890,EPC2024826739,2034-01-15,Double glazing; LED lighting; Efficient boiler
BLD_00015,2022-01-15,D,156.4,46.2,2.2933130520512557,ASR_6935,EPC2022785066,2032-01-15,LED lighting; Efficient boiler; Wall insulation
BLD_00015,2020-01-15,E,308.6,60.7,24.834633132841567,ASR_3052,EPC2020663731,2030-01-15,Loft insulation; Double glazing; Cavity wall insulation
BLD_00016,2024-01-15,E,311.0,79.4,2.861671051580924,ASR_3773,EPC2024317770,2034-01-15,Double glazing; New boiler; Cavity wall insulation
BLD_00016,2022-01-15,E,244.1,70.4,14.205439729259682,ASR_4808,EPC2022161795,2032-01-15,Double glazing; Loft insulation; New boiler
BLD_00016,2020-01-15,F,418.9,105.0,1.0952912989503838,ASR_7660,EPC2020105842,2030-01-15,Window replacement; Full insulation upgrade; Heating system upgrade
BLD_00017,2024-01-15,C,133.4,29.0,14.476727771436236,ASR_7572,EPC2024414754,2034-01-15,Improve insulation; LED lighting; Upgrade windows
BLD_00017,2022-01-15,C,115.6,24.0,17.324639797378357,ASR_1467,EPC2022271993,2032-01-15,LED lighting; Improve insulation; Upgrade windows
BLD_00017,2020-01-15,C,147.1,28.5,4.186476125543747,ASR_6458,EPC2020926874,2030-01-15,Improve insulation; LED lighting; Upgrade windows
