building_id,date,post_retrofit_consumption_kwh,energy_savings_kwh,savings_percentage,cost_savings_eur,carbon_savings_kg_co2,retrofit_measures,measurement_verified,normalized_for_weather
BLD_00001,2023-01-01,941583.29,1210977.42,60.0,222547.13,267850.51,"hvac_upgrade, roof_insulation, wall_insulation, window_upgrade",True,True
BLD_00001,2023-02-01,926541.14,1226019.58,60.0,207927.82,417993.62,"hvac_upgrade, roof_insulation, wall_insulation, window_upgrade",False,True
BLD_00001,2023-03-01,1057265.22,1095295.49,60.0,181405.07,398127.2,"hvac_upgrade, roof_insulation, wall_insulation, window_upgrade",True,True
BLD_00001,2023-04-01,1105856.78,1046703.93,60.0,196557.54,306829.82,"hvac_upgrade, roof_insulation, wall_insulation, window_upgrade",True,True
BLD_00001,2023-05-01,870014.72,1282545.99,60.0,243834.47,435706.37,"hvac_upgrade, roof_insulation, wall_insulation, window_upgrade",True,True
BLD_00001,2023-06-01,853375.66,1299185.05,60.0,239340.94,444377.39,"hvac_upgrade, roof_insulation, wall_insulation, window_upgrade",False,True
BLD_00001,2023-07-01,770356.93,1382203.79,60.0,272808.9,316171.29,"hvac_upgrade, roof_insulation, wall_insulation, window_upgrade",False,True
BLD_00001,2023-08-01,770672.96,1381887.76,60.0,234373.48,469735.33,"hvac_upgrade, roof_insulation, wall_insulation, window_upgrade",False,True
BLD_00001,2023-09-01,728602.71,1423958.01,60.0,276419.01,413882.81,"hvac_upgrade, roof_insulation, wall_insulation, window_upgrade",True,True
BLD_00001,2023-10-01,650008.03,1502552.69,60.0,233863.84,444350.53,"hvac_upgrade, roof_insulation, wall_insulation, window_upgrade",True,True
BLD_00001,2023-11-01,741175.15,1411385.56,60.0,236309.37,444495.63,"hvac_upgrade, roof_insulation, wall_insulation, window_upgrade",True,True
BLD_00001,2023-12-01,844782.95,1307777.76,60.0,242872.19,289537.1,"hvac_upgrade, roof_insulation, wall_insulation, window_upgrade",True,True
BLD_00001,2024-01-01,1002520.55,1150040.17,60.0,203139.97,322199.04,"hvac_upgrade, roof_insulation, wall_insulation, window_upgrade",False,True
BLD_00001,2024-02-01,957342.01,1195218.7,60.0,193846.01,277056.55,"hvac_upgrade, roof_insulation, wall_insulation, window_upgrade",False,True
