building_id,floor_area_m2,total_floor_area_m2,num_floors,floor_height_m,building_height_m,footprint_length_m,footprint_width_m,rooftop_area_m2,volume_m3,window_area_m2,window_to_wall_ratio,construction_year,construction_period,building_age_years,construction_quality,architectural_style,primary_material,secondary_material,roof_material,window_material,insulation_present,insulation_type,u_value_wall_w_m2k,u_value_roof_w_m2k,u_value_floor_w_m2k,u_value_window_w_m2k,r_value_wall_m2k_w,r_value_roof_m2k_w,r_value_floor_m2k_w,r_value_window_m2k_w,air_tightness_ach50,thermal_mass_kj_m2k,eu_rating,energy_star_score,leed_certified,leed_level,has_retrofit,retrofit_year,retrofit_type,retrofit_cost_eur,energy_savings_percent,total_gwp_kg_co2e,total_energy_mj,total_water_l,gwp_per_m2_kg_co2e,renewable_energy_percent,recycled_materials_percent
B001,102.32,511.62,5,3.52,17.62,10.12,10.12,90.6,1802.75,247.28,0.347,1972,1970-1980,51,poor,modern,concrete,brick,metal,wood,False,none,2.34,2.86,1.95,5.2,0.427,0.35,0.513,0.192,9.48,140.7,F,13,False,,False,,,,,57673.63,429583.66,97894.17,480.61,36.7,12.5
B002,4558.15,82046.68,18,3.55,63.87,67.51,67.51,4307.59,291141.93,5996.63,0.348,2016,2011-2020,7,excellent,modern,steel,metal_cladding,metal,aluminum,True,fiberglass,0.168,0.252,0.168,1.05,5.952,3.968,5.952,0.952,2.56,153.3,D,41,False,,True,2022.0,comprehensive,505209.94,42.18,1032007.84,14905657.58,1551567.88,412.8,22.5,20.7
B003,1189.9,2379.8,2,3.08,6.16,34.49,34.49,1040.79,7332.26,316.73,0.373,1978,1970-1980,45,poor,modern,concrete,wood,asphalt_shingle,composite,False,none,2.34,2.86,1.95,5.2,0.427,0.35,0.513,0.192,8.46,173.4,E,30,False,,True,2017.0,window_replacement,339554.98,18.9,396345.47,3922411.15,509776.02,495.43,37.7,7.4
B004,2725.06,2725.06,1,3.5,3.5,52.2,52.2,2407.47,9526.09,310.84,0.426,2019,2011-2020,4,poor,postmodern,steel,brick,asphalt_shingle,vinyl,True,cellulose,0.312,0.468,0.312,1.95,3.205,2.137,3.205,0.513,3.21,198.3,E,36,True,Platinum,False,,,,,1520294.04,15393084.7,3180209.59,506.76,32.3,22.9
B005,162.31,811.56,5,3.24,16.21,12.74,12.74,143.52,2631.13,280.29,0.339,1983,1981-1990,40,poor,postmodern,brick,concrete,metal,aluminum,False,none,1.56,1.95,1.3,3.9,0.641,0.513,0.769,0.256,5.64,121.3,F,22,False,,False,,,,,48670.83,448392.83,68092.73,324.47,32.3,8.1
B006,4479.8,35838.39,8,3.34,26.74,66.93,66.93,4039.96,119808.11,3158.75,0.441,1968,pre-1970,55,poor,brutalist,brick,wood,asphalt_shingle,aluminum,False,none,3.25,3.9,2.6,6.5,0.308,0.256,0.385,0.154,11.99,177.6,E,30,False,,True,2019.0,window_replacement,269146.48,14.31,926364.91,9489410.77,1666628.42,514.65,13.1,13.9
B007,735.48,735.48,1,3.88,3.88,27.12,27.12,626.81,2854.67,156.45,0.372,1976,1970-1980,47,poor,postmodern,concrete,concrete,metal,vinyl,False,none,2.34,2.86,1.95,5.2,0.427,0.35,0.513,0.192,13.76,103.2,E,37,False,,True,2017.0,air_sealing,12962.11,12.97,654779.52,5881695.51,995497.5,545.65,27.8,19.8
B008,9047.02,36188.07,4,2.51,10.05,95.12,95.12,7938.15,90943.96,1340.55,0.351,1970,1970-1980,53,fair,modern,concrete,composite,asphalt_shingle,composite,True,fiberglass,1.188,1.452,0.99,4.4,0.842,0.689,1.01,0.227,10.11,128.6,E,25,False,,False,,,,,1691551.86,22005839.09,2661670.27,422.89,11.4,7.7
B009,176.01,528.02,3,3.5,10.49,13.27,13.27,151.12,1845.69,249.74,0.449,1960,pre-1970,63,good,vernacular,concrete,glass,asphalt_shingle,composite,False,none,2.25,2.7,1.8,4.5,0.444,0.37,0.556,0.222,12.6,68.1,G,7,False,,True,2021.0,renewable_energy,1236596.19,58.35,49226.1,437906.57,81352.52,492.26,37.9,8.4
B010,2670.64,48071.46,18,3.82,68.68,51.68,51.68,2356.22,183422.01,2509.36,0.177,2014,2011-2020,9,excellent,modern,concrete,concrete,green_roof,aluminum,False,none,0.28,0.42,0.28,1.05,3.571,2.381,3.571,0.952,3.87,131.1,F,1,False,,False,,,,,1378452.23,12026568.7,1821013.88,430.77,24.3,20.3
