building_id,floor_area_m2,total_floor_area_m2,num_floors,floor_height_m,building_height_m,footprint_length_m,footprint_width_m,rooftop_area_m2,volume_m3,window_area_m2,window_to_wall_ratio,construction_year,construction_period,building_age_years,construction_quality,architectural_style,primary_material,secondary_material,roof_material,window_material,insulation_present,insulation_type,u_value_wall_w_m2k,u_value_roof_w_m2k,u_value_floor_w_m2k,u_value_window_w_m2k,r_value_wall_m2k_w,r_value_roof_m2k_w,r_value_floor_m2k_w,r_value_window_m2k_w,air_tightness_ach50,thermal_mass_kj_m2k,energy_intensity_kwh_m2,eu_rating,energy_star_score,age_category,size_category,thermal_score,window_performance,quality_score,insulation_score,energy_efficiency_category
B001,102.32,511.62,5,3.52,17.62,10.12,10.12,90.6,1802.75,247.28,0.347,1972,1970-1980,51,poor,modern,concrete,brick,metal,wood,False,none,2.34,2.86,1.95,5.2,0.427,0.35,0.513,0.192,9.48,140.7,198.91,F,13,old,medium,0.43,0.066624,1,0.0,efficient
B002,4558.15,82046.68,18,3.55,63.87,67.51,67.51,4307.59,291141.93,5996.63,0.348,2016,2011-2020,7,excellent,modern,steel,metal_cladding,metal,aluminum,True,fiberglass,0.168,0.252,0.168,1.05,5.952,3.968,5.952,0.952,2.56,153.3,236.49,D,41,new,very_large,5.290666666666667,0.331296,4,5.290666666666667,average
B003,1189.9,2379.8,2,3.08,6.16,34.49,34.49,1040.79,7332.26,316.73,0.373,1978,1970-1980,45,poor,modern,concrete,wood,asphalt_shingle,composite,False,none,2.34,2.86,1.95,5.2,0.427,0.35,0.513,0.192,8.46,173.4,398.74,E,30,old,very_large,0.43,0.071616,1,0.0,inefficient
B004,2725.06,2725.06,1,3.5,3.5,52.2,52.2,2407.47,9526.09,310.84,0.426,2019,2011-2020,4,poor,postmodern,steel,brick,asphalt_shingle,vinyl,True,cellulose,0.312,0.468,0.312,1.95,3.205,2.137,3.205,0.513,3.21,198.3,226.25,E,36,new,very_large,2.849,0.218538,1,2.849,average
B005,162.31,811.56,5,3.24,16.21,12.74,12.74,143.52,2631.13,280.29,0.339,1983,1981-1990,40,poor,postmodern,brick,concrete,metal,aluminum,False,none,1.56,1.95,1.3,3.9,0.641,0.513,0.769,0.256,5.64,121.3,167.42,F,22,modern,medium,0.641,0.08678400000000001,1,0.0,efficient
B006,4479.8,35838.39,8,3.34,26.74,66.93,66.93,4039.96,119808.11,3158.75,0.441,1968,pre-1970,55,poor,brutalist,brick,wood,asphalt_shingle,aluminum,False,none,3.25,3.9,2.6,6.5,0.308,0.256,0.385,0.154,11.99,177.6,252.34,E,30,old,very_large,0.31633333333333336,0.067914,1,0.0,average
B007,735.48,735.48,1,3.88,3.88,27.12,27.12,626.81,2854.67,156.45,0.372,1976,1970-1980,47,poor,postmodern,concrete,concrete,metal,vinyl,False,none,2.34,2.86,1.95,5.2,0.427,0.35,0.513,0.192,13.76,103.2,385.01,E,37,old,large,0.43,0.071424,1,0.0,inefficient
B008,9047.02,36188.07,4,2.51,10.05,95.12,95.12,7938.15,90943.96,1340.55,0.351,1970,1970-1980,53,fair,modern,concrete,composite,asphalt_shingle,composite,True,fiberglass,1.188,1.452,0.99,4.4,0.842,0.689,1.01,0.227,10.11,128.6,203.22,E,25,old,mega,0.847,0.079677,2,0.847,average
B009,176.01,528.02,3,3.5,10.49,13.27,13.27,151.12,1845.69,249.74,0.449,1960,pre-1970,63,good,vernacular,concrete,glass,asphalt_shingle,composite,False,none,2.25,2.7,1.8,4.5,0.444,0.37,0.556,0.222,12.6,68.1,232.98,G,7,historic,medium,0.4566666666666667,0.099678,3,0.0,average
B010,2670.64,48071.46,18,3.82,68.68,51.68,51.68,2356.22,183422.01,2509.36,0.177,2014,2011-2020,9,excellent,modern,concrete,concrete,green_roof,aluminum,False,none,0.28,0.42,0.28,1.05,3.571,2.381,3.571,0.952,3.87,131.1,360.19,F,1,new,very_large,3.1743333333333332,0.168504,4,0.0,inefficient
B011,13528.07,108224.56,8,2.6,20.77,116.31,116.31,12304.12,280928.33,3842.51,0.398,1992,1991-2000,31,fair,vernacular,composite,composite,asphalt_shingle,aluminum,True,mineral_wool,0.528,0.66,0.528,2.75,1.894,1.515,1.894,0.364,6.33,144.7,720.23,G,17,modern,mega,1.7676666666666667,0.144872,2,1.7676666666666667,very_inefficient
B012,16900.92,33801.84,2,2.84,5.68,130.0,130.0,15080.17,95965.73,662.19,0.224,2023,post-2020,0,good,vernacular,steel,glass,tile,vinyl,True,mineral_wool,0.162,0.216,0.162,1.08,6.173,4.63,6.173,0.926,3.76,129.6,752.96,F,24,,mega,5.658666666666666,0.20742400000000003,3,5.658666666666666,very_inefficient
