id,value
1.000000,0.000337
2.000000,0.000790
3.000000,0.001191
4.000000,0.001510
5.000000,0.001725
6.000000,0.001825
7.000000,0.001810
8.000000,0.001691
9.000000,0.001490
10.000000,0.001237
11.000000,0.000965
12.000000,0.000711
13.000000,0.000510
14.000000,0.000391
15.000000,0.000376
16.000000,0.000476
17.000000,0.000691
18.000000,0.001010
19.000000,0.001411
20.000000,0.001865
21.000000,0.000416
22.000000,0.000734
23.000000,0.001020
24.000000,0.001255
25.000000,0.001427
26.000000,0.001527
27.000000,0.001555
28.000000,0.001520
29.000000,0.001434
30.000000,0.001316
31.000000,0.001186
32.000000,0.001067
33.000000,0.000981
34.000000,0.000946
35.000000,0.000975
36.000000,0.001075
37.000000,0.001246
38.000000,0.001481
39.000000,0.001767
40.000000,0.002086
41.000000,0.000479
42.000000,0.000579
43.000000,0.000679
44.000000,0.000779
45.000000,0.000879
46.000000,0.000979
47.000000,0.001079
48.000000,0.001179
49.000000,0.001279
50.000000,0.001379
51.000000,0.001479
52.000000,0.001579
53.000000,0.001679
54.000000,0.001779
55.000000,0.001879
56.000000,0.001979
57.000000,0.002079
58.000000,0.002179
59.000000,0.002279
60.000000,0.002379
61.000000,0.001132
62.000000,0.001014
63.000000,0.000928
64.000000,0.000892
65.000000,0.000921
66.000000,0.001021
67.000000,0.001192
68.000000,0.001428
69.000000,0.001714
70.000000,0.002032
71.000000,0.002362
72.000000,0.002681
73.000000,0.002967
74.000000,0.003202
75.000000,0.003373
76.000000,0.003473
77.000000,0.003502
78.000000,0.003467
79.000000,0.003381
80.000000,0.003262
81.000000,0.003649
82.000000,0.003396
83.000000,0.003195
84.000000,0.003076
85.000000,0.003061
86.000000,0.003161
87.000000,0.003376
88.000000,0.003695
89.000000,0.004096
90.000000,0.004549
91.000000,0.005021
92.000000,0.005475
93.000000,0.005876
94.000000,0.006194
95.000000,0.006409
96.000000,0.006509
97.000000,0.006494
98.000000,0.006376
99.000000,0.006175
100.000000,0.005921
101.000000,0.003799
102.000000,0.003546
103.000000,0.003345
104.000000,0.003226
105.000000,0.003211
106.000000,0.003311
107.000000,0.003526
108.000000,0.003845
109.000000,0.004246
110.000000,0.004699
111.000000,0.005171
112.000000,0.005625
113.000000,0.006026
114.000000,0.006344
115.000000,0.006559
116.000000,0.006659
117.000000,0.006644
118.000000,0.006526
119.000000,0.006325
120.000000,0.006071
121.000000,0.001582
122.000000,0.001464
123.000000,0.001378
124.000000,0.001342
125.000000,0.001371
126.000000,0.001471
127.000000,0.001642
128.000000,0.001878
129.000000,0.002164
130.000000,0.002482
131.000000,0.002812
132.000000,0.003131
133.000000,0.003417
134.000000,0.003652
135.000000,0.003823
136.000000,0.003923
137.000000,0.003952
138.000000,0.003917
139.000000,0.003831
140.000000,0.003712
141.000000,0.001229
142.000000,0.001329
143.000000,0.001429
144.000000,0.001529
145.000000,0.001629
146.000000,0.001729
147.000000,0.001829
148.000000,0.001929
149.000000,0.002029
150.000000,0.002129
151.000000,0.002229
152.000000,0.002329
153.000000,0.002429
154.000000,0.002529
155.000000,0.002629
156.000000,0.002729
157.000000,0.002829
158.000000,0.002929
159.000000,0.003029
160.000000,0.003129
161.000000,0.001466
162.000000,0.001784
163.000000,0.002070
164.000000,0.002305
165.000000,0.002477
166.000000,0.002577
167.000000,0.002605
168.000000,0.002570
169.000000,0.002484
170.000000,0.002366
171.000000,0.002236
172.000000,0.002117
173.000000,0.002031
174.000000,0.001996
175.000000,0.002025
176.000000,0.002125
177.000000,0.002296
178.000000,0.002531
179.000000,0.002817
180.000000,0.003136
181.000000,0.001687
182.000000,0.002140
183.000000,0.002541
184.000000,0.002860
185.000000,0.003075
186.000000,0.003175
187.000000,0.003160
188.000000,0.003041
189.000000,0.002840
190.000000,0.002587
191.000000,0.002315
192.000000,0.002061
193.000000,0.001860
194.000000,0.001741
195.000000,0.001726
196.000000,0.001826
197.000000,0.002041
198.000000,0.002360
199.000000,0.002761
200.000000,0.003215
